question_id,path_id,old_rank,new_rank,names,base_score,anchor_bonus,reranked_score,anchor_features
Q001,Q001-P01,1,1,icariin -> runx2,1.003,0.0,1.003,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P02,2,2,icariin -> osteoporosis,0.883,0.0,0.883,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P03,3,3,icariin -> mir215,0.775,0.08,0.855,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": true, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": true, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P04,4,4,icariin -> mir335,0.766,0.08,0.846,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": true, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": true, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P05,5,5,icariin -> mir153,0.764,0.08,0.844,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": true, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": true, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P06,6,6,icariin -> cebpa,0.763,0.0,0.763,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P07,7,7,icariin -> alp,0.763,0.0,0.763,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P08,8,8,icariin -> bglap2,0.763,0.0,0.763,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P09,9,9,icariin -> bmp2,0.763,0.0,0.763,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P10,10,10,icariin -> kdm6b,0.763,0.0,0.763,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
