question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.765042543411255e-05,3.7846356853842735,2.545863389968872e-05,,,40.04466450214386,44.37191207706928,0,0,0,[],9,169,909,1078
PP002,0.0,2.0265579223632812e-05,4.7607927694916725,3.8661062717437744e-05,,,22.929973401129246,28.334154941141605,0,0,0,[],15,167,912,1079
PP003,0.0,8.039921522140503e-05,1.8079072758555412,1.3686716556549072e-05,,,19.54853270202875,21.87764412164688,0,0,0,[],15,169,808,977
PP004,0.0,3.214925527572632e-05,1.7963182479143143,3.4146010875701904e-05,,,21.078518867492676,23.67661637812853,0,0,0,[],15,168,869,1037
PP005,0.0,5.930662155151367e-05,2.079133592545986,3.6947429180145264e-05,,,22.484571665525436,25.09957744181156,0,0,0,[],15,168,928,1096
PP006,0.0,2.890080213546753e-05,1.2977679744362831,8.560717105865479e-06,,,29.11387787759304,30.935281097888947,0,0,0,[],9,175,1200,1375
PP007,0.0,3.3408403396606445e-05,1.893856793642044,1.9691884517669678e-05,,,29.12495057284832,31.50450313091278,0,0,0,[],15,174,1200,1374
PP008,0.0,2.0772218704223633e-05,5.0563264936208725,3.4362077713012695e-05,,,19.417779095470905,25.166290067136288,0,0,0,[],26,174,776,950
PP009,0.0,4.747509956359863e-05,2.0474209934473038,2.0265579223632812e-05,,,25.38104162365198,27.96132668852806,0,0,0,[],15,184,1043,1227
PP010,0.0,4.992634057998657e-05,1.9379576370120049,3.369152545928955e-05,,,28.105665251612663,30.54068200290203,0,0,0,[],15,174,1159,1333
PP011,0.0,4.2945146560668945e-05,1.5463974922895432,3.873556852340698e-05,,,25.25492037832737,27.337684109807014,0,0,0,[],11,188,1041,1229
PP012,0.0,5.507469177246094e-05,1.7324657440185547,3.4399330615997314e-05,,,21.599361836910248,23.970507882535458,0,0,0,[],11,190,890,1080
PP013,0.0,5.085766315460205e-05,1.43199822306633,1.9878149032592773e-05,,,20.81211332976818,22.940729059278965,0,0,0,[],11,182,857,1039
PP014,0.0,5.248934030532837e-05,2.5187584161758423,1.9982457160949707e-05,,,20.240990720689297,23.268331825733185,0,0,0,[],26,176,833,1009
PP015,0.0,4.918873310089111e-05,3.5084686651825905,3.376603126525879e-05,,,24.10923260450363,28.340602479875088,0,0,0,[],39,174,993,1167
PP016,0.0,5.323439836502075e-05,3.3390943482518196,2.323836088180542e-05,,,26.789747059345245,30.725107185542583,0,0,0,[],39,174,1103,1277
PP017,0.0,8.065998554229736e-05,1.987526535987854,2.6620924472808838e-05,,,25.70127122104168,28.198887176811695,0,0,0,[],15,180,1060,1240
PP018,0.0,5.224347114562988e-05,3.919795401394367,1.96993350982666e-05,,,27.947274170815945,32.58547715842724,0,0,0,[],42,176,1154,1330
PP019,0.0,5.125999450683594e-05,3.8743980452418327,1.9140541553497314e-05,,,19.49633525311947,23.970216616988182,0,0,0,[],42,178,805,983
PP020,0.0,5.310028791427612e-05,4.213649593293667,2.3089349269866943e-05,,,25.526414148509502,30.32502369582653,0,0,0,[],42,180,1054,1234
