question_id,run_id,claim_id,path_id,verdict,reasons
Q001,formal-v1-gpt-5.6-terra-A_text_only,,,no_path_citation,no_path_citations_detected
Q002,formal-v1-gpt-5.6-terra-A_text_only,,,no_path_citation,no_path_citations_detected
Q003,formal-v1-gpt-5.6-terra-A_text_only,,,no_path_citation,no_path_citations_detected
Q004,formal-v1-gpt-5.6-terra-A_text_only,,,no_path_citation,no_path_citations_detected
Q005,formal-v1-gpt-5.6-terra-A_text_only,,,no_path_citation,no_path_citations_detected
Q006,formal-v1-gpt-5.6-terra-A_text_only,,,no_path_citation,no_path_citations_detected
Q007,formal-v1-gpt-5.6-terra-A_text_only,,,no_path_citation,no_path_citations_detected
Q008,formal-v1-gpt-5.6-terra-A_text_only,,,no_path_citation,no_path_citations_detected
Q009,formal-v1-gpt-5.6-terra-A_text_only,,,no_path_citation,no_path_citations_detected
Q010,formal-v1-gpt-5.6-terra-A_text_only,,,no_path_citation,no_path_citations_detected
