question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,0.20950233191251755,3.342438705265522,0.00019432604312896729,51.545656986534595,,,60.47857590764761,65,90,2,"['29500883', '38045146']",9,5057,1875,6932
Q003,0.0,0.00011216849088668823,1.633022427558899,1.1786818504333496e-05,33.439980529248714,,,35.544299721717834,0,0,0,[],15,3362,1235,4597
Q004,0.0,0.004223056137561798,1.5153868794441223,6.449967622756958e-05,27.303704880177975,,,37.31861861050129,89,126,3,"['15810876', '30623450', '32519340']",15,4286,947,5233
Q006,0.0,7.977336645126343e-05,1.3779555559158325,7.718801498413086e-06,30.191607147455215,,,32.036933690309525,0,0,0,[],15,3594,1095,4689
Q008,0.0,0.1947738453745842,3.1475188955664635,5.878675416111946,40.57974315434694,,,59.39711036533117,105,163,4,"['23788646', '28155088', '37546931', '38554847']",15,4936,1433,6369
Q010,0.0,0.003837473690509796,1.7301341965794563,2.71722674369812e-05,42.04691657423973,,,50.43072551488876,86,150,0,[],12,5328,1501,6829
Q011,0.0,0.00575188547372818,1.9299373924732208,2.8021633625030518e-05,42.620705142617226,,,53.413905054330826,123,208,2,"['24009772', '26277279']",15,4427,1559,5986
Q014,0.0,7.957965135574341e-05,0.9621820077300072,1.3016164302825928e-05,35.7647145986557,,,37.261943347752094,0,0,0,[],6,3133,1337,4470
Q015,0.0,0.0022312700748443604,0.8969718962907791,5.427747964859009e-05,35.09435527026653,,,42.367094434797764,50,67,0,[],3,1457,1387,2844
Q016,0.0,0.0020731091499328613,1.1411389708518982,2.4870038032531738e-05,29.743295900523663,,,36.35049994289875,42,62,0,[],4,1551,1170,2721
Q021,0.0,8.460134267807007e-05,1.4568637609481812,1.2464821338653564e-05,36.026078552007675,,,37.98517232388258,0,0,0,[],10,4420,1306,5726
Q025,0.0,0.002148069441318512,1.00943873077631,2.3014843463897705e-05,31.73714053630829,,,37.946430422365665,43,65,0,[],4,2030,1223,3253
Q028,0.0,0.0049662962555885315,1.203846663236618,2.489238977432251e-05,39.15083954483271,,,48.401317194104195,102,189,0,[],9,4140,1442,5582
Q029,0.0,0.0021064206957817078,1.1574540957808495,3.575665146112442,33.81083174794912,,,44.007498264312744,41,76,0,[],7,3041,1268,4309
Q037,0.0,0.0036499574780464172,1.3774764761328697,5.778316751122475,41.960616409778595,,,56.02736995369196,59,126,4,"['20485626', '25646384', '29052129', '30611768', '32839523', '38064540']",11,4194,1536,5730
Q041,0.0,0.00422167032957077,1.345611035823822,2.386420965194702e-05,35.48278760164976,,,43.677552312612534,81,181,0,[],10,4441,1277,5718
Q043,0.0,5.9485435485839844e-05,1.2523008286952972,1.6570091247558594e-05,41.30825372040272,,,43.03308720141649,0,0,0,[],15,3759,1533,5292
Q046,0.0,8.1673264503479e-05,1.1368738561868668,8.165836334228516e-06,19.11382596939802,,,20.682728461921215,0,0,0,[],7,3096,668,3764
Q047,0.0,5.859881639480591e-05,0.613026425242424,1.12876296043396e-05,10.112696133553982,,,11.31909291446209,0,0,0,[],1,576,398,974
Q050,0.0,0.0029335319995880127,1.0085890144109726,6.080418825149536e-05,34.446496926248074,,,41.03663148730993,72,101,0,[],5,2291,1331,3622
