question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.74790620803833e-05,3.5170534774661064,0.00018194317817687988,0.0,,,4.072814077138901,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,7.090717554092407e-05,1.399611435830593,8.825212717056274e-05,0.0,,,2.043918654322624,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,2.3223459720611572e-05,1.786752127110958,1.901388168334961e-05,0.0,,,2.265055038034916,33,42,1,['33476985'],15,,,
PP004,0.0,2.6538968086242676e-05,1.685864970088005,1.1079013347625732e-05,0.0,,,2.1586000844836235,35,41,1,['27576555'],15,,,
PP005,0.0,1.6063451766967773e-05,1.6084337830543518,1.080334186553955e-05,0.0,,,2.121252126991749,123,208,1,['26277279'],15,,,
PP006,0.0,1.66967511177063e-05,1.2505910769104958,5.199015140533447e-05,0.0,,,1.8798043355345726,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,2.2523105144500732e-05,1.697031058371067,8.828938007354736e-05,0.0,,,2.171868495643139,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,4.392117261886597e-05,2.29181469976902,0.00014734268188476562,0.0,,,2.991242103278637,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,2.349168062210083e-05,1.6815014779567719,0.00020372867584228516,0.0,,,2.246521085500717,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,1.659989356994629e-05,1.6896400302648544,9.74610447883606e-05,0.0,,,2.156756892800331,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,1.5854835510253906e-05,1.2350599691271782,0.0005051642656326294,0.0,,,1.878327339887619,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,7.374584674835205e-05,1.704136237502098,0.00034175068140029907,0.0,,,2.238707885146141,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,4.127621650695801e-05,1.523458480834961,0.000233381986618042,0.0,,,2.02120041847229,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,1.446157693862915e-05,2.1438686698675156,7.707944385707378,33.36816091090441,,,43.90381820499897,166,267,1,"['29302038', '35430804']",26,3828,1200,5028
PP015,0.0,6.52894377708435e-05,3.422825373709202,6.515575811266899,29.36342503875494,,,39.81301011145115,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,2850,1097,3947
PP016,0.0,8.88332724571228e-05,3.3185499906539917,6.713520601391792,33.11957465112209,,,43.85955626517534,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,4138,1200,5338
PP017,0.0,8.67694616317749e-05,1.6092454567551613,0.0001660957932472229,0.0,,,2.092036187648773,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,3.9868056774139404e-05,2.9557167813181877,7.500612393021584,32.9932124838233,,,43.98948359489441,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3832,1200,5032
PP019,0.0,9.160488843917847e-05,3.5607286989688873,8.06148249655962,32.86490320414305,,,45.07831168174744,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3661,1200,4861
PP020,0.0,9.428709745407104e-05,3.3536537513136864,7.546593837440014,33.027794040739536,,,44.43060549348593,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3836,1200,5036
