system,question_id,answer_id,claim_id,claim_text,cited_pmids,support_label,notes
netmedex_hybrid_rag,Q001,A001,C001,"Icariin directly promotes osteoblast differentiation through miR-153/Runx2 evidence.","29904399",direct,"PubMed seed supports icariin-miR-153-Runx2 in MC3T3-E1 cells."
netmedex_hybrid_rag,Q001,A001,C002,"Icariin activates PI3K/Akt-related osteogenic signaling.","24956021;33339654",direct,"Direct icariin osteogenesis pathway support."
netmedex_hybrid_rag,Q001,A001,C003,"The miR-21/PTEN/PI3K-Akt bridge is indirect for icariin-related osteogenesis.","34854397;35185286",partial,"Supports miR-21/PTEN or PI3K-Akt bone biology, not necessarily direct icariin-miR-21 in osteoblasts."
traditional_rag,Q001,A002,C001,"Keyword retrieval links icariin to osteogenesis and miR-21/PTEN to bone remodeling.","29904399;34854397",partial,"Needs manual synthesis."
general_llm,Q001,A003,C001,"Icariin regulates osteoblast differentiation through miRNAs and PI3K/Akt signaling.","29904399;24956021",partial,"Broadly supported but may overgeneralize miRNA identity."
netmedex_hybrid_rag,Q003,A004,C001,"Human studies associate IL-6 and TNF-alpha with insulin resistance.","11287357;11238501",direct,"Human study evidence."
netmedex_hybrid_rag,Q003,A004,C002,"Experimental endotoxemia can induce insulin resistance in humans through adipose inflammatory signaling.","19794059",direct,"Human intervention evidence."
traditional_rag,Q003,A005,C001,"Inflammation and insulin resistance are mechanistically linked.","16823477",partial,"Review support, not direct primary evidence."
general_llm,Q003,A006,C001,"Inflammation causes insulin resistance in humans.","",unsupported,"Causal wording without citation is too strong for claim-level scoring."
netmedex_hybrid_rag,Q004,A007,C001,"Curcumin-induced apoptosis involves NF-kB, PI3K/Akt, p53, Bcl-2 family proteins, caspases, and TRAIL-related pathways.","18755156;30623450;17916240",direct,"Supported by review and cell-line evidence."
general_llm,Q004,A008,C001,"Curcumin universally kills tumor cells selectively.","",unsupported,"Overbroad and uncited."
netmedex_hybrid_rag,Q005,A009,C001,"Amyloid beta is linked to oxidative stress and mitochondrial dysfunction in Alzheimer's disease models and reviews.","9848093;18218341;21547208",direct,"Supported by PubMed seeds."
netmedex_hybrid_rag,Q006,A010,C001,"Statins can improve endothelial biology through NO/eNOS and ROCK-related mechanisms.","17584107;19075102;18808324",direct,"Includes human and mechanistic evidence."
traditional_rag,Q006,A011,C001,"High-dose statin and low-dose statin plus ezetimibe show similar FMD effects in a meta-analysis.","22710021",direct,"Specific claim supported."
netmedex_hybrid_rag,Q007,A012,C001,"IL-17 autoimmune networks include Th17 cells and other IL-17-producing immune cells including gamma-delta T cells and ILCs.","30891627;22324470;30133701;29922283;28148916",direct,"Supported across IL-17/autoimmunity reviews."
general_llm,Q007,A013,C001,"Th17 cells are the only relevant IL-17 source in autoimmune disease.","",unsupported,"Contradicted by gamma-delta T cell and ILC literature."
netmedex_hybrid_rag,Q008,A014,C001,"CFTR loss can increase intestinal epithelial inflammatory responses involving IL-6/IL-8 and NF-kB-related signaling.","26549988;27588407",direct,"Cell and mouse intestinal evidence."
netmedex_hybrid_rag,Q008,A014,C002,"Dysbiosis and microbiome-derived metabolites are plausible modifiers of CF intestinal inflammation.","30546102;38179971;35276841;35160099;35449374",direct,"Supported by human/mouse/review seeds."
general_llm,Q008,A015,C001,"CFTR variants cause intestinal inflammation only through mucus obstruction.","",unsupported,"Overly narrow and unsupported."
netmedex_hybrid_rag,Q009,A016,C001,"JAK2/STAT3 modulation affects skeletal muscle differentiation, regeneration, or wasting depending on context.","18835816;28122601;40391687;36588738;39713478;21388555",direct,"Supported by skeletal muscle-specific evidence."
traditional_rag,Q009,A017,C001,"The JAK/STAT pathway is involved in skeletal muscle pathophysiology.","31114509;24058805",direct,"Review-level support."
netmedex_hybrid_rag,Q010,A018,C001,"天然物 icariin 與骨生成的直接證據可連到 miR-153/Runx2 與 PI3K/Akt，miR-21/PTEN 與 miR-23a 則應作為需標示不確定性的延伸機制。","29904399;24956021;33426313;35909545;34854397",direct,"Chinese pilot answer claim."
