system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW009,1,32665641,0.36863844
netmedex_hybrid_rag,BW009,2,38160540,0.35751241
netmedex_hybrid_rag,BW009,3,38776437,0.34703805
netmedex_hybrid_rag,BW009,4,41801188,0.34096537
netmedex_hybrid_rag,BW009,5,38757723,0.33525294
netmedex_hybrid_rag,BW009,6,26982719,0.33372971
traditional_rag,BW009,1,32665641,0.36863844
traditional_rag,BW009,2,38160540,0.35751241
traditional_rag,BW009,3,38776437,0.34703805
traditional_rag,BW009,4,41801188,0.34096537
traditional_rag,BW009,5,38757723,0.33525294
traditional_rag,BW009,6,26982719,0.33372971
