answer_id,question_id,system,judge_count,correctness,correctness_mean,correctness_unanimous,completeness,completeness_mean,completeness_unanimous,relevance,relevance_mean,relevance_unanimous,grounding,grounding_mean,grounding_unanimous,mechanistic_coherence,mechanistic_coherence_mean,mechanistic_coherence_unanimous,research_value,research_value_mean,research_value_unanimous
PP001-A,PP001,text_rag_kg_reranking,3,4,4.3333,0,4,3.6667,0,5,5,1,5,4.6667,0,5,4.6667,0,5,4.6667,0
PP001-B,PP001,closed_book_llm,3,4,4.3333,0,5,5,1,5,5,1,3,3.3333,0,4,4.3333,0,5,4.6667,0
PP001-C,PP001,kg_expansion_reranking_path_answer,3,4,4.3333,0,4,4.3333,0,5,5,1,5,4.6667,0,5,4.6667,0,5,4.6667,0
PP001-D,PP001,traditional_text_rag,3,4,4.3333,0,3,3.3333,0,5,5,1,4,4.3333,0,4,4.3333,0,4,3.6667,0
PP002-A,PP002,kg_expansion_reranking_path_answer,3,4,4.3333,0,3,3.6667,0,5,5,1,5,4.6667,0,4,4.3333,0,3,3.6667,0
PP002-B,PP002,text_rag_kg_reranking,3,4,4.3333,0,4,4,1,5,5,1,5,4.6667,0,4,4.3333,0,4,4,1
PP002-C,PP002,closed_book_llm,3,4,3.6667,0,5,4.6667,0,5,4.6667,0,3,2.6667,0,4,4.3333,0,5,4.6667,0
PP002-D,PP002,traditional_text_rag,3,4,4.3333,0,4,4.3333,0,5,5,1,5,4.6667,0,5,4.6667,0,4,4.3333,0
PP003-A,PP003,text_rag_kg_reranking,3,5,4.6667,0,5,5,1,5,5,1,5,4.6667,0,5,5,1,5,5,1
PP003-B,PP003,traditional_text_rag,3,5,4.6667,0,4,4,1,5,5,1,4,4.3333,0,4,4.3333,0,4,4,1
PP003-C,PP003,kg_expansion_reranking_path_answer,3,4,4.3333,0,4,3.6667,0,5,4.6667,0,4,4,0,4,4,0,4,3.6667,0
PP003-D,PP003,closed_book_llm,3,4,4.3333,0,5,4.6667,0,5,5,1,3,3,0,5,4.6667,0,5,4.3333,0
PP004-A,PP004,kg_expansion_reranking_path_answer,3,4,4.3333,0,4,3.6667,0,5,4.6667,0,4,4,0,4,4.3333,0,4,3.6667,0
PP004-B,PP004,traditional_text_rag,3,5,5,1,5,5,1,5,5,1,4,4.3333,0,5,5,1,5,5,1
PP004-C,PP004,closed_book_llm,3,5,5,1,5,5,1,5,5,1,4,3.6667,0,5,5,1,5,5,1
PP004-D,PP004,text_rag_kg_reranking,3,5,5,1,4,4.3333,0,5,5,1,4,4.3333,0,5,4.6667,0,4,4.3333,0
PP005-A,PP005,traditional_text_rag,3,5,4.6667,0,5,5,1,5,5,1,5,4.6667,0,5,5,1,5,4.6667,0
PP005-B,PP005,closed_book_llm,3,2,2.3333,0,3,3.3333,0,4,4.3333,0,2,1.6667,0,2,2,1,3,2.6667,0
PP005-C,PP005,text_rag_kg_reranking,3,5,4.6667,0,4,4.3333,0,5,5,1,4,4.3333,0,4,4.3333,0,4,4.3333,0
PP005-D,PP005,kg_expansion_reranking_path_answer,3,5,4.6667,0,4,4.3333,0,5,5,1,4,4.3333,0,4,4.3333,0,4,4,0
PP006-A,PP006,closed_book_llm,3,4,3.3333,0,4,4,0,5,4,0,3,2.3333,0,4,4,0,4,3.6667,0
PP006-B,PP006,text_rag_kg_reranking,3,5,4.6667,0,4,4,0,5,4.3333,0,5,5,1,5,4.6667,0,4,4,0
PP006-C,PP006,traditional_text_rag,3,5,4.6667,0,5,4.6667,0,5,4.3333,0,5,5,1,5,4.6667,0,5,4.3333,0
PP006-D,PP006,kg_expansion_reranking_path_answer,3,4,3.6667,0,3,2.6667,0,4,3.6667,0,4,4.3333,0,4,3.3333,0,3,2.6667,0
PP007-A,PP007,traditional_text_rag,3,4,4,0,3,3.3333,0,5,4.6667,0,4,4,0,4,4,0,3,3.3333,0
PP007-B,PP007,kg_expansion_reranking_path_answer,3,4,4,0,4,3.6667,0,5,4.6667,0,4,4,0,4,4,0,4,4.3333,0
PP007-C,PP007,text_rag_kg_reranking,3,4,4,0,4,3.6667,0,5,4.6667,0,4,4,0,4,4.3333,0,4,3.6667,0
PP007-D,PP007,closed_book_llm,3,4,4,0,5,5,1,5,5,1,2,3,0,5,5,1,5,4.6667,0
PP008-A,PP008,kg_expansion_reranking_path_answer,3,3,3,0,3,2.6667,0,4,4,0,3,3.3333,0,3,3,0,2,2.3333,0
