question_id,pmid,relevance
Q001,29904399,2
Q001,24956021,2
Q001,34854397,1
Q001,35185286,1
Q001,33339654,1
Q002,23605904,2
Q002,33426313,2
Q002,28240263,2
Q002,35909545,2
Q002,25804101,1
Q002,40713676,1
Q002,33953168,1
Q002,20980664,2
Q002,34854397,2
Q003,11238501,2
Q003,11287357,2
Q003,18489581,2
Q003,19794059,2
Q003,33998291,2
Q003,25341798,2
Q003,16823477,1
Q004,18755156,2
Q004,30623450,2
Q004,17916240,2
Q004,31223280,1
Q005,9848093,2
Q005,18218341,2
Q005,21547208,1
Q006,17584107,2
Q006,19075102,2
Q006,22710021,2
Q006,18808324,1
Q007,30891627,2
Q007,22324470,2
Q007,30133701,2
Q007,29922283,2
Q007,22096355,1
Q007,28148916,1
Q007,33072104,1
Q007,31931372,2
Q008,26549988,2
Q008,30546102,2
Q008,38179971,2
Q008,35276841,1
Q008,35160099,1
Q008,27588407,2
Q008,35449374,2
Q008,22649552,1
Q009,31114509,1
Q009,18835816,2
Q009,28122601,2
Q009,24058805,1
Q009,40391687,2
Q009,36588738,2
Q009,39713478,2
Q009,21388555,2
Q009,41521250,2
Q010,29904399,2
Q010,24956021,2
Q010,33426313,2
Q010,35909545,2
Q010,34854397,2
Q010,33339654,2
Q010,31661767,1
Q010,31971108,1
