question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,0.19860472530126572,3.355601318180561,0.0003540515899658203,,,,9.83154682815075,65,90,2,"['29500883', '38045146']",9,,,
Q004,0.0,0.0032491981983184814,1.5856572985649109,6.80685043334961e-05,,,,10.501049026846886,89,126,3,"['15810876', '30623450', '32519340']",15,,,
Q008,0.0,0.002626568078994751,1.4918923154473305,0.0003507956862449646,,,,12.071316540241241,105,163,4,"['23788646', '28155088', '37546931', '38554847']",15,,,
Q010,0.0,0.0021286532282829285,1.4019585847854614,3.0606985092163086e-05,,,,9.302739582955837,86,150,0,[],12,,,
Q011,0.0,0.0032285749912261963,1.613015204668045,3.3892691135406494e-05,,,,12.497183986008167,123,208,2,"['24009772', '26277279']",15,,,
Q015,0.0,0.001267954707145691,0.6429448872804642,6.654858589172363e-05,,,,7.258932821452618,50,67,0,[],3,,,
Q016,0.0,0.0011392384767532349,0.7217413410544395,5.490332841873169e-05,,,,7.381404884159565,42,62,0,[],4,,,
Q025,0.0,0.0011256486177444458,0.7171133756637573,2.9712915420532227e-05,,,,7.4642902463674545,43,65,0,[],4,,,
Q028,0.0,0.0024240538477897644,1.3801580667495728,2.703070640563965e-05,,,,11.059820853173733,102,189,0,[],9,,,
Q029,0.0,0.0012857317924499512,1.0454729348421097,0.00037754327058792114,,,,7.147972695529461,41,76,0,[],7,,,
Q037,0.0,0.0019336864352226257,1.2185503467917442,0.0011101514101028442,,,,10.087963357567787,59,126,4,"['20485626', '25646384', '29052129', '30611768', '32839523', '38064540']",11,,,
Q041,0.0,0.002308666706085205,1.2577465996146202,2.831965684890747e-05,,,,7.294452823698521,81,181,0,[],10,,,
Q050,0.0,0.0017491728067398071,0.7907730862498283,6.876140832901001e-05,,,,6.348125331103802,72,101,0,[],5,,,
