question_id,pubtator_fetch,semantic_graph,vector_index,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,0.20290904492139816,2.865408457815647,12.801433257758617,8.920887470245361,13.152457758784294,41.880155235528946,24,33,0,[],9,9055,4579,13634
Q002,0.0,0.0012980476021766663,1.9523540809750557,7.01464568823576,6.382795996963978,8.99166239798069,29.180433429777622,51,71,0,[],15,6851,2680,9531
Q003,0.0,0.0026527568697929382,1.764197789132595,6.3420170322060585,6.951549470424652,11.309441819787025,32.713805966079235,46,58,0,[],15,6543,2833,9376
Q004,0.0,0.002271227538585663,1.4737832993268967,7.528078302741051,7.445688389241695,8.38057866692543,30.026068158447742,40,51,0,[],15,7323,2919,10242
Q005,0.0,0.0018208250403404236,1.5559503138065338,6.334620118141174,4.615448914468288,5.337316565215588,23.270795725286007,33,42,0,[],15,6533,1738,8271
Q006,0.0,0.0023591890931129456,1.911850944161415,5.678835451602936,8.029970586299896,11.042643770575523,30.71389428526163,48,63,0,[],15,7006,2810,9816
Q007,0.0,0.0017929300665855408,1.9125899896025658,5.892034977674484,5.690400257706642,7.487171292304993,24.817705161869526,35,41,0,[],15,6151,2187,8338
Q008,0.0,0.0010115206241607666,1.7338797897100449,10.494759812951088,8.425315544009209,15.560975961387157,41.312155790627,30,44,0,[],15,8809,4226,13035
Q009,0.0,0.0021848976612091064,1.948620431125164,8.127699561417103,8.505367986857891,24.405584387481213,48.26174680888653,53,52,0,[],15,8200,5153,13353
Q010,0.0,0.0022311657667160034,1.5360486581921577,20.246977977454662,21.05468100309372,36.39028721302748,83.2428969219327,37,41,0,[],12,10481,11733,22214
