system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q001,1,27492554,0.69073327
netmedex_hybrid_rag,Q001,2,29904399,0.68604888
netmedex_hybrid_rag,Q001,3,38045146,0.66512030
netmedex_hybrid_rag,Q001,4,41484919,0.66333930
netmedex_hybrid_rag,Q001,5,35292240,0.64761818
netmedex_hybrid_rag,Q001,6,29500883,0.64474723
netmedex_hybrid_rag,Q001,7,33743412,0.60898819
netmedex_hybrid_rag,Q001,8,32911026,0.57527336
netmedex_hybrid_rag,Q001,9,39588260,0.56608060
traditional_rag,Q001,1,27492554,0.69073327
traditional_rag,Q001,2,29904399,0.68604888
traditional_rag,Q001,3,38045146,0.66512030
traditional_rag,Q001,4,41484919,0.66333930
traditional_rag,Q001,5,35292240,0.64761818
traditional_rag,Q001,6,29500883,0.64474723
traditional_rag,Q001,7,33743412,0.60898819
traditional_rag,Q001,8,32911026,0.57527336
traditional_rag,Q001,9,39588260,0.56608060
netmedex_hybrid_rag,Q002,1,23605904,0.68781920
netmedex_hybrid_rag,Q002,2,23223004,0.67344396
netmedex_hybrid_rag,Q002,3,33434305,0.67283238
netmedex_hybrid_rag,Q002,4,33255179,0.66968979
netmedex_hybrid_rag,Q002,5,27904930,0.65499980
netmedex_hybrid_rag,Q002,6,34311172,0.65211147
netmedex_hybrid_rag,Q002,7,35831436,0.64787427
netmedex_hybrid_rag,Q002,8,41369394,0.64462186
netmedex_hybrid_rag,Q002,9,36835184,0.63653947
netmedex_hybrid_rag,Q002,10,35285389,0.63339694
traditional_rag,Q002,1,23605904,0.68781920
traditional_rag,Q002,2,23223004,0.67344396
traditional_rag,Q002,3,33434305,0.67283238
traditional_rag,Q002,4,33255179,0.66968979
traditional_rag,Q002,5,27904930,0.65499980
traditional_rag,Q002,6,34311172,0.65211147
traditional_rag,Q002,7,35831436,0.64787427
traditional_rag,Q002,8,41369394,0.64462186
traditional_rag,Q002,9,36835184,0.63653947
traditional_rag,Q002,10,35285389,0.63339694
