system,arm,question_id,run_id,path_rank,path_id,path_signature,source,bridge,target,relation_1,relation_2,direction_1,direction_2,pmids,score,hop_count,path_text
netmedex_hybrid_rag,D_two_hop,Q001,formal-v1-gpt-5.6-luna-D_two_hop,1,Q001-P01,0cb47f259e214f24,icariin,,osteogenic differentiation,promotes,,forward,undirected,29904399,1.0230,1,icariin ->[promotes] osteogenic differentiation
netmedex_hybrid_rag,D_two_hop,Q001,formal-v1-gpt-5.6-luna-D_two_hop,2,Q001-P02,902232bf4b47afac,icariin,runt-related transcription factor 2,osteogenic differentiation,upregulates,regulates,forward,forward,29904399;38045146,0.8260,2,icariin ->[upregulates] runt-related transcription factor 2 | runt-related transcription factor 2 ->[regulates] osteogenic differentiation
netmedex_hybrid_rag,D_two_hop,Q001,formal-v1-gpt-5.6-luna-D_two_hop,3,Q001-P03,539bb3d5fad4d258,icariin,jmjd3,osteogenic differentiation,upregulates,correlates_with,forward,undirected,38045146,0.7050,2,icariin ->[upregulates] jmjd3 | jmjd3 --[correlates_with] osteogenic differentiation
netmedex_hybrid_rag,D_two_hop,Q001,formal-v1-gpt-5.6-luna-D_two_hop,4,Q001-P04,2204134d2ffafdfe,icariin,mir-153,osteogenic differentiation,increases,regulates,forward,forward,29904399,0.6920,2,icariin ->[increases] mir-153 | mir-153 ->[regulates] osteogenic differentiation
netmedex_hybrid_rag,D_two_hop,Q002,formal-v1-gpt-5.6-luna-D_two_hop,1,Q002-P01,922ffc92a74ffa0f,osteoporosis,osteoporosis,bone formation,associated_with,associated_with,undirected,undirected,23605904;34502371,0.6570,2,osteoporosis --[associated_with] osteoporosis | osteoporosis --[associated_with] bone formation
netmedex_hybrid_rag,D_two_hop,Q002,formal-v1-gpt-5.6-luna-D_two_hop,2,Q002-P02,65e20457af215c29,osteoporosis,,bone formation,associated_with,,undirected,undirected,37215980,0.5990,1,osteoporosis --[associated_with] bone formation
netmedex_hybrid_rag,D_two_hop,Q002,formal-v1-gpt-5.6-luna-D_two_hop,3,Q002-P03,4c2967385a20b4e6,osteoporosis,osteoporosis,osteogenesis,associated_with,related_to,undirected,undirected,23605904;34502371,0.5670,2,osteoporosis --[associated_with] osteoporosis | osteoporosis --[related_to] osteogenesis
netmedex_hybrid_rag,D_two_hop,Q003,formal-v1-gpt-5.6-luna-D_two_hop,1,Q003-P01,0312d3a6664955db,insulin resistance,pcos,inflammation,associated_with,associated_with,undirected,undirected,33439300,0.8080,2,insulin resistance --[associated_with] pcos | pcos --[associated_with] inflammation
netmedex_hybrid_rag,D_two_hop,Q004,formal-v1-gpt-5.6-luna-D_two_hop,1,Q004-P01,f304e9bf2cf16017,curcumin,,apoptosis,induces,,forward,undirected,32519340,1.0290,1,curcumin ->[induces] apoptosis
netmedex_hybrid_rag,D_two_hop,Q004,formal-v1-gpt-5.6-luna-D_two_hop,2,Q004-P02,e2e3629b23a98a25,curcumin,,apoptosis,induces,,forward,undirected,38269517,0.9470,1,curcumin ->[induces] apoptosis
