answer_id,question_id,system
Q001-A,Q001,traditional_rag
Q001-B,Q001,netmedex_hybrid_rag
Q002-A,Q002,netmedex_hybrid_rag
Q002-B,Q002,traditional_rag
Q003-A,Q003,traditional_rag
Q003-B,Q003,netmedex_hybrid_rag
Q004-A,Q004,netmedex_hybrid_rag
Q004-B,Q004,traditional_rag
Q005-A,Q005,traditional_rag
Q005-B,Q005,netmedex_hybrid_rag
Q006-A,Q006,traditional_rag
Q006-B,Q006,netmedex_hybrid_rag
Q007-A,Q007,netmedex_hybrid_rag
Q007-B,Q007,traditional_rag
Q008-A,Q008,netmedex_hybrid_rag
Q008-B,Q008,traditional_rag
Q009-A,Q009,traditional_rag
Q009-B,Q009,netmedex_hybrid_rag
Q010-A,Q010,netmedex_hybrid_rag
Q010-B,Q010,traditional_rag
Q011-A,Q011,traditional_rag
Q011-B,Q011,netmedex_hybrid_rag
Q012-A,Q012,traditional_rag
Q012-B,Q012,netmedex_hybrid_rag
Q013-A,Q013,netmedex_hybrid_rag
Q013-B,Q013,traditional_rag
Q014-A,Q014,netmedex_hybrid_rag
Q014-B,Q014,traditional_rag
Q015-A,Q015,netmedex_hybrid_rag
Q015-B,Q015,traditional_rag
Q016-A,Q016,netmedex_hybrid_rag
Q016-B,Q016,traditional_rag
Q017-A,Q017,netmedex_hybrid_rag
Q017-B,Q017,traditional_rag
Q018-A,Q018,traditional_rag
Q018-B,Q018,netmedex_hybrid_rag
Q019-A,Q019,netmedex_hybrid_rag
Q019-B,Q019,traditional_rag
Q020-A,Q020,traditional_rag
Q020-B,Q020,netmedex_hybrid_rag
Q021-A,Q021,traditional_rag
Q021-B,Q021,netmedex_hybrid_rag
Q022-A,Q022,netmedex_hybrid_rag
Q022-B,Q022,traditional_rag
Q023-A,Q023,traditional_rag
Q023-B,Q023,netmedex_hybrid_rag
Q024-A,Q024,netmedex_hybrid_rag
Q024-B,Q024,traditional_rag
Q025-A,Q025,traditional_rag
Q025-B,Q025,netmedex_hybrid_rag
Q026-A,Q026,traditional_rag
Q026-B,Q026,netmedex_hybrid_rag
Q027-A,Q027,traditional_rag
Q027-B,Q027,netmedex_hybrid_rag
Q028-A,Q028,netmedex_hybrid_rag
Q028-B,Q028,traditional_rag
Q029-A,Q029,traditional_rag
Q029-B,Q029,netmedex_hybrid_rag
Q030-A,Q030,traditional_rag
Q030-B,Q030,netmedex_hybrid_rag
Q031-A,Q031,netmedex_hybrid_rag
Q031-B,Q031,traditional_rag
Q032-A,Q032,traditional_rag
Q032-B,Q032,netmedex_hybrid_rag
Q033-A,Q033,netmedex_hybrid_rag
Q033-B,Q033,traditional_rag
Q034-A,Q034,traditional_rag
Q034-B,Q034,netmedex_hybrid_rag
Q035-A,Q035,traditional_rag
Q035-B,Q035,netmedex_hybrid_rag
Q036-A,Q036,traditional_rag
Q036-B,Q036,netmedex_hybrid_rag
Q037-A,Q037,traditional_rag
Q037-B,Q037,netmedex_hybrid_rag
Q038-A,Q038,traditional_rag
Q038-B,Q038,netmedex_hybrid_rag
Q039-A,Q039,netmedex_hybrid_rag
Q039-B,Q039,traditional_rag
Q040-A,Q040,netmedex_hybrid_rag
Q040-B,Q040,traditional_rag
Q041-A,Q041,traditional_rag
Q041-B,Q041,netmedex_hybrid_rag
Q042-A,Q042,traditional_rag
Q042-B,Q042,netmedex_hybrid_rag
Q043-A,Q043,traditional_rag
Q043-B,Q043,netmedex_hybrid_rag
Q044-A,Q044,netmedex_hybrid_rag
Q044-B,Q044,traditional_rag
Q045-A,Q045,netmedex_hybrid_rag
Q045-B,Q045,traditional_rag
Q046-A,Q046,netmedex_hybrid_rag
Q046-B,Q046,traditional_rag
Q047-A,Q047,traditional_rag
Q047-B,Q047,netmedex_hybrid_rag
Q048-A,Q048,traditional_rag
Q048-B,Q048,netmedex_hybrid_rag
Q049-A,Q049,traditional_rag
Q049-B,Q049,netmedex_hybrid_rag
Q050-A,Q050,traditional_rag
Q050-B,Q050,netmedex_hybrid_rag
