system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q005,1,22697066,0.65186032
netmedex_hybrid_rag,Q005,2,27766447,0.62847977
netmedex_hybrid_rag,Q005,3,35522844,0.62554636
netmedex_hybrid_rag,Q005,4,40864415,0.62222388
netmedex_hybrid_rag,Q005,5,27809706,0.60240052
netmedex_hybrid_rag,Q005,6,33476985,0.59804709
netmedex_hybrid_rag,Q005,7,40023293,0.58840319
netmedex_hybrid_rag,Q005,8,37956598,0.56702940
netmedex_hybrid_rag,Q005,9,37597424,0.56590197
netmedex_hybrid_rag,Q005,10,32967303,0.55066044
traditional_rag,Q005,1,22697066,0.65186032
traditional_rag,Q005,2,27766447,0.62847977
traditional_rag,Q005,3,35522844,0.62554636
traditional_rag,Q005,4,40864415,0.62222388
traditional_rag,Q005,5,27809706,0.60240052
traditional_rag,Q005,6,33476985,0.59804709
traditional_rag,Q005,7,40023293,0.58840319
traditional_rag,Q005,8,37956598,0.56702940
traditional_rag,Q005,9,37597424,0.56590197
traditional_rag,Q005,10,32967303,0.55066044
netmedex_hybrid_rag,Q008,1,27588407,0.72602290
netmedex_hybrid_rag,Q008,2,30546102,0.70704467
netmedex_hybrid_rag,Q008,3,28155088,0.68939149
netmedex_hybrid_rag,Q008,4,37546931,0.67447640
netmedex_hybrid_rag,Q008,5,23788646,0.66439740
netmedex_hybrid_rag,Q008,6,38073491,0.66310067
netmedex_hybrid_rag,Q008,7,38554847,0.65721493
netmedex_hybrid_rag,Q008,8,35743652,0.62662554
netmedex_hybrid_rag,Q008,9,36600119,0.61992135
netmedex_hybrid_rag,Q008,10,38179971,0.58446400
traditional_rag,Q008,1,23788646,0.59245753
traditional_rag,Q008,2,37546931,0.58642523
traditional_rag,Q008,3,38554847,0.58140759
traditional_rag,Q008,4,27588407,0.57849676
traditional_rag,Q008,5,40824057,0.57558749
traditional_rag,Q008,6,38073491,0.56892411
traditional_rag,Q008,7,40247380,0.56547436
traditional_rag,Q008,8,35160099,0.55841486
traditional_rag,Q008,9,30546102,0.54929949
traditional_rag,Q008,10,35743652,0.54242391
netmedex_hybrid_rag,Q010,1,28158288,0.37199336
netmedex_hybrid_rag,Q010,2,38795694,0.37141974
netmedex_hybrid_rag,Q010,3,40350835,0.36869829
netmedex_hybrid_rag,Q010,4,41961168,0.36009097
netmedex_hybrid_rag,Q010,5,31131457,0.35453840
netmedex_hybrid_rag,Q010,6,27492554,0.35251131
netmedex_hybrid_rag,Q010,7,40024453,0.35132082
netmedex_hybrid_rag,Q010,8,30827108,0.34564720
netmedex_hybrid_rag,Q010,9,40266676,0.34286515
netmedex_hybrid_rag,Q010,10,40358879,0.34132588
traditional_rag,Q010,1,28158288,0.37199336
traditional_rag,Q010,2,38795694,0.37141974
traditional_rag,Q010,3,40350835,0.36869829
traditional_rag,Q010,4,41961168,0.36009097
traditional_rag,Q010,5,31131457,0.35453840
traditional_rag,Q010,6,27492554,0.35251131
traditional_rag,Q010,7,40024453,0.35132082
traditional_rag,Q010,8,30827108,0.34564720
traditional_rag,Q010,9,40266676,0.34286515
traditional_rag,Q010,10,40358879,0.34132588
netmedex_hybrid_rag,Q011,1,26277279,0.75576794
netmedex_hybrid_rag,Q011,2,34062070,0.74752912
netmedex_hybrid_rag,Q011,3,24009772,0.73299268
netmedex_hybrid_rag,Q011,4,24750786,0.70483927
netmedex_hybrid_rag,Q011,5,35072253,0.68831800
netmedex_hybrid_rag,Q011,6,35731713,0.68810258
netmedex_hybrid_rag,Q011,7,31205529,0.67114547
netmedex_hybrid_rag,Q011,8,34576192,0.67111496
netmedex_hybrid_rag,Q011,9,29662316,0.65054369
netmedex_hybrid_rag,Q011,10,29167573,0.64328075
traditional_rag,Q011,1,34062070,0.69019864
traditional_rag,Q011,2,35072253,0.68831800
traditional_rag,Q011,3,29167573,0.64328075
traditional_rag,Q011,4,26277279,0.62425837
traditional_rag,Q011,5,35731713,0.62300397
traditional_rag,Q011,6,24009772,0.58921951
traditional_rag,Q011,7,34576192,0.57263840
traditional_rag,Q011,8,25710562,0.57205140
traditional_rag,Q011,9,30445633,0.56521038
traditional_rag,Q011,10,31205529,0.54845457
netmedex_hybrid_rag,Q012,1,30874945,0.64712483
netmedex_hybrid_rag,Q012,2,40651688,0.63950605
netmedex_hybrid_rag,Q012,3,40640358,0.61603486
netmedex_hybrid_rag,Q012,4,39800461,0.60771698
netmedex_hybrid_rag,Q012,5,32087283,0.59921552
netmedex_hybrid_rag,Q012,6,34813026,0.57703056
netmedex_hybrid_rag,Q012,7,28127589,0.56377496
netmedex_hybrid_rag,Q012,8,29669582,0.52913017
netmedex_hybrid_rag,Q012,9,38824976,0.51360225
netmedex_hybrid_rag,Q012,10,39725872,0.51190110
traditional_rag,Q012,1,30874945,0.64712483
traditional_rag,Q012,2,40651688,0.63950605
traditional_rag,Q012,3,39800461,0.60771698
traditional_rag,Q012,4,34813026,0.57703056
traditional_rag,Q012,5,28127589,0.56377496
traditional_rag,Q012,6,40640358,0.55789979
traditional_rag,Q012,7,29669582,0.52913017
traditional_rag,Q012,8,38824976,0.51360225
traditional_rag,Q012,9,39725872,0.51190110
traditional_rag,Q012,10,32087283,0.50887003
netmedex_hybrid_rag,Q018,1,34123476,0.57130668
netmedex_hybrid_rag,Q018,2,24872026,0.56044785
netmedex_hybrid_rag,Q018,3,31043740,0.52736572
netmedex_hybrid_rag,Q018,4,40594755,0.52066251
netmedex_hybrid_rag,Q018,5,34183838,0.52035619
netmedex_hybrid_rag,Q018,6,40198121,0.51849559
netmedex_hybrid_rag,Q018,7,35592732,0.51702076
netmedex_hybrid_rag,Q018,8,42162235,0.51306262
