question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,2.0891427993774414e-05,3.4752877727150917,0.00013240426778793335,0.0,,,3.980160988867283,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,2.4341046810150146e-05,1.885502114892006,9.912252426147461e-05,0.0,,,2.368032433092594,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,3.0547380447387695e-05,1.745637834072113,5.4776668548583984e-05,0.0,,,2.246023178100586,33,42,1,['33476985'],15,,,
PP004,0.0,0.00019541382789611816,1.383317992091179,1.1719763278961182e-05,0.0,,,1.8567821606993675,35,41,1,['27576555'],15,,,
PP005,0.0,1.693516969680786e-05,1.5080729350447655,7.396936416625977e-05,0.0,,,2.014131538569927,123,208,1,['26277279'],15,,,
PP006,0.0,3.7103891372680664e-05,1.2243642136454582,0.00015106052160263062,0.0,,,1.708912804722786,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,2.6367604732513428e-05,1.4135347604751587,0.00010013580322265625,0.0,,,1.8877453058958054,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,4.184991121292114e-05,2.1436772271990776,0.00021158158779144287,0.0,,,2.656594581902027,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,2.413243055343628e-05,1.8002125844359398,0.0001649707555770874,0.0,,,2.291989304125309,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,1.7099082469940186e-05,1.541797824203968,0.00016710162162780762,0.0,,,2.100867837667465,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,4.871189594268799e-05,1.2160526439547539,0.0002077743411064148,0.0,,,1.6894504055380821,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,1.744180917739868e-05,1.581726111471653,0.00019039958715438843,0.0,,,2.070566348731518,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,2.656877040863037e-05,1.158992938697338,0.00020760297775268555,0.0,,,1.6299674361944199,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,1.5340745449066162e-05,2.413059577345848,6.268344923853874,24.7922021150589,,,36.95989019423723,166,267,1,"['29302038', '35430804']",26,4110,942,5052
PP015,0.0,0.00011243671178817749,3.462364077568054,6.428015261888504,20.594927057623863,,,42.72159570455551,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,3270,1197,4467
PP016,0.0,2.310425043106079e-05,3.38972420245409,6.841230534017086,27.131619460880756,,,49.83813961595297,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,4558,1424,5982
PP017,0.0,8.349120616912842e-05,1.7499977573752403,0.00015936791896820068,0.0,,,2.1967891976237297,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,4.8764050006866455e-05,3.03309179097414,7.519670978188515,32.93207569420338,,,55.256751514971256,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,4430,1629,6059
PP019,0.0,0.00011622905731201172,3.50271537899971,9.57375904172659,22.70572268217802,,,49.64120050519705,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,4262,1314,5576
PP020,0.0,8.783489465713501e-05,3.4738038554787636,10.627498723566532,32.98090594261885,,,65.06803669780493,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,4438,1886,6324
