system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q001,1,27492554,0.69073327
netmedex_hybrid_rag,Q001,2,29904399,0.68604888
netmedex_hybrid_rag,Q001,3,38045146,0.66512030
netmedex_hybrid_rag,Q001,4,41484919,0.66333930
netmedex_hybrid_rag,Q001,5,35292240,0.64761818
netmedex_hybrid_rag,Q001,6,29500883,0.64474723
netmedex_hybrid_rag,Q001,7,33743412,0.60898819
netmedex_hybrid_rag,Q001,8,32911026,0.57527336
netmedex_hybrid_rag,Q001,9,39588260,0.56608060
traditional_rag,Q001,1,27492554,0.69073327
traditional_rag,Q001,2,29904399,0.68604888
traditional_rag,Q001,3,38045146,0.66512030
traditional_rag,Q001,4,41484919,0.66333930
traditional_rag,Q001,5,35292240,0.64761818
traditional_rag,Q001,6,29500883,0.64474723
traditional_rag,Q001,7,33743412,0.60898819
traditional_rag,Q001,8,32911026,0.57527336
traditional_rag,Q001,9,39588260,0.56608060
netmedex_hybrid_rag,Q004,1,18755156,0.63519583
netmedex_hybrid_rag,Q004,2,15810876,0.62837622
netmedex_hybrid_rag,Q004,3,28392463,0.62753523
netmedex_hybrid_rag,Q004,4,32116190,0.61359193
netmedex_hybrid_rag,Q004,5,17569215,0.60137357
netmedex_hybrid_rag,Q004,6,30623450,0.59891994
netmedex_hybrid_rag,Q004,7,38699926,0.59209347
netmedex_hybrid_rag,Q004,8,31590362,0.58895066
netmedex_hybrid_rag,Q004,9,28926094,0.58792502
netmedex_hybrid_rag,Q004,10,38031951,0.58784730
traditional_rag,Q004,1,18755156,0.63519583
traditional_rag,Q004,2,15810876,0.62837622
traditional_rag,Q004,3,28392463,0.62753523
traditional_rag,Q004,4,32116190,0.61359193
traditional_rag,Q004,5,17569215,0.60137357
traditional_rag,Q004,6,30623450,0.59891994
traditional_rag,Q004,7,38699926,0.59209347
traditional_rag,Q004,8,31590362,0.58895066
traditional_rag,Q004,9,28926094,0.58792502
traditional_rag,Q004,10,38031951,0.58784730
netmedex_hybrid_rag,Q011,1,34062070,0.69019864
netmedex_hybrid_rag,Q011,2,35072253,0.68831800
netmedex_hybrid_rag,Q011,3,30720062,0.65501561
netmedex_hybrid_rag,Q011,4,22593441,0.65424778
netmedex_hybrid_rag,Q011,5,20135346,0.64838410
netmedex_hybrid_rag,Q011,6,29167573,0.64328075
netmedex_hybrid_rag,Q011,7,40738017,0.63837695
netmedex_hybrid_rag,Q011,8,27814614,0.63132979
netmedex_hybrid_rag,Q011,9,27391065,0.62722513
netmedex_hybrid_rag,Q011,10,35780231,0.62666080
traditional_rag,Q011,1,34062070,0.69019864
traditional_rag,Q011,2,35072253,0.68831800
traditional_rag,Q011,3,30720062,0.65501561
traditional_rag,Q011,4,22593441,0.65424778
traditional_rag,Q011,5,20135346,0.64838410
traditional_rag,Q011,6,29167573,0.64328075
traditional_rag,Q011,7,40738017,0.63837695
traditional_rag,Q011,8,27814614,0.63132979
traditional_rag,Q011,9,27391065,0.62722513
traditional_rag,Q011,10,35780231,0.62666080
