system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q001,1,29904399,1.02907332
netmedex_hybrid_rag,Q001,2,38045146,0.99768045
netmedex_hybrid_rag,Q001,3,41484919,0.99500895
netmedex_hybrid_rag,Q001,4,35292240,0.97142727
netmedex_hybrid_rag,Q001,5,29500883,0.96712085
netmedex_hybrid_rag,Q001,6,33743412,0.91348228
netmedex_hybrid_rag,Q001,7,32911026,0.86291005
netmedex_hybrid_rag,Q001,8,39588260,0.84912090
netmedex_hybrid_rag,Q001,9,27492554,0.69073327
traditional_rag,Q001,1,27492554,0.69073327
traditional_rag,Q001,2,29904399,0.68604888
traditional_rag,Q001,3,38045146,0.66512030
traditional_rag,Q001,4,41484919,0.66333930
traditional_rag,Q001,5,35292240,0.64761818
traditional_rag,Q001,6,29500883,0.64474723
traditional_rag,Q001,7,33743412,0.60898819
traditional_rag,Q001,8,32911026,0.57527336
traditional_rag,Q001,9,39588260,0.56608060
netmedex_hybrid_rag,Q002,1,23605904,0.68781920
netmedex_hybrid_rag,Q002,2,23223004,0.67344396
netmedex_hybrid_rag,Q002,3,33434305,0.67283238
netmedex_hybrid_rag,Q002,4,33255179,0.66968979
netmedex_hybrid_rag,Q002,5,27904930,0.65499980
netmedex_hybrid_rag,Q002,6,34311172,0.65211147
netmedex_hybrid_rag,Q002,7,35831436,0.64787427
netmedex_hybrid_rag,Q002,8,41369394,0.64462186
netmedex_hybrid_rag,Q002,9,36835184,0.63653947
netmedex_hybrid_rag,Q002,10,35285389,0.63339694
traditional_rag,Q002,1,23605904,0.68781920
traditional_rag,Q002,2,23223004,0.67344396
traditional_rag,Q002,3,33434305,0.67283238
traditional_rag,Q002,4,33255179,0.66968979
traditional_rag,Q002,5,27904930,0.65499980
traditional_rag,Q002,6,34311172,0.65211147
traditional_rag,Q002,7,35831436,0.64787427
traditional_rag,Q002,8,41369394,0.64462186
traditional_rag,Q002,9,36835184,0.63653947
traditional_rag,Q002,10,35285389,0.63339694
netmedex_hybrid_rag,Q007,1,37670700,0.97343471
netmedex_hybrid_rag,Q007,2,39875232,0.97239091
netmedex_hybrid_rag,Q007,3,27576555,0.96710561
netmedex_hybrid_rag,Q007,4,37579542,0.93579925
netmedex_hybrid_rag,Q007,5,31295952,0.90712544
netmedex_hybrid_rag,Q007,6,30891627,0.88700232
netmedex_hybrid_rag,Q007,7,34875227,0.86367478
netmedex_hybrid_rag,Q007,8,34635393,0.84334905
netmedex_hybrid_rag,Q007,9,31866067,0.79512053
netmedex_hybrid_rag,Q007,10,35872102,0.78546249
traditional_rag,Q007,1,37670700,0.64895647
traditional_rag,Q007,2,39875232,0.64826061
traditional_rag,Q007,3,27576555,0.64473708
traditional_rag,Q007,4,37579542,0.62386616
traditional_rag,Q007,5,25145755,0.61549391
traditional_rag,Q007,6,30502718,0.60990602
traditional_rag,Q007,7,31295952,0.60475029
traditional_rag,Q007,8,30891627,0.59133488
traditional_rag,Q007,9,34875227,0.57578319
traditional_rag,Q007,10,34635393,0.56223270
