question_id,pmid,relevance,original_relevance,audit_status,notes
Q001,29904399,2,,final-ai-confirmed,
Q001,24956021,1,2,final-ai-regraded,AUDIT: paper has zero miRNA content (icariin/PI3K-Akt/eNOS pathway only) for a question specifically about miRNA-related mechanisms; downgraded 2->1.
Q001,34854397,1,,final-ai-confirmed,
Q001,35185286,1,,final-ai-confirmed,
Q001,33339654,1,,final-ai-confirmed,
Q002,23605904,2,,final-ai-confirmed,
Q002,33426313,2,,final-ai-confirmed,
Q002,28240263,1,2,final-ai-regraded,"AUDIT: paper is about osteoCLAST activity/bone resorption, not osteogenesis (bone formation), which is what the question specifically asks about; downgraded 2->1."
Q002,35909545,2,,final-ai-confirmed,
Q002,25804101,1,,final-ai-confirmed,
Q002,40713676,2,1,final-ai-regraded,"AUDIT: near-perfect title match (osteoporosis + miR-23a + osteoblast differentiation, 2025 paper) was undergraded; upgraded 1->2."
Q002,33953168,1,,final-ai-confirmed,
Q002,20980664,2,,final-ai-confirmed,
Q002,34854397,2,,final-ai-confirmed,
Q003,11238501,2,,final-ai-confirmed,
Q003,11287357,2,,final-ai-confirmed,
Q003,18489581,2,,final-ai-confirmed,
Q003,19794059,2,,final-ai-confirmed,
Q003,33998291,2,,final-ai-confirmed,
Q003,25341798,2,,final-ai-confirmed,
Q003,16823477,1,,final-ai-confirmed,
Q004,18755156,2,,final-ai-confirmed,
Q004,30623450,2,,final-ai-confirmed,
Q004,17916240,2,,final-ai-confirmed,
Q004,31223280,1,,final-ai-confirmed,
Q005,9848093,2,,final-ai-confirmed,
Q005,18218341,2,,final-ai-confirmed,
Q005,21547208,2,1,final-ai-regraded,"AUDIT: mechanistically as specific as 18218341 (graded 2) -- Abeta inhibiting complex IV, binding cyclophilin D/PTP, raising ROS; upgraded 1->2 for consistency."
Q006,17584107,2,,final-ai-confirmed,
Q006,19075102,2,,final-ai-confirmed,
Q006,22710021,2,,final-ai-confirmed,
Q006,18808324,2,1,final-ai-regraded,"AUDIT: review as mechanistically specific as 17584107 (graded 2) -- covers Rho/ROCK, NADPH oxidase, NO bioavailability in comparable depth; upgraded 1->2 for consistency."
Q007,30891627,2,,final-ai-confirmed,
Q007,22324470,2,,final-ai-confirmed,
Q007,30133701,2,,final-ai-confirmed,
Q007,29922283,2,,final-ai-confirmed,
