hidden_claim_id,hybrid_only,path_traceable,evidence_support,relation_direction_correct,multi_document_or_hop,unsupported_novelty,non_obviousness,research_utility,rater_count,validated_hidden_claim
Q008-HC01,0,1,1,1,0,0,3,4,3,0
Q008-HC02,0,0,0,0,0,1,3,4,3,0
Q008-HC03,0,0,0,1,1,1,3.0,4.0,2,0
Q008-HC04,1,0,0,0,0,1,4,4,3,0
Q008-HC05,0,1,1,1,0,0,4,5,3,0
Q011-HC01,0,1,1,1,0,0,2,3,3,0
Q011-HC02,0,1,1,1,0,0,3,4,3,0
Q011-HC03,0,1,1,1,0,0,2,3,3,0
Q011-HC04,0,1,1,1,0,0,3,4,3,0
Q011-HC05,0,1,1,1,1,0,2,4,3,0
Q012-HC01,0,0,0,0,0,1,3,3,3,0
Q012-HC02,1,0,0,0,0,1,3,3,3,0
Q019-HC01,0,1,1,1,0,0,2,3,3,0
Q019-HC02,0,0,0,1,0,1,2,3,3,0
Q019-HC03,0,0,0,0,0,1,2,3,3,0
Q019-HC04,0,0,0,0,0,1,3,3,3,0
Q019-HC05,0,1,1,1,0,0,2,3,3,0
Q037-HC01,0,1,1,1,0,0,2,3,3,0
Q037-HC02,0,0,0,0,1,1,2,3,3,0
Q037-HC03,0,0,1,1,1,0,2,3,3,0
Q037-HC04,0,0,0,0,0,1,4,3,3,0
Q037-HC05,0,0,0,0,0,1,3,3,3,0
