system,arm,question_id,run_id,label,question_type,routed_profile,route_reason,use_node_rag,max_hops,gate_directional_paths,gate_multi_document_paths,gate_evidence_paths,node_ids,exposed_pmids,exposed_edges,exposed_paths,exposure_signature
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP001,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,29500883;38045146,icariin ->[blocks] ti | ti ->[inhibits] osteogenic differentiation;icariin ->[promotes] osteogenic differentiation,icariin|ti|osteogenic differentiation;icariin|osteogenic differentiation,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP002,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,15810876;30623450;32519340,curcumin ->[upregulates] p53 | p53 ->[increases] apoptosis;curcumin ->[induces] apoptosis;curcumin ->[induces] apoptosis,curcumin|p53|apoptosis;curcumin|apoptosis;curcumin|apoptosis,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP003,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,33476985,amyloid-beta --[related_to] mitochondrial toxicity,amyloid-beta|mitochondrial toxicity,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP004,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,27576555,il-17 ->[promotes] autoimmune disease,il-17|autoimmune disease,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP005,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,26277279,metformin --[associated_with] malignancy,metformin|malignancy,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP006,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,29500883;38045146,icariin ->[blocks] ti | ti ->[inhibits] osteogenic differentiation;icariin ->[promotes] osteogenic differentiation,icariin|ti|osteogenic differentiation;icariin|osteogenic differentiation,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP007,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,15810876;30623450;32519340,curcumin ->[upregulates] p53 | p53 ->[increases] apoptosis;curcumin ->[induces] apoptosis;curcumin ->[induces] apoptosis,curcumin|p53|apoptosis;curcumin|apoptosis;curcumin|apoptosis,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP008,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,21320797;38474387,dysbiosis ->[decreases] serotonin | serotonin ->[treats] bone diseases,dysbiosis|serotonin|bone diseases,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP009,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,23788646;28155088;37546931,cystic fibrosis transmembrane regulator protein ->[causes] inflammation | inflammation --[associated_with] cf | cf ->[causes] cftr | cftr ->[induces] intestinal inflammation,cystic fibrosis transmembrane regulator protein|inflammation|cf|cftr|intestinal inflammation,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP010,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,37546931;38554847,cftr ->[induces] dysbiosis | dysbiosis --[associated_with] inflammation;cftr ->[induces] inflammation,cftr|dysbiosis|inflammation;cftr|inflammation,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP011,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,20485626;25646384;29052129;32839523;38064540,chronic hepatitis b virus (hbv) infection ->[leads_to] liver fibrosis | liver fibrosis --[associated_with] hbv | hbv ->[causes] chronic liver inflammation | chronic liver inflammation ->[promotes] hcc;chronic hepatitis b virus (hbv) infection ->[causes] chronic liver inflammation | chronic liver inflammation ->[promotes] hcc;chronic hepatitis b virus (hbv) infection ->[causes] hcc,chronic hepatitis b virus (hbv) infection|liver fibrosis|hbv|chronic liver inflammation|hcc;chronic hepatitis b virus (hbv) infection|chronic liver inflammation|hcc;chronic hepatitis b virus (hbv) infection|hcc,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP012,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,29052129;30611768;38064540,chronic hepatitis b virus (hbv) infection ->[leads_to] liver fibrosis | liver fibrosis --[associated_with] hbv | hbv ->[causes] hbv infection | hbv infection ->[causes] hepatocellular carcinoma,chronic hepatitis b virus (hbv) infection|liver fibrosis|hbv|hbv infection|hepatocellular carcinoma,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP013,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,20485626;25646384;29052129;32839523;38064540,chronic hepatitis b virus (hbv) infection ->[leads_to] liver fibrosis | liver fibrosis --[associated_with] hbv | hbv ->[causes] chronic liver inflammation | chronic liver inflammation ->[promotes] hcc;chronic hepatitis b virus (hbv) infection ->[causes] chronic liver inflammation | chronic liver inflammation ->[promotes] hcc;chronic hepatitis b virus (hbv) infection ->[causes] hcc,chronic hepatitis b virus (hbv) infection|liver fibrosis|hbv|chronic liver inflammation|hcc;chronic hepatitis b virus (hbv) infection|chronic liver inflammation|hcc;chronic hepatitis b virus (hbv) infection|hcc,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP014,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,29302038;35430804,dysbiosis ->[decreases] fatty acids volatile | fatty acids volatile ->[prevents] bone diseases,dysbiosis|fatty acids volatile|bone diseases,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP015,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,33201261;36289287;36600119;37546931,cftr ->[induces] inflammation;cftr ->[causes] cystic fibrosis | cystic fibrosis ->[leads_to] inflammation;cftr ->[induces] dysbiosis | dysbiosis --[associated_with] inflammation,cftr|inflammation;cftr|cystic fibrosis|inflammation;cftr|dysbiosis|inflammation,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP016,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,33201261;36289287;36600119;37546931,cftr ->[induces] inflammation;cftr ->[causes] cystic fibrosis | cystic fibrosis ->[leads_to] inflammation;cftr ->[induces] dysbiosis | dysbiosis --[associated_with] inflammation,cftr|inflammation;cftr|cystic fibrosis|inflammation;cftr|dysbiosis|inflammation,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP017,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,39411648;41997336,hepatitis b chronic ->[increases] liver cirrhosis | liver cirrhosis --[associated_with] carcinoma hepatocellular,hepatitis b chronic|liver cirrhosis|carcinoma hepatocellular,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP018,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,16313350;17191007;20599675;22179898;24646638;24976068;25918553;26707036,dysbiosis ->[leads_to] periodontitis | periodontitis --[associated_with] bone loss;dysbiosis ->[leads_to] inflammation | inflammation --[associated_with] inflammation | inflammation ->[induces] osteoporosis | osteoporosis ->[causes] bone loss;dysbiosis ->[leads_to] periodontitis | periodontitis --[is_a] inflammation | inflammation ->[induces] osteoporosis | osteoporosis ->[causes] bone loss;dysbiosis ->[leads_to] inflammation | inflammation --[does_not_affect] osteoporosis | osteoporosis --[associated_with] ra | ra ->[causes] bone loss,dysbiosis|periodontitis|bone loss;dysbiosis|inflammation|inflammation|osteoporosis|bone loss;dysbiosis|periodontitis|inflammation|osteoporosis|bone loss;dysbiosis|inflammation|osteoporosis|ra|bone loss,
