question_id,mediator,bridge_eligible,both_sides_exposed,graph_build_eligible,source_in_text_top_k,target_in_text_top_k,source_outside_text_top_k,target_outside_text_top_k,reasons
BW003,IL-8,1,1,0,21148790;34799298;37414422,26202676;33634990;33653893,,,complete_bridge_visible_in_text_top_k
BW005,IL-17,1,1,0,36356191;37359545;38774604,36422998,,,complete_bridge_visible_in_text_top_k
BW005,CTLA-4,0,0,0,34239137;39214097;41038207,,,,missing_endpoint_isolated_side
BW007,SASP,0,1,0,36978029;39180980,38583577;39088352;40418230,40355758,,missing_endpoint_isolated_side;complete_bridge_visible_in_text_top_k
BW007,p16INK4a,1,1,0,32246301,40660002,40167015;42389866,31816893;37385572,complete_bridge_visible_in_text_top_k
BW007,eNOS uncoupling,0,1,0,40049100;41296931,17581829,33274583,21261471;23395155,missing_endpoint_isolated_side;complete_bridge_visible_in_text_top_k
BW009,tubuloglomerular feedback,0,1,0,34195526;35962863;38453269,37273240,,,missing_endpoint_isolated_side;complete_bridge_visible_in_text_top_k
BW009,AMPK,1,1,0,25812364;40767292;41122918,30401006;38757723;40578033,,,complete_bridge_visible_in_text_top_k
BW010,short-chain fatty acids,1,1,0,35430804;35950704,29302038;30446387,33074224,39738035,complete_bridge_visible_in_text_top_k
BW010,intestinal permeability,0,1,0,34140089;34886561;38321650,28847904;36196151;40275534,,,missing_endpoint_isolated_side;complete_bridge_visible_in_text_top_k
