system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q001,1,27492554,0.69073327
netmedex_hybrid_rag,Q001,2,29904399,0.68604888
netmedex_hybrid_rag,Q001,3,38045146,0.66512030
netmedex_hybrid_rag,Q001,4,41484919,0.66333930
netmedex_hybrid_rag,Q001,5,35292240,0.64761818
netmedex_hybrid_rag,Q001,6,29500883,0.64474723
netmedex_hybrid_rag,Q001,7,33743412,0.60898819
netmedex_hybrid_rag,Q001,8,32911026,0.57527336
netmedex_hybrid_rag,Q001,9,39588260,0.56608060
traditional_rag,Q001,1,27492554,0.69073327
traditional_rag,Q001,2,29904399,0.68604888
traditional_rag,Q001,3,38045146,0.66512030
traditional_rag,Q001,4,41484919,0.66333930
traditional_rag,Q001,5,35292240,0.64761818
traditional_rag,Q001,6,29500883,0.64474723
traditional_rag,Q001,7,33743412,0.60898819
traditional_rag,Q001,8,32911026,0.57527336
traditional_rag,Q001,9,39588260,0.56608060
netmedex_hybrid_rag,Q003,1,32437299,0.61231515
netmedex_hybrid_rag,Q003,2,12172480,0.60254379
netmedex_hybrid_rag,Q003,3,34536157,0.57038370
netmedex_hybrid_rag,Q003,4,18094066,0.55007588
netmedex_hybrid_rag,Q003,5,24003928,0.52391532
netmedex_hybrid_rag,Q003,6,17053832,0.52330605
netmedex_hybrid_rag,Q003,7,39749338,0.51462186
netmedex_hybrid_rag,Q003,8,39471690,0.50733982
netmedex_hybrid_rag,Q003,9,33439300,0.50693875
netmedex_hybrid_rag,Q003,10,37895163,0.50559572
traditional_rag,Q003,1,32437299,0.61231515
traditional_rag,Q003,2,12172480,0.60254379
traditional_rag,Q003,3,34536157,0.57038370
traditional_rag,Q003,4,18094066,0.55007588
traditional_rag,Q003,5,24003928,0.52391532
traditional_rag,Q003,6,17053832,0.52330605
traditional_rag,Q003,7,39749338,0.51462186
traditional_rag,Q003,8,39471690,0.50733982
traditional_rag,Q003,9,33439300,0.50693875
traditional_rag,Q003,10,37895163,0.50559572
netmedex_hybrid_rag,Q004,1,15810876,0.62837622
netmedex_hybrid_rag,Q004,2,30623450,0.59891994
netmedex_hybrid_rag,Q004,3,38699926,0.59209347
netmedex_hybrid_rag,Q004,4,31590362,0.58895066
netmedex_hybrid_rag,Q004,5,38031951,0.58784730
netmedex_hybrid_rag,Q004,6,32519340,0.56814905
netmedex_hybrid_rag,Q004,7,29693253,0.56290285
netmedex_hybrid_rag,Q004,8,38166505,0.53399877
netmedex_hybrid_rag,Q004,9,30725357,0.52555235
netmedex_hybrid_rag,Q004,10,41109942,0.52416253
traditional_rag,Q004,1,15810876,0.62837622
traditional_rag,Q004,2,30623450,0.59891994
traditional_rag,Q004,3,38699926,0.59209347
traditional_rag,Q004,4,31590362,0.58895066
traditional_rag,Q004,5,38031951,0.58784730
traditional_rag,Q004,6,32519340,0.56814905
traditional_rag,Q004,7,29693253,0.56290285
traditional_rag,Q004,8,38166505,0.53399877
traditional_rag,Q004,9,30725357,0.52555235
traditional_rag,Q004,10,41109942,0.52416253
netmedex_hybrid_rag,Q006,1,38385489,0.62836947
netmedex_hybrid_rag,Q006,2,15861315,0.60544958
netmedex_hybrid_rag,Q006,3,15815580,0.59072094
netmedex_hybrid_rag,Q006,4,17430168,0.56755324
netmedex_hybrid_rag,Q006,5,35970408,0.55125918
netmedex_hybrid_rag,Q006,6,28057795,0.54557327
netmedex_hybrid_rag,Q006,7,24928320,0.53895819
netmedex_hybrid_rag,Q006,8,22112351,0.49525679
netmedex_hybrid_rag,Q006,9,15111011,0.48957185
netmedex_hybrid_rag,Q006,10,39684569,0.48950060
traditional_rag,Q006,1,38385489,0.62836947
traditional_rag,Q006,2,15861315,0.60544958
traditional_rag,Q006,3,15815580,0.59072094
traditional_rag,Q006,4,17430168,0.56755324
traditional_rag,Q006,5,35970408,0.55125918
traditional_rag,Q006,6,28057795,0.54557327
traditional_rag,Q006,7,24928320,0.53895819
traditional_rag,Q006,8,22112351,0.49525679
traditional_rag,Q006,9,15111011,0.48957185
traditional_rag,Q006,10,39684569,0.48950060
netmedex_hybrid_rag,Q008,1,24548777,0.67494997
netmedex_hybrid_rag,Q008,2,38073491,0.63930067
netmedex_hybrid_rag,Q008,3,23788646,0.59245753
netmedex_hybrid_rag,Q008,4,37546931,0.58642523
netmedex_hybrid_rag,Q008,5,38554847,0.58140759
netmedex_hybrid_rag,Q008,6,27588407,0.57849676
netmedex_hybrid_rag,Q008,7,40824057,0.57558749
netmedex_hybrid_rag,Q008,8,23142604,0.57539146
netmedex_hybrid_rag,Q008,9,40247380,0.56547436
netmedex_hybrid_rag,Q008,10,35160099,0.55841486
traditional_rag,Q008,1,23788646,0.59245753
traditional_rag,Q008,2,37546931,0.58642523
traditional_rag,Q008,3,38554847,0.58140759
traditional_rag,Q008,4,27588407,0.57849676
traditional_rag,Q008,5,40824057,0.57558749
traditional_rag,Q008,6,38073491,0.56892411
traditional_rag,Q008,7,40247380,0.56547436
traditional_rag,Q008,8,35160099,0.55841486
traditional_rag,Q008,9,30546102,0.54929949
traditional_rag,Q008,10,35743652,0.54242391
netmedex_hybrid_rag,Q010,1,28158288,0.37199336
netmedex_hybrid_rag,Q010,2,38795694,0.37141974
netmedex_hybrid_rag,Q010,3,40350835,0.36869829
netmedex_hybrid_rag,Q010,4,41961168,0.36009097
netmedex_hybrid_rag,Q010,5,31131457,0.35453840
netmedex_hybrid_rag,Q010,6,27492554,0.35251131
netmedex_hybrid_rag,Q010,7,40024453,0.35132082
netmedex_hybrid_rag,Q010,8,30827108,0.34564720
netmedex_hybrid_rag,Q010,9,40266676,0.34286515
netmedex_hybrid_rag,Q010,10,40358879,0.34132588
traditional_rag,Q010,1,28158288,0.37199336
traditional_rag,Q010,2,38795694,0.37141974
traditional_rag,Q010,3,40350835,0.36869829
traditional_rag,Q010,4,41961168,0.36009097
traditional_rag,Q010,5,31131457,0.35453840
traditional_rag,Q010,6,27492554,0.35251131
traditional_rag,Q010,7,40024453,0.35132082
traditional_rag,Q010,8,30827108,0.34564720
traditional_rag,Q010,9,40266676,0.34286515
traditional_rag,Q010,10,40358879,0.34132588
netmedex_hybrid_rag,Q011,1,34062070,0.69019864
netmedex_hybrid_rag,Q011,2,35072253,0.68831800
netmedex_hybrid_rag,Q011,3,29167573,0.64328075
netmedex_hybrid_rag,Q011,4,26277279,0.62425837
netmedex_hybrid_rag,Q011,5,35731713,0.62300397
netmedex_hybrid_rag,Q011,6,24009772,0.58921951
netmedex_hybrid_rag,Q011,7,34576192,0.57263840
netmedex_hybrid_rag,Q011,8,25710562,0.57205140
netmedex_hybrid_rag,Q011,9,30445633,0.56521038
netmedex_hybrid_rag,Q011,10,31205529,0.54845457
traditional_rag,Q011,1,34062070,0.69019864
traditional_rag,Q011,2,35072253,0.68831800
traditional_rag,Q011,3,29167573,0.64328075
traditional_rag,Q011,4,26277279,0.62425837
traditional_rag,Q011,5,35731713,0.62300397
traditional_rag,Q011,6,24009772,0.58921951
traditional_rag,Q011,7,34576192,0.57263840
traditional_rag,Q011,8,25710562,0.57205140
traditional_rag,Q011,9,30445633,0.56521038
traditional_rag,Q011,10,31205529,0.54845457
netmedex_hybrid_rag,Q014,1,37014106,0.77765694
netmedex_hybrid_rag,Q014,2,33741556,0.61243241
netmedex_hybrid_rag,Q014,3,32561292,0.60546642
netmedex_hybrid_rag,Q014,4,30002661,0.51970500
netmedex_hybrid_rag,Q014,5,31375130,0.50353572
netmedex_hybrid_rag,Q014,6,39354368,0.46395007
traditional_rag,Q014,1,37014106,0.77765694
traditional_rag,Q014,2,33741556,0.61243241
traditional_rag,Q014,3,32561292,0.60546642
traditional_rag,Q014,4,30002661,0.51970500
traditional_rag,Q014,5,31375130,0.50353572
traditional_rag,Q014,6,39354368,0.46395007
netmedex_hybrid_rag,Q015,1,32735131,0.58611246
netmedex_hybrid_rag,Q015,2,34177896,0.53153225
netmedex_hybrid_rag,Q015,3,36265412,0.46487773
traditional_rag,Q015,1,32735131,0.58611246
traditional_rag,Q015,2,34177896,0.53153225
traditional_rag,Q015,3,36265412,0.46487773
netmedex_hybrid_rag,Q016,1,36142791,0.69129486
netmedex_hybrid_rag,Q016,2,33353564,0.63415332
netmedex_hybrid_rag,Q016,3,39264856,0.62607878
netmedex_hybrid_rag,Q016,4,19437551,0.58408032
traditional_rag,Q016,1,36142791,0.69129486
traditional_rag,Q016,2,33353564,0.63415332
traditional_rag,Q016,3,39264856,0.62607878
traditional_rag,Q016,4,19437551,0.58408032
netmedex_hybrid_rag,Q021,1,36534320,0.62084490
netmedex_hybrid_rag,Q021,2,40279256,0.60182259
netmedex_hybrid_rag,Q021,3,36513134,0.60040936
netmedex_hybrid_rag,Q021,4,41285328,0.57906020
netmedex_hybrid_rag,Q021,5,40429921,0.55768463
netmedex_hybrid_rag,Q021,6,36768138,0.55236177
netmedex_hybrid_rag,Q021,7,39676197,0.54908279
netmedex_hybrid_rag,Q021,8,31936266,0.53267001
netmedex_hybrid_rag,Q021,9,38634653,0.50280845
netmedex_hybrid_rag,Q021,10,40829258,0.46066435
traditional_rag,Q021,1,36534320,0.62084490
traditional_rag,Q021,2,40279256,0.60182259
traditional_rag,Q021,3,36513134,0.60040936
traditional_rag,Q021,4,41285328,0.57906020
traditional_rag,Q021,5,40429921,0.55768463
traditional_rag,Q021,6,36768138,0.55236177
traditional_rag,Q021,7,39676197,0.54908279
traditional_rag,Q021,8,31936266,0.53267001
traditional_rag,Q021,9,38634653,0.50280845
traditional_rag,Q021,10,40829258,0.46066435
netmedex_hybrid_rag,Q025,1,17380205,0.54918032
netmedex_hybrid_rag,Q025,2,26803842,0.52641430
netmedex_hybrid_rag,Q025,3,19897286,0.47683830
netmedex_hybrid_rag,Q025,4,28192862,0.46053302
traditional_rag,Q025,1,17380205,0.54918032
traditional_rag,Q025,2,26803842,0.52641430
traditional_rag,Q025,3,19897286,0.47683830
traditional_rag,Q025,4,28192862,0.46053302
netmedex_hybrid_rag,Q028,1,36553449,0.56464277
netmedex_hybrid_rag,Q028,2,28938696,0.54111942
netmedex_hybrid_rag,Q028,3,16854453,0.53880807
netmedex_hybrid_rag,Q028,4,39122703,0.53847061
netmedex_hybrid_rag,Q028,5,29108234,0.49456609
netmedex_hybrid_rag,Q028,6,36938944,0.48071776
netmedex_hybrid_rag,Q028,7,21511051,0.47886434
netmedex_hybrid_rag,Q028,8,40603821,0.46724870
netmedex_hybrid_rag,Q028,9,42191394,0.45221953
netmedex_hybrid_rag,Q028,10,29115423,0.45169020
traditional_rag,Q028,1,28938696,0.54111942
traditional_rag,Q028,2,16854453,0.53880807
traditional_rag,Q028,3,29108234,0.49456609
traditional_rag,Q028,4,36938944,0.48071776
traditional_rag,Q028,5,21511051,0.47886434
traditional_rag,Q028,6,40603821,0.46724870
traditional_rag,Q028,7,42191394,0.45221953
traditional_rag,Q028,8,29115423,0.45169020
traditional_rag,Q028,9,26202948,0.43832744
netmedex_hybrid_rag,Q029,1,40681353,0.66258264
netmedex_hybrid_rag,Q029,2,37894840,0.65341334
netmedex_hybrid_rag,Q029,3,42065920,0.64005030
