candidate_id,question_id,domain,question,pmid,title,abstract,relevance,confidence,exclusion_reason,reviewer_notes
Q001-C001,Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,35292240,Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,"BACKGROUND: The physical health and quality of life of the elderly are severely affected by osteoporosis (OP). METHODS: We explored the regulatory mechanism of ICA in vivo and in vitro by constructing OP rats and inducing osteogenic differentiation of BMSCs. First, we determined the expression of miR-335-5p in bone tissues of OP patients, bone tissues of OP rats, and osteogenic BMSCs by RT-qPCR. Alizarin red staining was employed to detect the formation of calcium nodules in the cells. MTT was used to detect cell viability. Finally, we detected the bone tissue changes in OP rats by overexpression of miR-335-5p or oral ICA. RESULTS: miR-335-5p was lowly expressed in bone tissues of OP patients and OP rats. ICA treatment reversed the inhibitory effect of miR-335-5p inhibitor on BMSCs matrix mineralization. Moreover, PTEN was verified to be a downstream effector of miR-335-5p. During ICA induction, overexpression of PTEN reversed the promotive effect of miR-335-5p mimics on the osteogenic differentiation of BMSCs. In vivo experiments also found that overexpression of miR-335-5p or ICA treatment improved the pathogenesis of OP in rats. CONCLUSION: ICA improved OP by up-regulating miR-335-5p to inhibit PTEN, thereby providing a new strategy for the prevention and treatment of OP.",2,3,,"Directly shows that icariin promotes osteogenic differentiation of BMSCs by upregulating miR-335-5p, which inhibits PTEN; inhibitor, mimic, and PTEN rescue experiments support the pathway."
Q001-C002,Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,29904399,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.,"Osteoporosis has become one of the most serious public health problems. Icariin, miR-153 and Runt-related transcription factor 2 (Runx2) have been demonstrated to regulate cell proliferation and differentiation in multiple cells. The aim of the present experiments was to investigate the potential mechanism underlying osteoblast differentiation and cell proliferation of MC3T3-E1 cells treated with icariin. Cell Counting kit-8, alkaline phosphatase (ALP) activity and alizarin red S assays, as well as reverse transcription-quantitative polymerase chain reaction and western blot analysis, were performed to examine whether icariin promoted osteoblast differentiation and cell proliferation in MC3T3-E1 cells. Subsequently, miR-153 target and pathway prediction, and functional analysis were assessed. The results demonstrated that icariin promoted proliferation, mineral content and ALP activity in MC3T3-E1 cells. In addition, miR-153 and Runx2 expression levels were increased following treatment with icariin. Luciferase assay revealed that miR-153 significantly upregulate the luciferase activity of wild-type (Wt) Runx2 3'-untranslated region. Furthermore, the group treated with a combination of miR-153 mimics and icariin exhibited a significantly higher expression of Runx2 in comparison with the miR-153 mimic-treated alone group. Finally, icariin reversed the potential effect of miR-153 inhibitor in MC3T3-E1 cells. In conclusion, icariin exerted a strong osteoblast differentiation effect in MC3T3-E1 cells through the miR-153/Runx2 pathway. The current study provided evidence suggesting that icariin should be considered as an effective candidate for the management of osteoporosis.",2,3,,"Directly investigates icariin-induced osteoblast differentiation in MC3T3-E1 cells and identifies a miR-153/Runx2 mechanism using expression, reporter, inhibitor, and differentiation assays."
Q001-C003,Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,38045146,Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,"Circular RNAs (circRNAs) regulate Jumonji domain-containing protein-3 (JMJD3) by sponging with microRNAs (miRNAs). This study aimed to investigate the role of icariin on specific circRNA/miRNA/JMJD3 axis in osteogenic differentiation of MC3T3-E1 cells. CircRNA sequencing was performed on the MC3T3-E1 cells induced by osteogenic differentiation medium for 1 d (negative control (NC) group) and 14 d (osteogenesis group). And mmu_circ_0000349 was verified using Sanger sequencing, ribonuclease R degradation, and actinomycin D assay. The function of mmu_circ_0000349 was validated by detecting the expressions of osteogenic differentiation markers, alkaline phosphatase (ALP), and runt-related transcription (RUNX2), via real-time quantitative PCR (qPCR) and Western blotting or ALP and alizarin red staining assay. Dual luciferase reporter gene assay confirmed the relationship between mmu_circ_0000349 and mmu-miR-138-5p (or mmu-miR-138-5p and JMJD3). Meanwhile, the JMJD3 binding to mmu_circ_0000349 was screened using an RNA pull-down assay. qPCR and Western blotting confirmed the effect of icariin on the mmu_circ_0000349/mmu-miR-138-5p/JMJD3 axis and osteogenic differentiation. As MC3T3-E1 osteogenic differentiation progressed, the JMJD3 expression level increased. A total of 361 circRNAs exhibited differences between the NC and osteogenesis groups. After validation, mmu_circ_0000349 was further analyzed as it exhibited the largest expression. And mmu_circ_0000349 was identified as a stable circular structure. Overexpression of mmu_circ_0000349 increased the expression levels of ALP and RUNX2, enhanced ALP activity, and increased the number of mineralized nodules; contrarily, inhibition of mmu_circ_0000349 exerted opposite effects. The data also confirmed that mmu_circ_0000349 regulated JMJD3 by sponging with mmu-miR-138-5p. With the increase in icariin concentration and time for treatment, the expression levels of mmu_circ_0000349, JMJD3, ALP, and RUNX2 also increased, whereas that of mmu-miR-138-5p decreased. In conclusion, Icariin promoted osteogenic differentiation by regulating the mmu_circ_0000349/mmu-miR-138-5p/JMJD3 pathway. Therefore, this provides a theoretical basis for the treatment of diseases related to osteogenic differentiation.",2,3,,"Direct mechanistic evidence that icariin promotes MC3T3-E1 osteogenic differentiation through the circ_0000349/miR-138-5p/JMJD3 axis, increasing ALP, RUNX2, and mineralization."
Q001-C004,Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,39588260,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,"Background: Infected bone defects pose a challenging clinical issue due to an imbalance of osteoclasts (OC) and osteoblasts (OB). Exosomes are crucial for intercellular signaling of OC and OB in bone repair. Icariin, has been shown to regulate the balance between OC and OB. However, the specific mechanisms by which icariin influences exosomes derived from osteoclasts, and subsequently impacts osteoblast activity, remain unclear. This study aims to investigate the effects of icariin-treated osteoclast-derived exosomes (ICA-OC-Exo) on osteoblast function and bone repair in cases of infected bone defects. Methods: We investigated the exosome profile and localization of multivesicular bodies (MVB) and quantification of intraluminal vesicles (ILVs) in osteoclasts by using transmission electron microscopy. Additionally, the expressions of Rab27A and MITF, which are associated with exosome release, were determined through immunofluorescence staining and Western blot. The profiling of exosomal miRNA expression was conducted via miRNA-sequencing. The effects of ICA-OC-Exo on osteoblast differentiation were determined using RT-qPCR, Western blot, alkaline phosphatase staining. Additionally, ICA-OC-Exo was administered into the localized bone defect of the infected bone rat models, and bone formation was assessed using Micro-CT. Results: Icariin increased the presence of MVBs in the cytoplasm through modulation of the MITF/Rab27A signaling pathway, resulting in higher number of ICA-OC-Exo compared to OC-Exo. Additionally, miR-331-3p expression in ICA-OC-Exo was found to be elevated compared to OC-Exo. ICA-OC-Exo was observed to stimulate osteoblast function by targeting FGF23, reducing DKK1, and subsequently upregulating ALP. In the in vivo study, ICA-OC-Exo exhibited the capacity to enhance bone healing at the site of a local bone defect following anti-infection treatment. Conclusion: Icariin enhanced the quantification of OC-Exo and the expression of miRNA-331-3p in OC-Exo, leading to the regulation of osteoblast function via activation of the miRNA-331-3p/FGF23/DKK1 pathway. ICA-OC-Exo demonstrated potential clinical applicability in bone repair of infected bone defects.",2,3,,"Shows an indirect intercellular miRNA mechanism: icariin enriches miR-331-3p in osteoclast-derived exosomes, which promotes osteoblast function through the FGF23/DKK1/ALP pathway."
Q001-C005,Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,24956021,Icariin stimulates the osteogenic differentiation of rat bone marrow stromal cells via activating the PI3K-AKT-eNOS-NO-cGMP-PKG.,"Icariin, a prenylated flavonol glycoside isolated from Epimedii herba, has been found to be a potent stimulator of osteogenic differentiation and has potential application in preventing bone loss. However, the signaling pathway underlying its osteogenic effect remains unclear. We hypothesized that the osteogenic activity of icariin is related to the nitric oxide (NO) signal pathway and PI3K/AKT pathway in its upstream. Rat bone marrow stromal cells (rBMSCs) were cultured in osteogenic medium and treated with icariin or together with L-NAME, ODQ, PDE5, and/or LY294002 (the inhibitor of NOS, sGC, cGMP, and PI3K respectively), and effects were examined on the expression of signal messengers (NOS, NO, sGC, cGMP, PKG and PI3K) and the levels of osteogenic markers (alkaline phosphatase or ALP, osteocalcin and calcified nodules). It was found that icariin dose-dependently increased ALP activity, and treatment at the optimal concentration (10(-5)M) increased NOS activity, iNOS and eNOS expression, NO production, sGC and cGMP contents and PKG expression besides the phosphorylation of AKT. The addition of L-NAME, ODQ and PDE5 significantly inhibited the icariin effects on above markers respectively. The addition of LY294002 decreased the p-AKT level, NOS activity, eNOS expression and NO production significantly, but had no significant effect on iNOS expression. The addition of any of the four inhibitors also abolished the osteogenic effect of icariin on rBMSCs as indicated by ALP activity, osteocalcin synthesis, calcium deposition and the number and areas of calcified nodules. These results suggest that the osteogenic effect of icariin involves the PI3K-AKT-eNOS-NO-cGMP-PKG signal pathway. Furthermore, dosage response studies showed that icariin at 10(-6)M (a physiologically achievable concentration in vivo) also activated this signal pathway.",1,3,,"Demonstrates icariin-induced osteogenic differentiation through PI3K-AKT-eNOS-NO-cGMP-PKG signaling, but does not examine a miRNA mechanism."
Q001-C006,Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,34854397,miR-21 regulates osteogenic and adipogenic differentiation of BMSCs by targeting PTEN.,"OBJECTIVE: To explore the effects and mechanism of miR-21 on the osteogenic/adipogenic differentiation of mouse BMSCs. METHODS: The bilateral ovaries of C57BL/6J mice (n=24) were removed to construct an osteoporosis model. Real-time quantitative polymerase chain reaction (qRT-PCR) was used to detect the expression of miR-21, osteogenic/adipogenic genes, and PTEN. ALP and ARS and ORO staining were used to detect the formation of calcium nodules and lipid droplets in BMSCs. Western blot was used to detect the expression of PTEN. RESULTS: miR-21 was significantly down-regulated in osteoporotic mice. The expression of miR-21 was significantly up-regulated after the osteogenic induction of BMSCs, and the expression of miR-21 was significantly down-regulated after the adipogenic induction. Overexpression of miR-21 significantly promoted the osteogenic differentiation of BMSCs and inhibits the adipogenic differentiation of BMSCs. CONCLUSION: MiR-21 can promote osteogenic differentiation of BMSCs and inhibit their adipogenic differentiation by negatively regulating PTEN.",1,3,,"Provides relevant evidence that miR-21 promotes BMSC osteogenic differentiation by repressing PTEN, but icariin is not studied."
Q001-C007,Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,41484919,miR-376c-3p mediates icariin's anti-osteoclastogenic effect by targeting Mmp3.,"BACKGROUND: MicroRNAs (miRNAs) are crucial regulators of osteoclast differentiation. Icariin (ICA), the primary active constituent of the traditional Chinese herb Epimedium, has been shown to inhibit osteoclastogenesis. However, whether ICA suppresses osteoclast differentiation via miRNA regulation remains to be elucidated. METHODS: We employed bioinformatic analysis coupled with in vivo validation to screen for and identify potential targets that mediate the effects of ICA on osteoclast formation. Subsequently, we carried out in vitro experiments involving the overexpression and knockdown of miR-376c-3p in bone marrow-derived macrophages (BMMs). Additionally, luciferase reporter assays and western blot analysis were utilized to ascertain the direct targets of miR-376c-3p. RESULTS: It was confirmed that miR-376c-3p plays a regulatory role in osteoclast differentiation within bone marrow-derived macrophages (BMMs). Notably, the knockdown of miR-376c-3p led to a partial reversal of the inhibitory effect that ICA exerts on osteoclastogenesis. Furthermore, matrix metalloproteinase-3 (Mmp3) was validated as a direct target of miR-376c-3p, providing evidence to suggest that ICA likely mediates its effects through the miR-376c-3p/Mmp3 signaling axis. CONCLUSION: Our findings demonstrate that ICA exerts its anti-osteoporotic effect by downregulating the miR-376c-3p-mediated Mmp3 expression. This study provides insights that potentially facilitate ICA's clinical application.",1,3,,"Directly links icariin to miR-376c-3p/Mmp3 regulation, but the tested outcome is inhibition of osteoclastogenesis rather than osteoblast differentiation."
Q001-C008,Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,29500883,Icariin attenuates titanium particle-induced inhibition of osteogenic differentiation and matrix mineralization via miR-21-5p.,"Inhibition of bone regeneration by wear debris is the main cause of peri-prosthetic osteolysis. Here, we investigated the effect of icariin on cell proliferation, apoptosis, osteogenic differentiation and matrix mineralization of osteoblasts in an in vitro model of titanium (Ti) particle-induced osteolysis. In the present study, MC3T3-E1 cells were pretreated with 10-8  M icariin for 4 h and then incubated with Ti particles (0.1 mg/mL). The results showed that Ti particles inhibited cell proliferation and promoted cell apoptosis of MC3T3-E1 cells, whereas icariin pretreatment blocked the effect of Ti particles. In addition, we found that icariin stimulation alone increased ALP activity, accelerated matrix mineralization and upregulated the levels of bone morphogenetic protein 2 (BMP2), Runt-related transcription factor 2 (Runx2), osteocalcin (OCN) and miR-21-5p; whereas, Ti particles alone exerted the opposite effects. Icariin partly reversed the effect of Ti particles on cell differentiation and mineralization. Twenty hours after transfection with antagomiR-21-5p or antagomiR-NC, the cells were pretreated with icariin for 4 h and then incubated with Ti particles. Further studies showed that partial knockdown of miR-21-5p abolished the promotion effect of icariin on osteoblast differentiation and matrix mineralization in Ti particle-stimulated MC3T3-E1 cells. In conclusion, miR-21-5p may be a potential pro-osteogenesis regulator and icariin may protect against Ti particle-induced inhibition of osteogenic differentiation and mineralization through upregulation of miR-21-5p.",2,3,,Directly shows that icariin upregulates miR-21-5p and counters titanium particle-induced inhibition of MC3T3-E1 osteoblast differentiation and mineralization; miR-21-5p knockdown abolishes the benefit.
Q001-C009,Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,33339654,Icariin ameliorates estrogen-deficiency induced bone loss by enhancing IGF-I signaling via its crosstalk with non-genomic ERα signaling.,"BACKGROUND: Rapid, non-genomic estrogen receptor (ER) signaling plays an integral role in mediating the tissue selective properties of ER modulators. Icariin, a bone bioactive flavonoid, has been reported to selectively activate non-genomic ERα signaling in in vitro and in vivo studies. PURPOSE: The mechanisms underlying the estrogen-like bone protective effects of icariin are not fully understood, especially those that are related to insulin-like growth factor I (IGF-1) signaling. The bone protective effects of icariin were investigated in female mature ovariectomized (OVX) rats and the signaling of IGF-IR- ERα cross-talk was determined in osteoblastic cells. STUDY DESIGN AND METHODS: Icariin at 3 different dosages (50, 500 and 3000 ppm) were orally administrated to rats for 3 months through daily intake of phytoestrogen-free animal diets containing icariin. Bone marrow stromal cells (BMSCs) and osteoclast precursors from femurs were harvested for experiments and RNA-sequencing. The interactions between IGF-IR and non-genomic ERα signaling were examined in pre-osteoblastic MC3T3-E1 cells and mature osteoblasts differentiated from BMSCs. RESULTS: Our results show that chronic administration of icariin to OVX rats significantly protected them against bone loss at the long bone and lumbar spine without inducing any uterotrophic effects. Ex vivo studies using BMSCs and osteoclast precursors confirmed the stimulatory effects of icariin on osteoblastogenesis and its inhibitory effects on osteoclastogenesis, respectively. RNA-sequencing analysis of mRNA from BMSCs revealed that icariin at 500 ppm significantly altered IGF-1 signaling as well as PI3K-Akt pathways. Our results demonstrated for the first time the rapid induction of interactions between IGF-IR and ERα as well as IGF-IR signaling and the downstream Akt phosphorylation by icariin in MC3T3-E1 cells. The activation of ERα and Akt phosphorylation by icariin in MC3T3-E1 cells and the osteogenic effects of icariin on ALP activity in mature osteoblasts were shown to be IGF-IR-dependent. CONCLUSION: Our findings reveal that icariin activates both ERα and Akt via enhancing rapid induction of IGF-1 signaling in osteoblastic cells for osteogenesis and might be regarded as a novel pathway-selective phytoestrogen for management of postmenopausal osteoporosis.",1,3,,"Shows that icariin promotes osteoblastogenesis through IGF-I/ERα/Akt signaling, but does not provide a miRNA-related mechanism."
Q001-C010,Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,32911026,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,"BACKGROUND: The pathogenesis of osteonecrosis of the femoral head (ONFH) is unclear. Our previous study demonstrated that upregulated miR-335 in bone microvascular endothelial cells (BMECs) might be associated with the disease of steroid-induced ONFH. Here, we study the preventive effect of ICA on steroid-induced ONFH in rats. METHOD: 90 rats were separated into three groups: control group, methylprednisolone (MPS) group, and MPS + Icariin (ICA) group. Four weeks later, histological analyses were performed. Thrombomodulin (TM) and vascular endothelial growth factor (VEGF) were tested. MiRNA-335 expression was screened in the three groups using Agilent Gene Spring GX software. Target genes of miRNA-335 were detected by bioinformatics analysis. The functions of BMECs were analyzed by scratch, angiogenesis and cell survival rate. RESULTS: ICA can prevent the occurrence of steroid-associated ONFH in rats and reduce the amount of TM and VEGF in serum induced by glucocorticoids. ICA could regulate the overexpression of miRNA-335 induced by glucocorticoids. We predicted the Gene ontology (GO) and signaling pathways of target genes. At 24 hours, we found that ICA significantly promoted BMECs migration abilities. We also found that ICA could promote the angioplasty ability of BMECs. ICA could improve the survival rate of BMECs after steroid-induced injury. CONCLUSIONS: ICA is effective to prevent the occurrence of steroidinduced ONFH. ICA has a protective effect against steroid-induced BMECs injury. ICA regulated the imbalance of miRNA-335 expression induced by the glucocorticoid in BMECs, which provides a new viewpoint to explore the mechanism of ICA in preventing steroid-induced ONFH.",1,3,,"Icariin regulates miR-335 in steroid-injured bone microvascular endothelial cells and prevents osteonecrosis, but osteoblast differentiation is not examined."
