question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,2.08243727684021e-05,3.3246074318885803,0.00011601299047470093,0.0,,,3.841104008257389,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,3.178417682647705e-05,1.642986424267292,8.95187258720398e-05,0.0,,,2.1472509130835533,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,4.8883259296417236e-05,1.6305485963821411,1.1458992958068848e-05,0.0,,,2.1048474088311195,33,42,1,['33476985'],15,,,
PP004,0.0,1.6354024410247803e-05,1.6002261564135551,1.0736286640167236e-05,0.0,,,2.0854528695344925,35,41,1,['27576555'],15,,,
PP005,0.0,1.8127262592315674e-05,1.4579032734036446,9.603798389434814e-06,0.0,,,1.9356107637286186,123,208,1,['26277279'],15,,,
PP006,0.0,1.6033649444580078e-05,1.22934290766716,6.602704524993896e-05,0.0,,,1.768479347229004,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,4.108995199203491e-05,1.4732299149036407,9.03010368347168e-05,0.0,,,2.1176634281873703,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,2.831965684890747e-05,2.599418267607689,0.00014607608318328857,0.0,,,3.1223015785217285,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,2.9765069484710693e-05,1.3456479385495186,0.0001682490110397339,0.0,,,1.8143517449498177,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,1.5713274478912354e-05,1.3755197003483772,0.0001132860779762268,0.0,,,1.8942730277776718,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,1.722574234008789e-05,1.1931597217917442,0.00021025538444519043,0.0,,,1.674072191119194,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,1.7181038856506348e-05,1.3533341735601425,0.00032657384872436523,0.0,,,2.0240302085876465,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,1.9915401935577393e-05,1.6739072650671005,0.00026873499155044556,0.0,,,2.1487607657909393,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,3.606826066970825e-05,2.0177730172872543,6.826880931854248,30.40595906972885,,,39.835680551826954,166,267,1,"['29302038', '35430804']",26,3841,1079,4920
PP015,0.0,4.161149263381958e-05,3.2101281955838203,6.698089435696602,21.91397988796234,,,32.37238758802414,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,2863,791,3654
PP016,0.0,2.121180295944214e-05,3.4837651029229164,6.269236162304878,32.25777478516102,,,42.515008836984634,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,4151,1169,5320
PP017,0.0,2.1502375602722168e-05,1.9212641790509224,0.00015547126531600952,0.0,,,2.3691845759749413,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,4.0687620639801025e-05,3.2110219225287437,8.163140326738358,30.967548072338104,,,42.84696662425995,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3845,1119,4964
PP019,0.0,4.29004430770874e-05,3.1960258781909943,9.14034090936184,26.18225046247244,,,39.04736281186342,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3674,932,4606
PP020,0.0,4.097074270248413e-05,3.6266241371631622,9.453208699822426,26.416448764503002,,,40.057698264718056,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3849,937,4786
