question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,0.2030206322669983,3.728316508233547,0.00020162761211395264,39.53385008126497,,,48.81909108161926,65,90,2,"['29500883', '38045146']",9,4617,1416,6033
Q003,0.0,0.00011339038610458374,1.8979720249772072,3.284960985183716e-05,32.97935292869806,,,35.516762122511864,0,0,0,[],15,3362,1218,4580
Q004,0.0,0.004797257483005524,1.7124921679496765,5.717575550079346e-05,35.47550967335701,,,44.92351687699556,89,126,3,"['15810876', '30623450', '32519340']",15,3750,1301,5051
Q006,0.0,7.999688386917114e-05,2.0787466317415237,8.314847946166992e-06,24.339118368923664,,,26.891125842928886,0,0,0,[],15,3594,857,4451
Q008,0.0,0.0050499215722084045,1.9763475209474564,0.0003092363476753235,41.42026890814304,,,52.58888567984104,105,163,4,"['23788646', '28155088', '37546931', '38554847']",15,4496,1512,6008
Q010,0.0,0.21850113570690155,3.454485811293125,2.504885196685791e-05,37.454405926167965,,,47.66135147213936,86,150,0,[],12,5328,1305,6633
Q011,0.0,0.25610261410474777,1.8738868087530136,2.699345350265503e-05,32.143714770674706,,,44.88241493701935,123,208,2,"['24009772', '26277279']",15,4046,1158,5204
Q014,0.0,0.0001225098967552185,1.1517670378088951,1.9513070583343506e-05,31.188567027449608,,,32.861002661287785,0,0,0,[],6,3133,1152,4285
Q015,0.0,0.002303183078765869,0.9048857241868973,5.369633436203003e-05,30.123041182756424,,,37.20707722008228,50,67,0,[],3,1457,1181,2638
Q016,0.0,0.0022573769092559814,1.0367281436920166,2.259761095046997e-05,26.7030513510108,,,33.44732156395912,42,62,0,[],4,1551,1046,2597
Q021,0.0,8.53314995765686e-05,1.1949716284871101,8.858740329742432e-06,42.203103229403496,,,43.88052996248007,0,0,0,[],10,4420,1552,5972
Q025,0.0,0.002178400754928589,0.9565774127840996,2.4273991584777832e-05,32.5959011092782,,,39.464418180286884,43,65,0,[],4,2030,1263,3293
Q028,0.0,0.004653863608837128,1.1253110691905022,1.8872320652008057e-05,35.10618781298399,,,44.64041644334793,102,189,0,[],9,4140,1280,5420
Q029,0.0,0.0019806325435638428,0.8671660274267197,0.00032889842987060547,35.06566882878542,,,41.49175591766834,41,76,0,[],7,2517,1340,3857
Q037,0.0,0.004271067678928375,1.6269605308771133,0.0012879371643066406,28.642220437526703,,,37.985411800444126,59,126,4,"['20485626', '25646384', '29052129', '30611768', '32839523', '38064540']",11,3598,1034,4632
Q041,0.0,0.00427517294883728,1.4867577627301216,2.413243055343628e-05,34.82569678872824,,,42.54722209274769,81,181,0,[],10,4441,1237,5678
Q043,0.0,6.206333637237549e-05,1.3811716511845589,1.5750527381896973e-05,39.05605790019035,,,40.91308882087469,0,0,0,[],15,3759,1447,5206
Q046,0.0,8.646398782730103e-05,1.252402015030384,8.545815944671631e-06,19.297593511641026,,,21.070369251072407,0,0,0,[],7,3096,673,3769
Q047,0.0,6.885826587677002e-05,0.6801266819238663,7.6070427894592285e-06,10.86965936422348,,,11.99372473359108,0,0,0,[],1,576,430,1006
Q050,0.0,0.003087051212787628,1.1365902423858643,5.793571472167969e-05,32.218462735414505,,,39.37819543480873,72,101,0,[],5,2291,1240,3531
