question_id,path_id,source,bridge,target,relation_1,relation_2,direction_1,direction_2,pmids,relevance,path_type,is_negative_control,evidence_level_1,evidence_level_2,bridge_valid,direction_verified,notes
Q001,Q001-P01,icariin,,osteogenic differentiation,promotes,,forward,undirected,29904399,2,one_hop,0,"PMID 29904399 directly states that icariin promoted osteoblast differentiation and cell proliferation in MC3T3-E1 cells, with ALP activity and alizarin red S assays confirming osteogenic differentiation.",,1,1,"AI-assisted provisional label; human review required. The single PMID directly and completely supports the one-hop path: icariin promotes osteogenic (osteoblast) differentiation. The evidence is experimental and mechanistic, confirming the forward direction."
Q001,Q001-P02,icariin,runt-related transcription factor 2,osteogenic differentiation,upregulates,regulates,forward,forward,29904399;38045146,2,two_hop,0,"PMID 29904399 shows icariin acts through miR-153 targeting Runx2 to regulate osteoblast differentiation, implying icariin upregulates Runx2 (by suppressing miR-153).",PMID 38045146 confirms icariin promotes osteogenic differentiation and validates RUNX2 as an osteogenic differentiation marker in the same cell model.,1,1,"AI-assisted provisional label; human review required. Both PMIDs together support the two-hop path: icariin upregulates Runx2 (bridge), and Runx2 regulates osteogenic differentiation in the forward direction. The bridge (Runx2) is explicitly named in both papers as central to the mechanism."
Q001,Q001-P03,icariin,jmjd3,osteogenic differentiation,upregulates,correlates_with,forward,undirected,38045146,1,two_hop,0,"PMID 38045146 shows icariin promotes osteogenic differentiation through a circRNA/miRNA/JMJD3 axis, indicating icariin influences JMJD3 indirectly via the axis.","The same PMID links JMJD3 to osteogenic differentiation markers (ALP, RUNX2), but the direct upregulation of JMJD3 by icariin and the precise direction of JMJD3's role are not fully detailed in the excerpt.",1,0,"AI-assisted provisional label; human review required. The evidence supports icariin promoting osteogenic differentiation via a JMJD3-containing axis, but the excerpt does not fully clarify whether icariin directly upregulates JMJD3 or whether JMJD3 is upregulated or downregulated in this context. The relation_2 is listed as 'correlates_with' (undirected), which is only partially supported. Relevance is 1 due to incomplete directional evidence for the bridge."
Q001,Q001-P04,icariin,mir-153,osteogenic differentiation,increases,regulates,forward,forward,29904399,1,two_hop,0,"PMID 29904399 shows icariin acts through miR-153 to regulate osteoblast differentiation. The mechanism involves icariin suppressing miR-153 (not increasing it), which then de-represses Runx2.",,1,0,"AI-assisted provisional label; human review required. The path claims icariin 'increases' miR-153, but the evidence from PMID 29904399 suggests icariin suppresses miR-153 to promote osteoblast differentiation (miR-153 targets Runx2, so increasing miR-153 would inhibit differentiation). The bridge (miR-153) is valid, but the direction of relation_1 ('increases') appears inconsistent with the described mechanism, reducing relevance to 1."
Q002,Q002-P01,osteoporosis,,bone formation,associated_with,,undirected,undirected,37215980,1,one_hop,0,"PMID 23605904 discusses miRNA roles in osteogenesis and osteoporosis, linking osteoblast-mediated bone formation to osteoporosis pathology.","PMID 34502371 discusses gut microbiota roles in both osteoporosis and osteogenesis/bone healing, supporting an association between osteoporosis and bone formation processes.",0,0,"AI-assisted provisional label; human review required. The two-hop path uses 'osteoporosis' as both source and bridge, which is circular and not a valid two-hop structure. The evidence supports a general association between osteoporosis and bone formation but does not validate a meaningful bridge entity. Relevance is 1 due to partial thematic support but invalid bridge structure."
Q002,Q002-P01,osteoporosis,osteoporosis,bone formation,associated_with,associated_with,undirected,undirected,23605904;34502371,1,two_hop,0,"PMID 23605904 discusses miRNA roles in osteogenesis and osteoporosis, linking osteoblast-mediated bone formation to osteoporosis pathology.","PMID 34502371 discusses gut microbiota roles in both osteoporosis and osteogenesis/bone healing, supporting an association between osteoporosis and bone formation processes.",0,0,"AI-assisted provisional label; human review required. The two-hop path uses 'osteoporosis' as both source and bridge, which is circular and not a valid two-hop structure. The evidence supports a general association between osteoporosis and bone formation but does not validate a meaningful bridge entity. Relevance is 1 due to partial thematic support but invalid bridge structure."
Q002,Q002-P03,osteoporosis,osteoporosis,osteogenesis,associated_with,related_to,undirected,undirected,23605904;34502371,1,two_hop,0,PMID 23605904 explicitly links osteogenesis and osteoporosis through miRNA regulation of osteoblast differentiation.,PMID 34502371 discusses osteoporosis and osteogenesis together in the context of gut microbiota and bone metabolism.,0,0,"AI-assisted provisional label; human review required. Similar to Q002-P01 two-hop, the bridge is 'osteoporosis' itself (same as source), making this a circular/degenerate two-hop path. The evidence supports a relationship between osteoporosis and osteogenesis but does not validate a proper bridge. Relevance is 1 for partial thematic support."
Q003,Q003-P01,insulin resistance,pcos,inflammation,associated_with,associated_with,undirected,undirected,33439300,1,two_hop,0,"PMID 33439300 states that PCOS women are prone to insulin resistance and discusses the association of inflammatory markers with PCOS, supporting both hops of the path.",,1,0,"AI-assisted provisional label; human review required. The evidence from PMID 33439300 supports that insulin resistance is associated with PCOS and that PCOS is associated with inflammation (inflammatory markers). The bridge (PCOS) is valid. However, the excerpt does not provide direct mechanistic evidence linking insulin resistance to inflammation via PCOS in a directional manner; both relations are described as undirected associations. Relevance is 1 due to partial support from a single paper with limited mechanistic detail in the excerpt."
Q004,Q004-P01,curcumin,,apoptosis,induces,,forward,undirected,32519340,1,one_hop,0,"PMID 32519340 describes curcumin's antitumor activity in lung cancer and mentions it affects molecular pathways, but does not explicitly state curcumin induces apoptosis in the supplied excerpt.",,0,0,"AI-assisted provisional label; human review required. The excerpt confirms curcumin has antitumor activity and affects relevant signaling pathways (NF-κB, PI3/Akt, mTOR), which are commonly linked to apoptosis, but the word 'apoptosis' is not mentioned in the supplied text. The path is partially supported by implication but not directly confirmed by the frozen corpus excerpt."
Q005,Q005-P01,amyloid-beta,,mitochondrial toxicity,related_to,,undirected,undirected,33476985,1,one_hop,0,"PMID 33476985 states mitochondrial damage has been related to amyloid-beta pathology, supporting an association between amyloid-beta and mitochondrial dysfunction/damage.",,0,0,"AI-assisted provisional label; human review required. The evidence supports a relationship between amyloid-beta and mitochondrial damage (dysfunction), but the target in this path is 'mitochondrial toxicity' specifically, which is not the exact term used. The relation is undirected and the evidence is partial. Relevance is 1 due to terminological mismatch and lack of direct causal directionality."
