question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,1.9565224647521973e-05,3.925756737589836,2.1070241928100586e-05,,34.847020365297794,,39.272933818399906,0,0,0,[],9,4583,1230,5813
Q003,0.0,9.169429540634155e-05,1.8775493279099464,2.337247133255005e-05,,29.48347459733486,,31.959469258785248,0,0,0,[],15,3328,1076,4404
Q004,0.0,2.4221837520599365e-05,2.0440738648176193,4.057586193084717e-05,,41.37481968104839,,44.07719687372446,0,0,0,[],15,3716,1540,5256
Q006,0.0,5.313009023666382e-05,1.7955265641212463,2.2940337657928467e-05,,31.325467452406883,,33.60306587815285,0,0,0,[],15,3560,1146,4706
Q008,0.0,5.2928924560546875e-05,1.988258808851242,2.695620059967041e-05,,39.77025659382343,,42.31936959922314,0,0,0,[],15,4462,1447,5909
Q010,0.0,9.204447269439697e-05,1.706934615969658,1.5787780284881592e-05,,56.799516178667545,,59.01186719536781,0,0,0,[],12,5294,2095,7389
Q011,0.0,4.738569259643555e-05,1.983663596212864,2.425163984298706e-05,,34.06029695272446,,36.55724050849676,0,0,0,[],15,4012,1236,5248
Q014,0.0,4.8123300075531006e-05,1.1864486783742905,4.112720489501953e-05,,33.698747366666794,,35.4849898070097,0,0,0,[],6,3099,1252,4351
Q015,0.0,5.237758159637451e-05,0.8813378438353539,2.133101224899292e-05,,30.312440671026707,,31.69810602813959,0,0,0,[],3,1423,1188,2611
Q016,0.0,4.380941390991211e-05,1.1709081456065178,2.4221837520599365e-05,,29.758334398269653,,31.459666080772877,0,0,0,[],4,1517,1169,2686
Q021,0.0,5.32492995262146e-05,1.5260633155703545,4.263967275619507e-05,,37.369712218642235,,39.53384643793106,0,0,0,[],10,4386,1359,5745
Q025,0.0,5.362182855606079e-05,1.073613628745079,2.1949410438537598e-05,,30.29067112505436,,31.86858844012022,0,0,0,[],4,1996,1169,3165
Q028,0.0,4.791468381881714e-05,1.6082618162035942,2.7470290660858154e-05,,33.3947900980711,,35.52467857301235,0,0,0,[],9,4106,1211,5317
Q029,0.0,5.3256750106811523e-05,1.4889448806643486,3.711134195327759e-05,,33.277458772063255,,35.26232051104307,0,0,0,[],7,2483,1268,3751
Q037,0.0,4.623830318450928e-05,1.6674234792590141,2.6226043701171875e-05,,32.030836910009384,,34.19272020459175,0,0,0,[],11,3564,1175,4739
Q041,0.0,5.282461643218994e-05,1.6699266731739044,2.6792287826538086e-05,,36.34133503586054,,38.582923412323,0,0,0,[],10,4407,1310,5717
Q043,0.0,2.4199485778808594e-05,2.0580296963453293,2.1398067474365234e-05,,26.734398618340492,,29.289549320936203,0,0,0,[],15,3725,948,4673
Q046,0.0,5.13419508934021e-05,1.4603434279561043,2.1688640117645264e-05,,17.045734755694866,,19.026485286653042,0,0,0,[],7,3062,589,3651
Q047,0.0,4.6409666538238525e-05,0.9058298319578171,1.008063554763794e-05,,11.844688534736633,,13.324926525354385,0,0,0,[],1,542,472,1014
Q050,0.0,2.9228627681732178e-05,1.011525347828865,2.1152198314666748e-05,,37.08913138508797,,38.656099542975426,0,0,0,[],5,2257,1440,3697
