hypothesis_id,question_id,system
Q001-A,Q001,netmedex_hybrid_rag
Q001-B,Q001,traditional_rag
Q004-A,Q004,traditional_rag
Q004-B,Q004,netmedex_hybrid_rag
Q008-A,Q008,traditional_rag
Q008-B,Q008,netmedex_hybrid_rag
Q011-A,Q011,traditional_rag
Q011-B,Q011,netmedex_hybrid_rag
Q015-A,Q015,netmedex_hybrid_rag
Q015-B,Q015,traditional_rag
Q016-A,Q016,netmedex_hybrid_rag
Q016-B,Q016,traditional_rag
Q018-A,Q018,traditional_rag
Q018-B,Q018,netmedex_hybrid_rag
Q022-A,Q022,netmedex_hybrid_rag
Q022-B,Q022,traditional_rag
Q023-A,Q023,netmedex_hybrid_rag
Q023-B,Q023,traditional_rag
Q025-A,Q025,traditional_rag
Q025-B,Q025,netmedex_hybrid_rag
Q028-A,Q028,traditional_rag
Q028-B,Q028,netmedex_hybrid_rag
Q029-A,Q029,netmedex_hybrid_rag
Q029-B,Q029,traditional_rag
Q031-A,Q031,traditional_rag
Q031-B,Q031,netmedex_hybrid_rag
Q034-A,Q034,netmedex_hybrid_rag
Q034-B,Q034,traditional_rag
Q035-A,Q035,traditional_rag
Q035-B,Q035,netmedex_hybrid_rag
Q037-A,Q037,traditional_rag
Q037-B,Q037,netmedex_hybrid_rag
Q040-A,Q040,traditional_rag
Q040-B,Q040,netmedex_hybrid_rag
Q048-A,Q048,traditional_rag
Q048-B,Q048,netmedex_hybrid_rag
Q050-A,Q050,netmedex_hybrid_rag
Q050-B,Q050,traditional_rag
