system,arm,question_id,run_id,label,question_type,routed_profile,route_reason,use_node_rag,max_hops,gate_directional_paths,gate_multi_document_paths,gate_evidence_paths,node_ids,exposed_pmids,exposed_edges,exposed_paths,exposure_signature
netmedex_hybrid_rag,F_adaptive,Q005,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,mechanism,G_evidence_gated_two_hop,question_type=mechanism: evidence-gated multi-hop task,True,2,False,False,True,,,,,4f8698ecdef6d9b5
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,hypothesis,G_evidence_gated_two_hop,question_type=hypothesis: evidence-gated multi-hop task,True,2,False,False,True,12638_Gene;MESH:D007249_Disease,23788646;27588407;28155088;30546102;31636470;32326161;35743652;36600119;37546931;38073491;38179971;38554847,inflammation --[associated_with] cystic fibrosis;cftr ->[induces] inflammation;inflammation ->[induces] cftr;inflammation --[associated_with] dysbiosis;inflammation --[associated_with] cystic fibrosis | cystic fibrosis ->[causes] cftr;cftr ->[causes] cystic fibrosis;cftr ->[induces] dysbiosis;inflammation ->[causes] cftr;inflammation --[associated_with] cystic fibrosis | cystic fibrosis --[associated_with] dysbiosis;cftr ->[causes] liver diseases;inflammation ->[inhibits] propionates;cftr ->[regulates] nfkb1;cftr --[interacts_with] ctnnb1;inflammation ->[ameliorates] ivacaftor;cftr ->[induces] inflammation | inflammation --[associated_with] cystic fibrosis;cftr ->[regulates] bicarbonates;cftr ->[regulates] chlorine;cftr ->[induces] inflammation | inflammation --[associated_with] dysbiosis;inflammation --[associated_with] dysbiosis | dysbiosis --[associated_with] cystic fibrosis;inflammation ->[causes] liver diseases,inflammation|cystic fibrosis;cftr|inflammation;inflammation|cftr;inflammation|dysbiosis;inflammation|cystic fibrosis|cftr;cftr|cystic fibrosis;cftr|dysbiosis;inflammation|cftr;inflammation|cystic fibrosis|dysbiosis;cftr|liver diseases;inflammation|propionates;cftr|nfkb1;cftr|ctnnb1;inflammation|ivacaftor;cftr|inflammation|cystic fibrosis;cftr|bicarbonates;cftr|chlorine;cftr|inflammation|dysbiosis;inflammation|dysbiosis|cystic fibrosis;inflammation|liver diseases,b6a9aeb95f179e7a
netmedex_hybrid_rag,F_adaptive,Q010,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,multilingual_mechanism,G_evidence_gated_two_hop,question_type=multilingual_mechanism: evidence-gated multi-hop task,True,2,False,False,True,,,,,4f8698ecdef6d9b5
netmedex_hybrid_rag,F_adaptive,Q011,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,mechanism,G_evidence_gated_two_hop,question_type=mechanism: evidence-gated multi-hop task,True,2,False,False,True,MESH:D008687_Chemical;56718_Gene,24009772;24750786;26277279;29167573;29662316;30445633;31205529;33886150;34062070;34576192;35072253;35731713;37371530;40140842,metformin ->[activates] prkaa1;metformin ->[inhibits] mtor;metformin ->[inhibits] akt1;metformin --[associated_with] neoplasms;metformin ->[activates] prkaa2;metformin ->[upregulates] casp3;metformin ->[treats] diabetes mellitus type 2;metformin ->[activates] ddit4;metformin ->[suppresses] esophageal squamous cell carcinoma;metformin ->[inhibits] colorectal neoplasms;metformin ->[downregulates] igf1r;metformin ->[upregulates] ddit3;metformin ->[suppresses] hif1a;metformin ->[activates] tsc2;metformin ->[inhibits] cd19;metformin ->[inhibits] bile duct neoplasms;metformin ->[inhibits] pancreatic neoplasms;metformin ->[treats] polycystic ovary syndrome;metformin ->[induces] precursor cell lymphoblastic leukemia-lymphoma;mtor ->[inhibits] metformin,metformin|prkaa1;metformin|mtor;metformin|akt1;metformin|neoplasms;metformin|prkaa2;metformin|casp3;metformin|diabetes mellitus type 2;metformin|ddit4;metformin|esophageal squamous cell carcinoma;metformin|colorectal neoplasms;metformin|igf1r;metformin|ddit3;metformin|hif1a;metformin|tsc2;metformin|cd19;metformin|bile duct neoplasms;metformin|pancreatic neoplasms;metformin|polycystic ovary syndrome;metformin|precursor cell lymphoblastic leukemia-lymphoma;mtor|metformin,a103b67787bb2355
netmedex_hybrid_rag,F_adaptive,Q012,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,association,C_one_hop,question_type=association: graph association task,True,1,False,False,False,microglia_disease;ro_chemical,32087283;40640358,microglia ->[inhibits] dihydrotestosterone;ro ->[upregulates] alzheimer disease,microglia|dihydrotestosterone;ro|alzheimer disease,d365c17949a20e15
netmedex_hybrid_rag,F_adaptive,Q018,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,hypothesis,G_evidence_gated_two_hop,question_type=hypothesis: evidence-gated multi-hop task,True,2,False,False,True,,,,,4f8698ecdef6d9b5
netmedex_hybrid_rag,F_adaptive,Q019,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,association,C_one_hop,question_type=association: graph association task,True,1,False,False,False,MESH:D009765_Disease;MESH:D005234_Disease;MESH:D065626_Disease,19355912;19664840;20498498;23108307;24249635;26464753;26654761;29416297;30005625;33671547;36009862;36753306;37801761,obesity --[associated_with] non-alcoholic fatty liver disease;non-alcoholic fatty liver disease --[associated_with] obesity;non-alcoholic fatty liver disease --[associated_with] inflammation;non-alcoholic fatty liver disease --[associated_with] insulin resistance;non-alcoholic fatty liver disease ->[leads_to] carcinoma hepatocellular;non-alcoholic fatty liver disease --[associated_with] adipoq;fatty liver ->[causes] adipoq;obesity ->[leads_to] carcinoma hepatocellular;obesity ->[triggers] inflammation;non-alcoholic fatty liver disease ->[ameliorates] weight loss;non-alcoholic fatty liver disease ->[ameliorates] cotadutide;fatty liver ->[ameliorates] cotadutide;non-alcoholic fatty liver disease ->[ameliorates] resolvin d1;non-alcoholic fatty liver disease ->[leads_to] liver cirrhosis;non-alcoholic fatty liver disease ->[leads_to] carcinogenesis;non-alcoholic fatty liver disease --[is_a] liver diseases;fatty liver --[resolves] weight loss;fatty liver --[associated_with] non-alcoholic fatty liver disease;non-alcoholic fatty liver disease --[associated_with] fatty liver;non-alcoholic fatty liver disease --[associated_with] overweight,obesity|non-alcoholic fatty liver disease;non-alcoholic fatty liver disease|obesity;non-alcoholic fatty liver disease|inflammation;non-alcoholic fatty liver disease|insulin resistance;non-alcoholic fatty liver disease|carcinoma hepatocellular;non-alcoholic fatty liver disease|adipoq;fatty liver|adipoq;obesity|carcinoma hepatocellular;obesity|inflammation;non-alcoholic fatty liver disease|weight loss;non-alcoholic fatty liver disease|cotadutide;fatty liver|cotadutide;non-alcoholic fatty liver disease|resolvin d1;non-alcoholic fatty liver disease|liver cirrhosis;non-alcoholic fatty liver disease|carcinogenesis;non-alcoholic fatty liver disease|liver diseases;fatty liver|weight loss;fatty liver|non-alcoholic fatty liver disease;non-alcoholic fatty liver disease|fatty liver;non-alcoholic fatty liver disease|overweight,2f68c473bb1eb224
netmedex_hybrid_rag,F_adaptive,Q026,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,association,C_one_hop,question_type=association: graph association task,True,1,False,False,False,,,,,fe46638f9e83fcc9
netmedex_hybrid_rag,F_adaptive,Q037,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,mechanism,G_evidence_gated_two_hop,question_type=mechanism: evidence-gated multi-hop task,True,2,False,False,True,MESH:D019694_Disease;MESH:D006509_Disease;944569_Gene,20413301;20485626;25646384;29052129;30611768;32839523;39290403,hepatitis b ->[causes] carcinoma hepatocellular;hepatitis b chronic ->[leads_to] liver cirrhosis;hepatitis b chronic ->[leads_to] fibrosis;hepatitis b chronic ->[causes] carcinoma hepatocellular;hepatitis b chronic ->[induces] inflammation;hepatitis b --[associated_with] hepatitis b chronic;hepatitis b chronic --[associated_with] hepatitis b;hepatitis b ->[causes] carcinoma hepatocellular | carcinoma hepatocellular ->[promotes] x;hepatitis b chronic --[associated_with] hypoxia;hepatitis b --[associated_with] inflammation;hepatitis b --[associated_with] liver cirrhosis;hepatitis b ->[causes] carcinoma hepatocellular | carcinoma hepatocellular ->[causes] hepatitis b chronic;hepatitis b chronic ->[causes] carcinoma hepatocellular | carcinoma hepatocellular ->[promotes] x;hepatitis b chronic ->[causes] carcinoma hepatocellular | carcinoma hepatocellular ->[causes] hepatitis b;hepatitis b ->[causes] carcinoma hepatocellular | carcinoma hepatocellular ->[promotes] stat3;hepatitis b ->[causes] carcinoma hepatocellular | carcinoma hepatocellular ->[promotes] hbx;hepatitis b chronic ->[causes] carcinoma hepatocellular | carcinoma hepatocellular ->[promotes] stat3;hepatitis b chronic ->[causes] carcinoma hepatocellular | carcinoma hepatocellular ->[promotes] hbx;hepatitis b --[associated_with] hepatitis b chronic | hepatitis b chronic ->[leads_to] fibrosis;hepatitis b --[associated_with] hepatitis b chronic | hepatitis b chronic ->[causes] carcinoma hepatocellular,hepatitis b|carcinoma hepatocellular;hepatitis b chronic|liver cirrhosis;hepatitis b chronic|fibrosis;hepatitis b chronic|carcinoma hepatocellular;hepatitis b chronic|inflammation;hepatitis b|hepatitis b chronic;hepatitis b chronic|hepatitis b;hepatitis b|carcinoma hepatocellular|x;hepatitis b chronic|hypoxia;hepatitis b|inflammation;hepatitis b|liver cirrhosis;hepatitis b|carcinoma hepatocellular|hepatitis b chronic;hepatitis b chronic|carcinoma hepatocellular|x;hepatitis b chronic|carcinoma hepatocellular|hepatitis b;hepatitis b|carcinoma hepatocellular|stat3;hepatitis b|carcinoma hepatocellular|hbx;hepatitis b chronic|carcinoma hepatocellular|stat3;hepatitis b chronic|carcinoma hepatocellular|hbx;hepatitis b|hepatitis b chronic|fibrosis;hepatitis b|hepatitis b chronic|carcinoma hepatocellular,3a16afad8b5e4ab7
netmedex_hybrid_rag,F_adaptive,Q041,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,multilingual_mechanism,G_evidence_gated_two_hop,question_type=multilingual_mechanism: evidence-gated multi-hop task,True,2,False,False,True,,,,,4f8698ecdef6d9b5
