answer_id,question_id,system,judge,rater_id,correctness,completeness,relevance,grounding,mechanistic_coherence,research_value,notes
PP001-A,PP001,traditional_text_rag,gpt41,openai:gpt-4.1,4,3,5,4,4,4,"Accurately summarizes in vitro and animal evidence, but lacks explicit discussion of study limitations and omits some mechanistic and translational context."
PP001-B,PP001,structured_gated_path_answer,gpt41,openai:gpt-4.1,5,5,5,5,5,5,"Comprehensive, well-grounded, details both evidence and limitations, distinguishes models, and proposes a testable hypothesis. Mechanisms and translational gaps are clearly articulated."
PP001-C,PP001,legacy_path_answer,gpt41,openai:gpt-4.1,5,4,5,5,5,5,"Strong mechanistic and experimental detail, clear limitations, but less explicit about translational gaps and lacks a hypothesis for future research."
PP001-D,PP001,text_rag_kg_reranking,gpt41,openai:gpt-4.1,5,4,5,5,5,4,"Accurate and mechanistically detailed, but limitations and translational context are less developed compared to B and C."
PP002-A,PP002,legacy_path_answer,gpt41,openai:gpt-4.1,5,5,5,5,5,5,"Accurate, well-cited, details mechanisms, limitations, and testable hypotheses. Clearly distinguishes in-vitro from in-vivo/clinical evidence."
PP002-B,PP002,text_rag_kg_reranking,gpt41,openai:gpt-4.1,5,4,5,5,5,5,"Accurate and well-grounded, but the answer is truncated and lacks a full conclusion. Mechanistic and contextual limitations are well described."
PP002-C,PP002,traditional_text_rag,gpt41,openai:gpt-4.1,5,5,5,5,5,5,"Comprehensive, mechanistically detailed, clearly distinguishes evidence types, and highlights translational limitations. Strong research value."
PP002-D,PP002,structured_gated_path_answer,gpt41,openai:gpt-4.1,5,4,5,5,5,4,"Accurate and well-grounded, but less mechanistic depth and less detail on animal/clinical gaps than A or C. Good summary of limitations."
PP003-A,PP003,legacy_path_answer,gpt41,openai:gpt-4.1,5,5,5,5,5,5,"Well-grounded, distinguishes human/animal/in-vitro, details mechanisms, limitations, and cites primary/review sources. No unsupported claims."
PP003-B,PP003,text_rag_kg_reranking,gpt41,openai:gpt-4.1,5,5,5,5,5,5,"Accurately summarizes direct/associative evidence, mechanisms, and limitations. Clearly distinguishes model systems and human data. No unsupported claims."
PP003-C,PP003,traditional_text_rag,gpt41,openai:gpt-4.1,5,4,5,5,5,4,"Correct and well-grounded, but slightly less detail on study limitations and mechanistic diversity than A/B. Distinguishes evidence types."
PP003-D,PP003,structured_gated_path_answer,gpt41,openai:gpt-4.1,5,5,5,5,5,5,"Comprehensive, well-grounded, clearly distinguishes evidence types, mechanisms, and limitations. Includes graph-derived evidence. No unsupported claims."
