question_id,source_question_id,category,hop_count,path_signature,path,relations,supporting_pmids,source_result
PP001,Q001,direct,1,90b8236c9fc91254,icariin -> osteogenic differentiation,promotes,38045146,evaluation/formal/runs/abcd20_path_replay_v2/questions/Q001/result.json
PP002,Q004,direct,1,a48c9071e59e7e2d,curcumin -> apoptosis,induces,15810876,evaluation/formal/runs/abcd20_path_replay_v2/questions/Q004/result.json
PP003,Q005,direct,1,31f26bea18c6474b,amyloid-beta -> mitochondrial toxicity,related_to,33476985,evaluation/formal/runs/formal-v1-ae-replay-terra-graphs-luna-answers-v1/D_two_hop/questions/Q005/result.json
PP004,Q007,direct,1,decd42689d2018ff,il-17 -> autoimmune disease,promotes,27576555,evaluation/formal/runs/formal-v1-ae-replay-terra-graphs-luna-answers-v1/D_two_hop/questions/Q007/result.json
PP005,Q011,direct,1,6b5618526adbdfc6,metformin -> malignancy,associated_with,26277279,evaluation/formal/runs/abcd20_path_replay_v2/questions/Q011/result.json
PP006,Q001,multi_hop_same_pmid,2,726c66af94dc377a,icariin -> ti -> osteogenic differentiation,blocks -> inhibits,29500883,evaluation/formal/runs/abcd20_path_replay_v2/questions/Q001/result.json
PP007,Q004,multi_hop_same_pmid,2,365a23ddd1189115,curcumin -> p53 -> apoptosis,upregulates -> increases,30623450,evaluation/formal/runs/abcd20_path_replay_v2/questions/Q004/result.json
PP008,BW010,multi_hop_cross_pmid,2,6c6fb0bc25292607,dysbiosis -> serotonin -> bone diseases,decreases -> treats,21320797;38474387,evaluation/formal/runs/controlled-bridge-bw010-distractors-v1-retrieval/questions/BW010/result.json
PP009,Q008,multi_hop_cross_pmid,4,08b1ba895a663928,cystic fibrosis transmembrane regulator protein -> inflammation -> cf -> cftr -> intestinal inflammation,causes -> associated_with -> causes -> induces,23788646;28155088;37546931,evaluation/formal/runs/abcd20_path_replay_v2/questions/Q008/result.json
PP010,Q008,multi_hop_cross_pmid,2,3a03360fb323a847,cftr -> dysbiosis -> inflammation,induces -> associated_with,37546931;38554847,evaluation/formal/runs/abcd20_path_replay_v2/questions/Q008/result.json
PP011,Q037,multi_hop_cross_pmid,4,499767e1e1703963,chronic hepatitis b virus (hbv) infection -> liver fibrosis -> hbv -> chronic liver inflammation -> hcc,leads_to -> associated_with -> causes -> promotes,20485626;25646384;29052129;38064540,evaluation/formal/runs/abcd20_path_replay_v2/questions/Q037/result.json
PP012,Q037,multi_hop_cross_pmid,4,904d67f239f8cb5b,chronic hepatitis b virus (hbv) infection -> liver fibrosis -> hbv -> hbv infection -> hepatocellular carcinoma,leads_to -> associated_with -> causes -> causes,29052129;30611768;38064540,evaluation/formal/runs/abcd20_path_replay_v2/questions/Q037/result.json
PP013,Q037,multi_hop_cross_pmid,2,c37d8f7746362201,chronic hepatitis b virus (hbv) infection -> chronic liver inflammation -> hcc,causes -> promotes,20485626;29052129,evaluation/formal/runs/abcd20_path_replay_v2/questions/Q037/result.json
PP014,BW010,multi_hop_cross_pmid,2,fa3452511ed7b713,dysbiosis -> fatty acids volatile -> bone diseases,decreases -> prevents,29302038;35430804,evaluation/formal/runs/controlled-bridge-reviewed-distractors-v1-bw010-retrieval/questions/BW010/result.json
PP015,BW003,multi_hop_cross_pmid,2,9ed6292d75395474,cftr -> cystic fibrosis -> inflammation,causes -> leads_to,33201261;36289287,evaluation/formal/runs/bridge-withheld-endpoint-only-bw003-v1-retrieval/questions/BW003/result.json
PP016,BW003,multi_hop_cross_pmid,2,57416f2f7b9449cc,cftr -> dysbiosis -> inflammation,induces -> associated_with,36600119;37546931,evaluation/formal/runs/bridge-withheld-endpoint-only-bw003-v1-retrieval/questions/BW003/result.json
PP017,BW008,multi_hop_cross_pmid,2,7e9fef4360d43ca1,hepatitis b chronic -> liver cirrhosis -> carcinoma hepatocellular,increases -> associated_with,39411648;41997336,evaluation/formal/runs/controlled-bridge-pilot-v3-four-hop-replay/questions/BW008/result.json
PP018,TH001,multi_hop_cross_pmid,2,5724030babeb80f1,dysbiosis -> periodontitis -> bone loss,leads_to -> associated_with,24646638;25918553,evaluation/temporal_holdout_pilot/discovery_run_v2_date_audited/questions/TH001/result.json
PP019,TH001,multi_hop_cross_pmid,4,67837b72691d2015,dysbiosis -> inflammation -> inflammation -> osteoporosis -> bone loss,leads_to -> associated_with -> induces -> causes,20599675;22179898;24976068;25918553,evaluation/temporal_holdout_pilot/discovery_run_v2_date_audited/questions/TH001/result.json
PP020,TH001,multi_hop_cross_pmid,4,5392416d32ad795a,dysbiosis -> periodontitis -> inflammation -> osteoporosis -> bone loss,leads_to -> is_a -> induces -> causes,20599675;22179898;25918553,evaluation/temporal_holdout_pilot/discovery_run_v2_date_audited/questions/TH001/result.json
