answer_id,question_id,system
Q001-A,Q001,traditional_rag
Q001-B,Q001,general_llm
Q001-C,Q001,netmedex_hybrid_rag
Q003-A,Q003,traditional_rag
Q003-B,Q003,netmedex_hybrid_rag
Q003-C,Q003,general_llm
Q004-A,Q004,general_llm
Q004-B,Q004,netmedex_hybrid_rag
Q004-C,Q004,traditional_rag
Q006-A,Q006,general_llm
Q006-B,Q006,traditional_rag
Q006-C,Q006,netmedex_hybrid_rag
Q008-A,Q008,netmedex_hybrid_rag
Q008-B,Q008,general_llm
Q008-C,Q008,traditional_rag
Q010-A,Q010,netmedex_hybrid_rag
Q010-B,Q010,traditional_rag
Q010-C,Q010,general_llm
Q011-A,Q011,traditional_rag
Q011-B,Q011,general_llm
Q011-C,Q011,netmedex_hybrid_rag
Q014-A,Q014,netmedex_hybrid_rag
Q014-B,Q014,traditional_rag
Q014-C,Q014,general_llm
Q015-A,Q015,netmedex_hybrid_rag
Q015-B,Q015,general_llm
Q015-C,Q015,traditional_rag
Q016-A,Q016,netmedex_hybrid_rag
Q016-B,Q016,general_llm
Q016-C,Q016,traditional_rag
Q021-A,Q021,traditional_rag
Q021-B,Q021,netmedex_hybrid_rag
Q021-C,Q021,general_llm
Q025-A,Q025,traditional_rag
Q025-B,Q025,general_llm
Q025-C,Q025,netmedex_hybrid_rag
Q028-A,Q028,netmedex_hybrid_rag
Q028-B,Q028,traditional_rag
Q028-C,Q028,general_llm
Q029-A,Q029,traditional_rag
Q029-B,Q029,general_llm
Q029-C,Q029,netmedex_hybrid_rag
Q037-A,Q037,traditional_rag
Q037-B,Q037,netmedex_hybrid_rag
Q037-C,Q037,general_llm
Q041-A,Q041,traditional_rag
Q041-B,Q041,general_llm
Q041-C,Q041,netmedex_hybrid_rag
Q043-A,Q043,traditional_rag
Q043-B,Q043,general_llm
Q043-C,Q043,netmedex_hybrid_rag
Q046-A,Q046,netmedex_hybrid_rag
Q046-B,Q046,general_llm
Q046-C,Q046,traditional_rag
Q047-A,Q047,traditional_rag
Q047-B,Q047,general_llm
Q047-C,Q047,netmedex_hybrid_rag
Q050-A,Q050,traditional_rag
Q050-B,Q050,general_llm
Q050-C,Q050,netmedex_hybrid_rag
