system,arm,question_id,run_id,label,question_type,routed_profile,route_reason,use_node_rag,max_hops,gate_directional_paths,gate_multi_document_paths,gate_evidence_paths,node_ids,exposed_pmids,exposed_edges,exposed_paths,exposure_signature
netmedex_hybrid_rag,E_verified_gated_two_hop,Q001,formal-v1-gpt-5.6-luna-E_verified_gated_two_hop,E. Verified + gated 2-hop,mechanism,E_verified_gated_two_hop,fixed profile,True,2,True,True,True,MESH:C056599_Chemical;MESH:D014025_Chemical,,,,5c4e927a9ba58214
netmedex_hybrid_rag,E_verified_gated_two_hop,Q002,formal-v1-gpt-5.6-luna-E_verified_gated_two_hop,E. Verified + gated 2-hop,retrieval,E_verified_gated_two_hop,fixed profile,True,2,True,True,True,HP:0000939_Phenotype;op_disease;MESH:D010013_Disease,,,,5c4e927a9ba58214
netmedex_hybrid_rag,E_verified_gated_two_hop,Q003,formal-v1-gpt-5.6-luna-E_verified_gated_two_hop,E. Verified + gated 2-hop,direct_evidence,E_verified_gated_two_hop,fixed profile,True,2,True,True,True,9606_Species;map04931_Pathway,,,,5c4e927a9ba58214
netmedex_hybrid_rag,E_verified_gated_two_hop,Q004,formal-v1-gpt-5.6-luna-E_verified_gated_two_hop,E. Verified + gated 2-hop,two_hop_path,E_verified_gated_two_hop,fixed profile,True,2,True,True,True,R-HSA-109581_Pathway;MESH:D003474_Chemical,,,,5c4e927a9ba58214
netmedex_hybrid_rag,E_verified_gated_two_hop,Q005,formal-v1-gpt-5.6-luna-E_verified_gated_two_hop,E. Verified + gated 2-hop,mechanism,E_verified_gated_two_hop,fixed profile,True,2,True,True,True,HP:0001427_Phenotype;HP:0003287_Phenotype;351_Gene;MESH:C564971_Disease;GO:0006979_BiologicalProcess,,,,5c4e927a9ba58214
netmedex_hybrid_rag,E_verified_gated_two_hop,Q006,formal-v1-gpt-5.6-luna-E_verified_gated_two_hop,E. Verified + gated 2-hop,retrieval,E_verified_gated_two_hop,fixed profile,True,2,True,True,True,MESH:D014652_Disease,,,,5c4e927a9ba58214
netmedex_hybrid_rag,E_verified_gated_two_hop,Q007,formal-v1-gpt-5.6-luna-E_verified_gated_two_hop,E. Verified + gated 2-hop,association,E_verified_gated_two_hop,fixed profile,True,2,True,True,True,HP:0002960_Phenotype;112744_Gene;3605_Gene;27190_Gene,,,,5c4e927a9ba58214
netmedex_hybrid_rag,E_verified_gated_two_hop,Q008,formal-v1-gpt-5.6-luna-E_verified_gated_two_hop,E. Verified + gated 2-hop,hypothesis,E_verified_gated_two_hop,fixed profile,True,2,True,True,True,HP:4000055_Phenotype;GO:0006954_BiologicalProcess;12638_Gene;MESH:D003550_Disease,,,,5c4e927a9ba58214
netmedex_hybrid_rag,E_verified_gated_two_hop,Q009,formal-v1-gpt-5.6-luna-E_verified_gated_two_hop,E. Verified + gated 2-hop,retrieval,E_verified_gated_two_hop,fixed profile,True,2,True,True,True,map04630_Pathway,,,,5c4e927a9ba58214
netmedex_hybrid_rag,E_verified_gated_two_hop,Q010,formal-v1-gpt-5.6-luna-E_verified_gated_two_hop,E. Verified + gated 2-hop,multilingual_mechanism,E_verified_gated_two_hop,fixed profile,True,2,True,True,True,,,,,5c4e927a9ba58214
