question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.749396324157715e-05,3.383869431912899,0.00010966509580612183,0.0,,,3.8880854547023773,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,1.9706785678863525e-05,1.2997300550341606,4.521012306213379e-05,0.0,,,1.8021983429789543,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,1.560896635055542e-05,1.3191739469766617,3.2007694244384766e-05,0.0,,,2.040122054517269,33,42,1,['33476985'],15,,,
PP004,0.0,4.0143728256225586e-05,1.9071927964687347,1.3120472431182861e-05,0.0,,,2.4799067601561546,35,41,1,['27576555'],15,,,
PP005,0.0,1.7523765563964844e-05,1.6675880998373032,1.6786158084869385e-05,0.0,,,2.296603612601757,123,208,1,['26277279'],15,,,
PP006,0.0,2.1480023860931396e-05,1.3921810388565063,6.023794412612915e-05,0.0,,,1.9083063453435898,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,4.116445779800415e-05,1.4638508558273315,7.908791303634644e-05,0.0,,,2.105080284178257,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,2.6829540729522705e-05,2.4080792143940926,0.00033221393823623657,0.0,,,3.0753481909632683,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,8.944422006607056e-05,1.601543053984642,0.00018168985843658447,0.0,,,2.156116805970669,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,2.4668872356414795e-05,1.515045315027237,0.0001657828688621521,0.0,,,2.0264995619654655,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,4.826486110687256e-05,1.521137297153473,0.00021219998598098755,0.0,,,2.0035161301493645,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,5.002319812774658e-05,1.0324084907770157,0.0001729726791381836,0.0,,,1.550033874809742,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,2.5063753128051758e-05,1.1680214032530785,0.00028708577156066895,0.0,,,1.7432091236114502,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,1.650303602218628e-05,2.18131610006094,6.283375516533852,52.801989644765854,,,64.22379851341248,166,267,1,"['29302038', '35430804']",26,7951,2087,10038
PP015,0.0,7.106363773345947e-05,3.649184301495552,0.0001766681671142578,0.0,,,4.450293906033039,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP016,0.0,5.771219730377197e-05,2.507294349372387,0.00025266408920288086,0.0,,,3.2201800793409348,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP017,0.0,6.932765245437622e-05,1.6106499433517456,0.00015708059072494507,0.0,,,2.1271880120038986,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,4.448741674423218e-05,3.2258321046829224,6.788572616875172,28.800974272191525,,,51.203957319259644,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,4428,1503,5931
PP019,0.0,7.293373346328735e-05,3.4896330758929253,6.75130420923233,35.65562092512846,,,65.17280527949333,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,4261,2081,6342
PP020,0.0,2.969801425933838e-05,5.52627195417881,6.909000165760517,34.82800541818142,,,50.52897597849369,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,4143,1359,5502
