system,arm,question_id,run_id,label,question_type,routed_profile,route_reason,use_node_rag,max_hops,gate_directional_paths,gate_multi_document_paths,gate_evidence_paths,node_ids,exposed_pmids,exposed_edges,exposed_paths,exposure_signature
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP001,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,38045146,icariin ->[promotes] osteogenic differentiation,icariin|osteogenic differentiation,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP002,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,15810876,curcumin ->[induces] apoptosis,curcumin|apoptosis,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP003,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,33476985,amyloid-beta --[related_to] mitochondrial toxicity,amyloid-beta|mitochondrial toxicity,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP004,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,27576555,il-17 ->[promotes] autoimmune disease,il-17|autoimmune disease,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP005,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,26277279,metformin --[associated_with] malignancy,metformin|malignancy,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP006,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,29500883,icariin ->[blocks] ti | ti ->[inhibits] osteogenic differentiation,icariin|ti|osteogenic differentiation,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP007,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,30623450,curcumin ->[upregulates] p53 | p53 ->[increases] apoptosis,curcumin|p53|apoptosis,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP008,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,21320797;38474387,dysbiosis ->[decreases] serotonin | serotonin ->[treats] bone diseases,dysbiosis|serotonin|bone diseases,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP009,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,23788646;28155088;37546931,cystic fibrosis transmembrane regulator protein ->[causes] inflammation | inflammation --[associated_with] cf | cf ->[causes] cftr | cftr ->[induces] intestinal inflammation,cystic fibrosis transmembrane regulator protein|inflammation|cf|cftr|intestinal inflammation,
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP010,formal-v1-gpt-oss:120b-F_adaptive,,mechanism,H_evidence_gated_four_hop,fixed profile,,,,,,,37546931;38554847,cftr ->[induces] dysbiosis | dysbiosis --[associated_with] inflammation,cftr|dysbiosis|inflammation,
