question_id,domain,question,pubmed_query,language
PP001,osteoporosis,"What evidence supports the claim that icariin promotes osteogenic differentiation, and what are the important study-context limitations?",icariin AND (osteoblast OR osteogenesis) AND (microRNA OR miRNA),English
PP002,cancer,"What evidence supports the claim that curcumin induces apoptosis, and what are the important study-context limitations?",curcumin AND apoptosis AND cancer AND (gene OR pathway),English
PP003,neurodegeneration,"What evidence supports the claim that amyloid-beta related_to mitochondrial toxicity, and what are the important study-context limitations?",amyloid beta AND oxidative stress AND mitochondrial dysfunction,English
PP004,immunology,"What evidence supports the claim that il-17 promotes autoimmune disease, and what are the important study-context limitations?",IL-17 AND autoimmune disease AND (Th17 OR gamma-delta T cells OR innate lymphoid cells),English
PP005,oncology,"What evidence supports the claim that metformin associated_with malignancy, and what are the important study-context limitations?",metformin AMPK mTOR cancer apoptosis proliferation,English
PP006,osteoporosis,What evidence supports a mechanistic path from icariin to osteogenic differentiation through ti? Distinguish evidence for each hop from overall inference.,icariin AND (osteoblast OR osteogenesis) AND (microRNA OR miRNA),English
PP007,cancer,What evidence supports a mechanistic path from curcumin to apoptosis through p53? Distinguish evidence for each hop from overall inference.,curcumin AND apoptosis AND cancer AND (gene OR pathway),English
PP008,hypothesis generation,What evidence supports a mechanistic path from dysbiosis to bone diseases through serotonin? Distinguish evidence for each hop from overall inference.,gut microbiome dysbiosis IL-17 bone loss osteoporosis,English
PP009,rare disease,"What evidence supports a mechanistic path from cystic fibrosis transmembrane regulator protein to intestinal inflammation through inflammation, cf, cftr? Distinguish evidence for each hop from overall inference.",CFTR AND intestinal inflammation AND (NF-kB OR dysbiosis OR cytokines),English
PP010,rare disease,What evidence supports a mechanistic path from cftr to inflammation through dysbiosis? Distinguish evidence for each hop from overall inference.,CFTR AND intestinal inflammation AND (NF-kB OR dysbiosis OR cytokines),English
PP011,infectious disease,"What evidence supports a mechanistic path from chronic hepatitis b virus (hbv) infection to hcc through liver fibrosis, hbv, chronic liver inflammation? Distinguish evidence for each hop from overall inference.",HBV hepatocellular carcinoma inflammation HBx integration fibrosis,English
PP012,infectious disease,"What evidence supports a mechanistic path from chronic hepatitis b virus (hbv) infection to hepatocellular carcinoma through liver fibrosis, hbv, hbv infection? Distinguish evidence for each hop from overall inference.",HBV hepatocellular carcinoma inflammation HBx integration fibrosis,English
PP013,infectious disease,What evidence supports a mechanistic path from chronic hepatitis b virus (hbv) infection to hcc through chronic liver inflammation? Distinguish evidence for each hop from overall inference.,HBV hepatocellular carcinoma inflammation HBx integration fibrosis,English
PP014,hypothesis generation,What evidence supports a mechanistic path from dysbiosis to bone diseases through fatty acids volatile? Distinguish evidence for each hop from overall inference.,gut microbiome dysbiosis IL-17 bone loss osteoporosis,English
PP015,rare disease,What evidence supports a mechanistic path from cftr to inflammation through cystic fibrosis? Distinguish evidence for each hop from overall inference.,CFTR AND (intestine OR intestinal) AND inflammation,English
PP016,rare disease,What evidence supports a mechanistic path from cftr to inflammation through dysbiosis? Distinguish evidence for each hop from overall inference.,CFTR AND (intestine OR intestinal) AND inflammation,English
PP017,infectious disease,What evidence supports a mechanistic path from hepatitis b chronic to carcinoma hepatocellular through liver cirrhosis? Distinguish evidence for each hop from overall inference.,HBV hepatocellular carcinoma inflammation HBx integration fibrosis,English
PP018,osteoimmunology,What evidence supports a mechanistic path from dysbiosis to bone loss through periodontitis? Distinguish evidence for each hop from overall inference.,"(""gut microbiome""[Title/Abstract] OR dysbiosis[Title/Abstract]) AND (inflammation[Title/Abstract] OR cytokine*[Title/Abstract] OR immune[Title/Abstract]) AND (""1900""[Date - Publication] : ""2015""[Date - Publication])",English
PP019,osteoimmunology,"What evidence supports a mechanistic path from dysbiosis to bone loss through inflammation, inflammation, osteoporosis? Distinguish evidence for each hop from overall inference.","(""gut microbiome""[Title/Abstract] OR dysbiosis[Title/Abstract]) AND (inflammation[Title/Abstract] OR cytokine*[Title/Abstract] OR immune[Title/Abstract]) AND (""1900""[Date - Publication] : ""2015""[Date - Publication])",English
PP020,osteoimmunology,"What evidence supports a mechanistic path from dysbiosis to bone loss through periodontitis, inflammation, osteoporosis? Distinguish evidence for each hop from overall inference.","(""gut microbiome""[Title/Abstract] OR dysbiosis[Title/Abstract]) AND (inflammation[Title/Abstract] OR cytokine*[Title/Abstract] OR immune[Title/Abstract]) AND (""1900""[Date - Publication] : ""2015""[Date - Publication])",English
