question_id,domain,question,edge_id,source,target,relation_type,supporting_titles,pmids,min_hop_count,max_path_score,rater_id,biologically_meaningful,relation_type_correct,notes
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E01,icariin,runx2,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,29904399;38045146,1,0.8,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states that icariin regulates differentiation through miR-153 targeting RUNX2, establishing a relationship, but it does not explicitly state that icariin 'upregulates' RUNX2."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E02,icariin,osteoporosis,ameliorates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,29904399;35292240,1,0.8,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Osteoporosis is not mentioned in the supporting titles."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E03,icariin,mir335,regulates,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.615,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly states that icariin regulates the abnormal expression of miRNA-335."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E04,icariin,mir153,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.,29904399,1,0.613,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title mentions icariin acts 'through microRNA-153' but does not specify that it 'upregulates' it."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E05,icariin,kdm6b,regulates,Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,38045146,1,0.607,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Jumonji domain-containing protein-3 is an alias for KDM6B, and the title states icariin acts through this axis, implying regulation."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E06,icariin,mitf,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.607,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] MITF is not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E07,icariin,mmp3,downregulates,miR-376c-3p mediates icariin's anti-osteoclastogenic effect by targeting Mmp3.,41484919,1,0.607,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states icariin's effect is mediated by miR-376c-3p targeting (which typically means downregulating) Mmp3."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E08,icariin,pten,inhibits,Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,35292240,1,0.607,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] PTEN is not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E09,icariin,rab27a,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.607,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] RAB27A is not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E10,icariin,vegfa,decreases,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.607,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] VEGFA is not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E11,icariin,onfh,prevents,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.607,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly mentions icariin indicating 'prevention of steroid-induced osteonecrosis of femoral head' (ONFH)."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E12,icariin,flavonoids,associated_with,Icariin stimulates osteogenesis and suppresses adipogenesis of human bone mesenchymal stem cells via miR-23a-mediated activation of the Wnt/beta-catenin signaling pathway.,33743412,1,0.512,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Flavonoids are not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E13,mir335,steroids,induces,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,2,0.492,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title mentions steroid-induced osteonecrosis and abnormal miRNA-335 expression, but does not imply miR-335 induces steroids."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E14,runx2,mir153,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.,29904399,2,0.49,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states miR-153 targets RUNX2, not that RUNX2 upregulates miR-153."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E15,mir153,runx2,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.,29904399,2,0.49,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states miR-153 targets RUNX2. MicroRNA targeting typically results in downregulation, making 'upregulates' incorrect."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E16,vegfa,steroids,increases,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,2,0.474,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] VEGFA is not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E17,onfh,steroids,causes,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,2,0.458,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title says 'steroid-induced osteonecrosis of femoral head', meaning steroids cause ONFH, not the reverse."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E18,mir335,onfh,associated_with,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,2,0.454,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title associates abnormal expression of miRNA-335 with steroid-induced osteonecrosis of the femoral head (ONFH)."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E19,onfh,mir335,associated_with,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,2,0.454,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title associates steroid-induced osteonecrosis of the femoral head (ONFH) with abnormal expression of miRNA-335."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E20,pten,osteoporosis,associated_with,Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,35292240,2,0.442,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Neither PTEN nor osteoporosis is mentioned in the supporting title."
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E01,curcumin,neoplasms,treats,Induction of apoptosis by curcumin and its implications for cancer therapy.; The versatile role of curcumin in cancer prevention and treatment: A focus on PI3K/AKT pathway.; Mechanisms of apoptosis modulation by curcumin: Implications for cancer therapy.,15810876;29693253;30623450,1,0.872,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles explicitly mention curcumin in the context of cancer therapy and treatment, supporting the 'treats' relationship with neoplasms."
