system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW003,1,38110547,0.55971829
netmedex_hybrid_rag,BW003,2,24415861,0.55203159
netmedex_hybrid_rag,BW003,3,37236193,0.52664259
netmedex_hybrid_rag,BW003,4,26202676,0.51657231
netmedex_hybrid_rag,BW003,5,37003609,0.50816091
netmedex_hybrid_rag,BW003,6,37640443,0.50703694
netmedex_hybrid_rag,BW003,7,37414422,0.50576173
netmedex_hybrid_rag,BW003,8,33653893,0.50140485
netmedex_hybrid_rag,BW003,9,39468026,0.49812404
netmedex_hybrid_rag,BW003,10,1281034,0.49447126
traditional_rag,BW003,1,38110547,0.55971829
traditional_rag,BW003,2,24415861,0.55203159
traditional_rag,BW003,3,37236193,0.52664259
traditional_rag,BW003,4,26202676,0.51657231
traditional_rag,BW003,5,37003609,0.50816091
traditional_rag,BW003,6,37640443,0.50703694
traditional_rag,BW003,7,37414422,0.50576173
traditional_rag,BW003,8,33653893,0.50140485
traditional_rag,BW003,9,39468026,0.49812404
traditional_rag,BW003,10,1281034,0.49447126
netmedex_hybrid_rag,BW005,1,24872026,0.54905956
netmedex_hybrid_rag,BW005,2,25428505,0.52833144
netmedex_hybrid_rag,BW005,3,28650338,0.51857714
netmedex_hybrid_rag,BW005,4,26843495,0.51325510
netmedex_hybrid_rag,BW005,5,36526399,0.50780315
netmedex_hybrid_rag,BW005,6,35107396,0.50284207
netmedex_hybrid_rag,BW005,7,32200442,0.49863758
netmedex_hybrid_rag,BW005,8,38774604,0.49747827
netmedex_hybrid_rag,BW005,9,37359545,0.49565711
netmedex_hybrid_rag,BW005,10,32363387,0.49491536
traditional_rag,BW005,1,24872026,0.54905956
traditional_rag,BW005,2,25428505,0.52833144
traditional_rag,BW005,3,28650338,0.51857714
traditional_rag,BW005,4,26843495,0.51325510
traditional_rag,BW005,5,36526399,0.50780315
traditional_rag,BW005,6,35107396,0.50284207
traditional_rag,BW005,7,32200442,0.49863758
traditional_rag,BW005,8,38774604,0.49747827
traditional_rag,BW005,9,37359545,0.49565711
traditional_rag,BW005,10,32363387,0.49491536
netmedex_hybrid_rag,BW007,1,37883591,0.66082328
netmedex_hybrid_rag,BW007,2,35853997,0.62745213
netmedex_hybrid_rag,BW007,3,40418230,0.60701417
netmedex_hybrid_rag,BW007,4,40660002,0.59450134
netmedex_hybrid_rag,BW007,5,39180980,0.58631868
netmedex_hybrid_rag,BW007,6,41037021,0.58048300
netmedex_hybrid_rag,BW007,7,39176657,0.56337340
netmedex_hybrid_rag,BW007,8,32246301,0.55714406
netmedex_hybrid_rag,BW007,9,40049100,0.55584444
netmedex_hybrid_rag,BW007,10,37030149,0.55569332
traditional_rag,BW007,1,37883591,0.66082328
traditional_rag,BW007,2,35853997,0.62745213
traditional_rag,BW007,3,40418230,0.60701417
traditional_rag,BW007,4,40660002,0.59450134
traditional_rag,BW007,5,39180980,0.58631868
traditional_rag,BW007,6,41037021,0.58048300
traditional_rag,BW007,7,39176657,0.56337340
traditional_rag,BW007,8,32246301,0.55714406
traditional_rag,BW007,9,40049100,0.55584444
traditional_rag,BW007,10,37030149,0.55569332
netmedex_hybrid_rag,BW009,1,27028833,0.36270803
netmedex_hybrid_rag,BW009,2,36607775,0.35981529
netmedex_hybrid_rag,BW009,3,38179304,0.35339206
netmedex_hybrid_rag,BW009,4,38277989,0.35146988
netmedex_hybrid_rag,BW009,5,41122918,0.35058307
netmedex_hybrid_rag,BW009,6,25812364,0.34862733
netmedex_hybrid_rag,BW009,7,40578033,0.34610027
netmedex_hybrid_rag,BW009,8,40486517,0.34592409
netmedex_hybrid_rag,BW009,9,37179821,0.34341835
netmedex_hybrid_rag,BW009,10,26024384,0.34298913
traditional_rag,BW009,1,27028833,0.36270803
traditional_rag,BW009,2,36607775,0.35981529
traditional_rag,BW009,3,38179304,0.35339206
traditional_rag,BW009,4,38277989,0.35146988
traditional_rag,BW009,5,41122918,0.35058307
traditional_rag,BW009,6,25812364,0.34862733
traditional_rag,BW009,7,40578033,0.34610027
traditional_rag,BW009,8,40486517,0.34592409
traditional_rag,BW009,9,37179821,0.34341835
traditional_rag,BW009,10,26024384,0.34298913
netmedex_hybrid_rag,BW010,1,30446387,0.57598106
netmedex_hybrid_rag,BW010,2,29302038,0.56644060
netmedex_hybrid_rag,BW010,3,33670115,0.53595952
netmedex_hybrid_rag,BW010,4,33651651,0.51842505
netmedex_hybrid_rag,BW010,5,38218095,0.51407406
netmedex_hybrid_rag,BW010,6,37224131,0.50744360
netmedex_hybrid_rag,BW010,7,38321650,0.50622727
netmedex_hybrid_rag,BW010,8,36421397,0.48436886
netmedex_hybrid_rag,BW010,9,33968085,0.48417177
netmedex_hybrid_rag,BW010,10,40013938,0.47877953
traditional_rag,BW010,1,30446387,0.57598106
traditional_rag,BW010,2,29302038,0.56644060
traditional_rag,BW010,3,33670115,0.53595952
traditional_rag,BW010,4,33651651,0.51842505
traditional_rag,BW010,5,38218095,0.51407406
traditional_rag,BW010,6,37224131,0.50744360
traditional_rag,BW010,7,38321650,0.50622727
traditional_rag,BW010,8,36421397,0.48436886
traditional_rag,BW010,9,33968085,0.48417177
traditional_rag,BW010,10,40013938,0.47877953
