system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q001,1,29904399,1.02907332
netmedex_hybrid_rag,Q001,2,38045146,0.99768045
netmedex_hybrid_rag,Q001,3,41484919,0.99500895
netmedex_hybrid_rag,Q001,4,35292240,0.97142727
netmedex_hybrid_rag,Q001,5,29500883,0.96712085
netmedex_hybrid_rag,Q001,6,33743412,0.91348228
netmedex_hybrid_rag,Q001,7,32911026,0.86291005
netmedex_hybrid_rag,Q001,8,39588260,0.84912090
netmedex_hybrid_rag,Q001,9,27492554,0.69073327
traditional_rag,Q001,1,27492554,0.69073327
traditional_rag,Q001,2,29904399,0.68604888
traditional_rag,Q001,3,38045146,0.66512030
traditional_rag,Q001,4,41484919,0.66333930
traditional_rag,Q001,5,35292240,0.64761818
traditional_rag,Q001,6,29500883,0.64474723
traditional_rag,Q001,7,33743412,0.60898819
traditional_rag,Q001,8,32911026,0.57527336
traditional_rag,Q001,9,39588260,0.56608060
netmedex_hybrid_rag,Q002,1,23605904,1.03172879
netmedex_hybrid_rag,Q002,2,23223004,1.01016593
netmedex_hybrid_rag,Q002,3,33434305,1.00924857
netmedex_hybrid_rag,Q002,4,33255179,1.00453469
netmedex_hybrid_rag,Q002,5,35831436,0.97181140
netmedex_hybrid_rag,Q002,6,41369394,0.96693279
netmedex_hybrid_rag,Q002,7,36835184,0.95480920
netmedex_hybrid_rag,Q002,8,35285389,0.95009540
netmedex_hybrid_rag,Q002,9,37215980,0.85686505
netmedex_hybrid_rag,Q002,10,34502371,0.82385411
traditional_rag,Q002,1,23605904,0.68781920
traditional_rag,Q002,2,23223004,0.67344396
traditional_rag,Q002,3,33434305,0.67283238
traditional_rag,Q002,4,33255179,0.66968979
traditional_rag,Q002,5,27904930,0.65499980
traditional_rag,Q002,6,34311172,0.65211147
traditional_rag,Q002,7,35831436,0.64787427
traditional_rag,Q002,8,41369394,0.64462186
traditional_rag,Q002,9,36835184,0.63653947
traditional_rag,Q002,10,35285389,0.63339694
netmedex_hybrid_rag,Q003,1,32437299,0.91847273
netmedex_hybrid_rag,Q003,2,34536157,0.85557555
netmedex_hybrid_rag,Q003,3,39749338,0.77193279
netmedex_hybrid_rag,Q003,4,39471690,0.76100973
netmedex_hybrid_rag,Q003,5,33439300,0.76040813
netmedex_hybrid_rag,Q003,6,34847640,0.72842084
netmedex_hybrid_rag,Q003,7,39593091,0.72664535
netmedex_hybrid_rag,Q003,8,31426593,0.65864230
netmedex_hybrid_rag,Q003,9,12172480,0.60254379
netmedex_hybrid_rag,Q003,10,18094066,0.55007588
traditional_rag,Q003,1,32437299,0.61231515
traditional_rag,Q003,2,12172480,0.60254379
traditional_rag,Q003,3,34536157,0.57038370
traditional_rag,Q003,4,18094066,0.55007588
traditional_rag,Q003,5,24003928,0.52391532
traditional_rag,Q003,6,17053832,0.52330605
traditional_rag,Q003,7,39749338,0.51462186
traditional_rag,Q003,8,39471690,0.50733982
traditional_rag,Q003,9,33439300,0.50693875
traditional_rag,Q003,10,37895163,0.50559572
netmedex_hybrid_rag,Q004,1,15810876,0.94256434
netmedex_hybrid_rag,Q004,2,30623450,0.89837991
netmedex_hybrid_rag,Q004,3,38699926,0.88814021
netmedex_hybrid_rag,Q004,4,31590362,0.88342599
netmedex_hybrid_rag,Q004,5,38031951,0.88177095
netmedex_hybrid_rag,Q004,6,32519340,0.85222358
netmedex_hybrid_rag,Q004,7,29693253,0.84435428
netmedex_hybrid_rag,Q004,8,38166505,0.80099815
netmedex_hybrid_rag,Q004,9,30725357,0.78832852
netmedex_hybrid_rag,Q004,10,41109942,0.78624379
traditional_rag,Q004,1,15810876,0.62837622
traditional_rag,Q004,2,30623450,0.59891994
traditional_rag,Q004,3,38699926,0.59209347
traditional_rag,Q004,4,31590362,0.58895066
traditional_rag,Q004,5,38031951,0.58784730
traditional_rag,Q004,6,32519340,0.56814905
traditional_rag,Q004,7,29693253,0.56290285
traditional_rag,Q004,8,38166505,0.53399877
traditional_rag,Q004,9,30725357,0.52555235
traditional_rag,Q004,10,41109942,0.52416253
netmedex_hybrid_rag,Q005,1,22697066,0.97779049
netmedex_hybrid_rag,Q005,2,27766447,0.94271966
netmedex_hybrid_rag,Q005,3,35522844,0.93831954
netmedex_hybrid_rag,Q005,4,33476985,0.89707064
netmedex_hybrid_rag,Q005,5,40023293,0.88260478
netmedex_hybrid_rag,Q005,6,37597424,0.84885296
netmedex_hybrid_rag,Q005,7,35660451,0.80630681
netmedex_hybrid_rag,Q005,8,35269827,0.75623031
netmedex_hybrid_rag,Q005,9,37227619,0.75444346
netmedex_hybrid_rag,Q005,10,40902587,0.71223138
traditional_rag,Q005,1,22697066,0.65186032
traditional_rag,Q005,2,27766447,0.62847977
traditional_rag,Q005,3,35522844,0.62554636
traditional_rag,Q005,4,40864415,0.62222388
