question_id,domain,question,pubmed_query,language
Q001,osteoporosis,"How may icariin influence osteoblast differentiation through miRNA-related mechanisms?","icariin AND (osteoblast OR osteogenesis) AND (microRNA OR miRNA)",English
Q002,osteoporosis,"Which miRNAs are most frequently linked to osteoporosis-related osteogenesis in the retrieved literature?","osteoporosis AND (osteogenesis OR osteoblast) AND (microRNA OR miRNA)",English
Q003,metabolic disease,"What evidence links insulin resistance to inflammatory cytokines in human studies?","insulin resistance AND inflammatory cytokines AND humans",English
Q004,cancer,"Which genes mediate a possible 2-hop path between curcumin and apoptosis?","curcumin AND apoptosis AND cancer AND (gene OR pathway)",English
Q005,neurodegeneration,"Does oxidative stress directly support a mechanistic link between amyloid beta and mitochondrial dysfunction?","amyloid beta AND oxidative stress AND mitochondrial dysfunction",English
Q006,cardiovascular,"What PubMed evidence supports statin effects on endothelial dysfunction?","statin AND endothelial dysfunction AND (eNOS OR nitric oxide OR flow-mediated dilation)",English
Q007,immunology,"Which immune cell types are associated with IL-17 in autoimmune disease networks?","IL-17 AND autoimmune disease AND (Th17 OR gamma-delta T cells OR innate lymphoid cells)",English
Q008,rare disease,"What candidate mechanisms connect CFTR variants to intestinal inflammation?","CFTR AND intestinal inflammation AND (NF-kB OR dysbiosis OR cytokines)",English
Q009,pharmacology,"Which chemicals have evidence for modulating the JAK/STAT pathway in skeletal muscle contexts?","JAK STAT AND skeletal muscle AND (inhibitor OR compound OR chemical)",English
Q010,multilingual,"請找出與骨質疏鬆、miRNA、天然物治療相關的可能機制。","osteoporosis AND microRNA AND (natural product OR phytochemical) AND osteogenesis",Traditional Chinese
