hidden_claim_id,question_id,source_system,path_signatures
Q008-HC01,Q008,netmedex_hybrid_rag,7fa8268b35f37113
Q008-HC02,Q008,netmedex_hybrid_rag,7fa8268b35f37113
Q008-HC03,Q008,netmedex_hybrid_rag,7499c73e4b9a264d
Q008-HC04,Q008,netmedex_hybrid_rag,7499c73e4b9a264d
Q008-HC05,Q008,netmedex_hybrid_rag,7fa8268b35f37113
Q011-HC01,Q011,netmedex_hybrid_rag,b38db92d4efc9078
Q011-HC02,Q011,netmedex_hybrid_rag,866b2c97d551755a
Q011-HC03,Q011,netmedex_hybrid_rag,9499e204398b4adb
Q011-HC04,Q011,netmedex_hybrid_rag,72d7e265ca2f5cbd
Q011-HC05,Q011,netmedex_hybrid_rag,b6da211713ba794e;fddc612e5659d356
Q012-HC01,Q012,netmedex_hybrid_rag,fc0dffa1b6992ef7
Q012-HC02,Q012,netmedex_hybrid_rag,da8bd76246ded51a
Q019-HC01,Q019,netmedex_hybrid_rag,4266640bbf6cfec9
Q019-HC02,Q019,netmedex_hybrid_rag,4266640bbf6cfec9
Q019-HC03,Q019,netmedex_hybrid_rag,4266640bbf6cfec9
Q019-HC04,Q019,netmedex_hybrid_rag,4266640bbf6cfec9
Q019-HC05,Q019,netmedex_hybrid_rag,332aa2f850dd44c2
Q037-HC01,Q037,netmedex_hybrid_rag,a90baa2fe4c6b0e2
Q037-HC02,Q037,netmedex_hybrid_rag,d81794cf66d3039a
Q037-HC03,Q037,netmedex_hybrid_rag,d81794cf66d3039a
Q037-HC04,Q037,netmedex_hybrid_rag,31ad1609a196df2b
Q037-HC05,Q037,netmedex_hybrid_rag,73a6a3c63d02cb48
