answer_id,question_id,system
PP001-A,PP001,traditional_text_rag
PP001-B,PP001,structured_all_path_dv2
PP001-C,PP001,incremental_routed_dv3
PP002-A,PP002,structured_all_path_dv2
PP002-B,PP002,traditional_text_rag
PP002-C,PP002,incremental_routed_dv3
PP003-A,PP003,structured_all_path_dv2
PP003-B,PP003,traditional_text_rag
PP003-C,PP003,incremental_routed_dv3
PP004-A,PP004,traditional_text_rag
PP004-B,PP004,structured_all_path_dv2
PP004-C,PP004,incremental_routed_dv3
PP005-A,PP005,structured_all_path_dv2
PP005-B,PP005,incremental_routed_dv3
PP005-C,PP005,traditional_text_rag
PP006-A,PP006,incremental_routed_dv3
PP006-B,PP006,structured_all_path_dv2
PP006-C,PP006,traditional_text_rag
PP007-A,PP007,structured_all_path_dv2
PP007-B,PP007,incremental_routed_dv3
PP007-C,PP007,traditional_text_rag
PP008-A,PP008,traditional_text_rag
PP008-B,PP008,structured_all_path_dv2
PP008-C,PP008,incremental_routed_dv3
PP009-A,PP009,structured_all_path_dv2
PP009-B,PP009,traditional_text_rag
PP009-C,PP009,incremental_routed_dv3
PP010-A,PP010,structured_all_path_dv2
PP010-B,PP010,incremental_routed_dv3
PP010-C,PP010,traditional_text_rag
PP011-A,PP011,structured_all_path_dv2
PP011-B,PP011,incremental_routed_dv3
PP011-C,PP011,traditional_text_rag
PP012-A,PP012,traditional_text_rag
PP012-B,PP012,structured_all_path_dv2
PP012-C,PP012,incremental_routed_dv3
PP013-A,PP013,traditional_text_rag
PP013-B,PP013,incremental_routed_dv3
PP013-C,PP013,structured_all_path_dv2
PP014-A,PP014,structured_all_path_dv2
PP014-B,PP014,traditional_text_rag
PP014-C,PP014,incremental_routed_dv3
PP015-A,PP015,incremental_routed_dv3
PP015-B,PP015,traditional_text_rag
PP015-C,PP015,structured_all_path_dv2
PP016-A,PP016,traditional_text_rag
PP016-B,PP016,incremental_routed_dv3
PP016-C,PP016,structured_all_path_dv2
PP017-A,PP017,incremental_routed_dv3
PP017-B,PP017,traditional_text_rag
PP017-C,PP017,structured_all_path_dv2
PP018-A,PP018,traditional_text_rag
PP018-B,PP018,structured_all_path_dv2
PP018-C,PP018,incremental_routed_dv3
PP019-A,PP019,incremental_routed_dv3
PP019-B,PP019,structured_all_path_dv2
PP019-C,PP019,traditional_text_rag
PP020-A,PP020,incremental_routed_dv3
PP020-B,PP020,traditional_text_rag
PP020-C,PP020,structured_all_path_dv2
