question_id,pmid,relevance
Q001,35292240,2
Q001,29904399,2
Q001,38045146,2
Q001,39588260,2
Q001,24956021,1
Q001,34854397,1
Q001,41484919,1
Q001,29500883,2
Q001,33339654,1
Q001,32911026,1
Q001,33743412,2
Q001,27492554,2
Q001,35185286,0
Q002,37215980,2
Q002,33434305,2
Q002,40713676,2
Q002,33426313,1
Q002,25804101,1
Q002,27904930,1
Q002,20980664,1
Q002,35285389,2
Q002,28240263,1
Q002,33255179,1
Q002,36835184,1
Q002,34502371,1
Q002,33953168,2
Q002,34854397,2
Q002,41369394,1
Q002,35909545,2
Q002,36319624,0
Q002,23223004,2
Q002,39343927,2
Q002,34311172,1
Q002,35831436,2
Q002,23605904,1
Q002,38106447,2
Q003,32437299,1
Q003,34536157,1
Q003,18094066,1
Q003,24003928,1
Q003,37895163,1
Q003,39749338,1
Q003,33439300,1
Q003,17053832,1
Q003,16823477,1
Q003,29241747,1
Q003,39471690,1
Q003,31426593,1
Q003,11238501,2
Q003,11287357,2
Q003,34847640,0
Q003,39593091,2
Q003,31577826,1
Q003,19794059,2
Q003,25341798,2
Q003,12172480,1
Q003,18489581,2
Q003,33998291,2
Q004,29693253,1
Q004,31590362,1
Q004,31223280,1
Q004,38166505,2
Q004,35722665,1
Q004,30623450,2
Q004,37776274,1
Q004,17916240,2
Q004,39219410,2
Q004,41109942,1
Q004,15810876,2
Q004,18755156,2
Q004,38269517,0
Q004,32519340,1
Q004,38699926,1
Q004,38031951,1
Q004,30725357,1
Q004,41252742,2
Q005,33476985,1
Q005,21547208,1
Q005,18218341,1
Q005,27809706,0
Q005,40023293,1
Q005,32967303,1
Q005,37956598,1
Q005,22697066,1
Q005,37597424,2
Q005,35660451,2
Q005,40902587,1
Q005,40864415,1
Q005,37227619,0
Q005,35522844,1
Q005,27766447,1
Q005,9848093,2
Q005,40931065,1
Q005,35269827,0
Q006,15111011,1
Q006,18695354,1
Q006,10569303,1
Q006,39684569,0
Q006,22112351,1
Q006,22710021,2
Q006,14664903,1
Q006,21890489,1
Q006,19075102,2
Q006,15815580,1
Q006,15320839,0
Q006,17584107,2
Q006,18808324,2
Q006,28057795,1
Q006,38385489,2
Q006,17430168,1
Q006,24928320,1
Q006,35970408,2
Q006,15861315,2
Q007,30502718,2
Q007,27576555,2
Q007,30891627,2
Q007,30133701,2
Q007,35872102,2
Q007,25130295,1
Q007,29922283,2
Q007,22096355,2
Q007,28148916,1
Q007,31295952,2
Q007,31866067,2
Q007,25145755,2
Q007,25467639,1
Q007,31931372,2
