question_id,domain,question,pubmed_query,language
Q001,osteoporosis,"How may icariin influence osteoblast differentiation through miRNA-related mechanisms?","icariin AND (osteoblast OR osteogenesis) AND (microRNA OR miRNA)",English
Q002,osteoporosis,"Which miRNAs are most frequently linked to osteoporosis-related osteogenesis in the retrieved literature?","osteoporosis AND (osteogenesis OR osteoblast) AND (microRNA OR miRNA)",English
Q003,metabolic disease,"What evidence links insulin resistance to inflammatory cytokines in human studies?","insulin resistance AND inflammatory cytokines AND humans",English
Q004,cancer,"Which genes mediate a possible 2-hop path between curcumin and apoptosis?","curcumin AND apoptosis AND cancer AND (gene OR pathway)",English
Q005,neurodegeneration,"Does oxidative stress directly support a mechanistic link between amyloid beta and mitochondrial dysfunction?","amyloid beta AND oxidative stress AND mitochondrial dysfunction",English
Q006,cardiovascular,"What PubMed evidence supports statin effects on endothelial dysfunction?","statin AND endothelial dysfunction AND (eNOS OR nitric oxide OR flow-mediated dilation)",English
Q007,immunology,"Which immune cell types are associated with IL-17 in autoimmune disease networks?","IL-17 AND autoimmune disease AND (Th17 OR gamma-delta T cells OR innate lymphoid cells)",English
Q008,rare disease,"What candidate mechanisms connect CFTR variants to intestinal inflammation?","CFTR AND intestinal inflammation AND (NF-kB OR dysbiosis OR cytokines)",English
Q009,pharmacology,"Which chemicals have evidence for modulating the JAK/STAT pathway in skeletal muscle contexts?","JAK STAT AND skeletal muscle AND (inhibitor OR compound OR chemical)",English
Q010,multilingual,"請找出與骨質疏鬆、miRNA、天然物治療相關的可能機制。","osteoporosis AND microRNA AND (natural product OR phytochemical) AND osteogenesis",Traditional Chinese
Q011,oncology,"What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?","metformin AMPK mTOR cancer apoptosis proliferation",English
Q012,neuroinflammation,"Which cytokines mediate microglial activation in Alzheimer's disease models?","microglia Alzheimer's disease IL-1beta TNF-alpha IL-6 neuroinflammation",English
Q013,cardiometabolic,"How does PCSK9 inhibition affect inflammatory markers and endothelial function?","PCSK9 inhibition inflammation endothelial function CRP evolocumab alirocumab",English
Q014,autoimmune disease,"Which JAK inhibitors have evidence for modulating IL-6 or interferon signaling in rheumatoid arthritis?","rheumatoid arthritis JAK inhibitor tofacitinib baricitinib IL-6 interferon",English
Q015,infectious disease,"What host genes form a plausible 2-hop path between SARS-CoV-2 infection and coagulation abnormalities?","SARS-CoV-2 coagulation endothelial injury tissue factor complement cytokines",English
Q016,rare disease,"What pathways connect SMN deficiency to mitochondrial dysfunction in spinal muscular atrophy?","SMN1 spinal muscular atrophy mitochondria oxidative stress motor neuron",English
Q017,pharmacogenomics,"Which genes are associated with clopidogrel response or resistance?","clopidogrel CYP2C19 ABCB1 PON1 platelet reactivity",English
Q018,immuno-oncology,"What mechanisms link PD-1 blockade to immune-related adverse events?","PD-1 immune checkpoint inhibitor adverse events T cells autoimmunity cytokines",English
Q019,metabolism,"Which adipokines connect obesity to nonalcoholic fatty liver disease?","obesity NAFLD adiponectin leptin resistin inflammation",English
Q020,osteoporosis,"Which Wnt signaling components are linked to osteoblast differentiation and osteoporosis?","Wnt LRP5 sclerostin beta-catenin osteoblast osteoporosis",English
Q021,nephrology,"What evidence links SGLT2 inhibitors to reduced kidney inflammation or fibrosis?","SGLT2 inhibitor empagliflozin dapagliflozin kidney inflammation fibrosis",English
Q022,cardiology,"Which inflammatory pathways connect atrial fibrillation and fibrosis?","atrial fibrillation fibrosis TGF-beta IL-6 NLRP3 inflammation",English
Q023,cancer biology,"What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?","hypoxia HIF-1alpha epithelial mesenchymal transition cancer metastasis",English
