system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q001,1,27492554,0.69073327
netmedex_hybrid_rag,Q001,2,29904399,0.68604888
netmedex_hybrid_rag,Q001,3,38045146,0.66512030
netmedex_hybrid_rag,Q001,4,41484919,0.66333930
netmedex_hybrid_rag,Q001,5,35292240,0.64761818
netmedex_hybrid_rag,Q001,6,29500883,0.64474723
netmedex_hybrid_rag,Q001,7,33743412,0.60898819
netmedex_hybrid_rag,Q001,8,32911026,0.57527336
netmedex_hybrid_rag,Q001,9,39588260,0.56608060
traditional_rag,Q001,1,27492554,0.69073327
traditional_rag,Q001,2,29904399,0.68604888
traditional_rag,Q001,3,38045146,0.66512030
traditional_rag,Q001,4,41484919,0.66333930
traditional_rag,Q001,5,35292240,0.64761818
traditional_rag,Q001,6,29500883,0.64474723
traditional_rag,Q001,7,33743412,0.60898819
traditional_rag,Q001,8,32911026,0.57527336
traditional_rag,Q001,9,39588260,0.56608060
netmedex_hybrid_rag,Q003,1,32437299,0.61231515
netmedex_hybrid_rag,Q003,2,12172480,0.60254379
netmedex_hybrid_rag,Q003,3,34536157,0.57038370
netmedex_hybrid_rag,Q003,4,18094066,0.55007588
netmedex_hybrid_rag,Q003,5,24003928,0.52391532
netmedex_hybrid_rag,Q003,6,17053832,0.52330605
netmedex_hybrid_rag,Q003,7,39749338,0.51462186
netmedex_hybrid_rag,Q003,8,39471690,0.50733982
netmedex_hybrid_rag,Q003,9,33439300,0.50693875
netmedex_hybrid_rag,Q003,10,37895163,0.50559572
traditional_rag,Q003,1,32437299,0.61231515
traditional_rag,Q003,2,12172480,0.60254379
traditional_rag,Q003,3,34536157,0.57038370
traditional_rag,Q003,4,18094066,0.55007588
traditional_rag,Q003,5,24003928,0.52391532
traditional_rag,Q003,6,17053832,0.52330605
traditional_rag,Q003,7,39749338,0.51462186
traditional_rag,Q003,8,39471690,0.50733982
traditional_rag,Q003,9,33439300,0.50693875
traditional_rag,Q003,10,37895163,0.50559572
