system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW008,1,27314335,0.57166201
netmedex_hybrid_rag,BW008,2,32664401,0.56008323
netmedex_hybrid_rag,BW008,3,38962270,0.54818451
netmedex_hybrid_rag,BW008,4,34542582,0.54573293
netmedex_hybrid_rag,BW008,5,34021034,0.53146350
netmedex_hybrid_rag,BW008,6,39599784,0.52435736
netmedex_hybrid_rag,BW008,7,41997336,0.52300660
netmedex_hybrid_rag,BW008,8,37879404,0.52297315
netmedex_hybrid_rag,BW008,9,40024530,0.51777871
netmedex_hybrid_rag,BW008,10,30842274,0.51094109
traditional_rag,BW008,1,27314335,0.57166201
traditional_rag,BW008,2,32664401,0.56008323
traditional_rag,BW008,3,38962270,0.54818451
traditional_rag,BW008,4,34542582,0.54573293
traditional_rag,BW008,5,34021034,0.53146350
traditional_rag,BW008,6,39599784,0.52435736
traditional_rag,BW008,7,41997336,0.52300660
traditional_rag,BW008,8,37879404,0.52297315
traditional_rag,BW008,9,40024530,0.51777871
traditional_rag,BW008,10,30842274,0.51094109
