system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW003,1,24415861,0.55203159
netmedex_hybrid_rag,BW003,2,27704174,0.54094580
netmedex_hybrid_rag,BW003,3,22331082,0.53655267
netmedex_hybrid_rag,BW003,4,32101703,0.52929697
netmedex_hybrid_rag,BW003,5,37236193,0.52664259
netmedex_hybrid_rag,BW003,6,34934215,0.51016090
netmedex_hybrid_rag,BW003,7,31992345,0.50741521
netmedex_hybrid_rag,BW003,8,22903521,0.50322809
netmedex_hybrid_rag,BW003,9,36266104,0.50026107
netmedex_hybrid_rag,BW003,10,17406617,0.49861186
traditional_rag,BW003,1,24415861,0.55203159
traditional_rag,BW003,2,27704174,0.54094580
traditional_rag,BW003,3,22331082,0.53655267
traditional_rag,BW003,4,32101703,0.52929697
traditional_rag,BW003,5,37236193,0.52664259
traditional_rag,BW003,6,34934215,0.51016090
traditional_rag,BW003,7,31992345,0.50741521
traditional_rag,BW003,8,22903521,0.50322809
traditional_rag,BW003,9,36266104,0.50026107
traditional_rag,BW003,10,17406617,0.49861186
netmedex_hybrid_rag,BW006,1,30165972,0.52841254
netmedex_hybrid_rag,BW006,2,39034316,0.48901589
netmedex_hybrid_rag,BW006,3,11834588,0.48839579
netmedex_hybrid_rag,BW006,4,37032509,0.48428260
netmedex_hybrid_rag,BW006,5,41238533,0.48218909
netmedex_hybrid_rag,BW006,6,32508664,0.48196090
netmedex_hybrid_rag,BW006,7,40896584,0.48158944
netmedex_hybrid_rag,BW006,8,34078746,0.48139222
netmedex_hybrid_rag,BW006,9,41124255,0.47730942
netmedex_hybrid_rag,BW006,10,29894670,0.47319877
traditional_rag,BW006,1,30165972,0.52841254
traditional_rag,BW006,2,39034316,0.48901589
traditional_rag,BW006,3,11834588,0.48839579
traditional_rag,BW006,4,37032509,0.48428260
traditional_rag,BW006,5,41238533,0.48218909
traditional_rag,BW006,6,32508664,0.48196090
traditional_rag,BW006,7,40896584,0.48158944
traditional_rag,BW006,8,34078746,0.48139222
traditional_rag,BW006,9,41124255,0.47730942
traditional_rag,BW006,10,29894670,0.47319877
