question_id,pubtator_fetch,semantic_graph,vector_index,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,2.8930604457855225e-05,3.2079139798879623,11.628880940377712,9.08350982517004,12.789078488945961,37.204933777451515,0,0,0,[],9,9055,4927,13982
Q002,0.0,0.0001225695013999939,1.7813237458467484,7.528615690767765,7.20374222099781,8.307479217648506,25.468019850552082,0,0,0,[],15,6851,3277,10128
Q003,0.0,2.7738511562347412e-05,1.9664038568735123,6.496557861566544,6.802337810397148,11.804325751960278,27.588812485337257,0,0,0,[],15,6543,3051,9594
Q004,0.0,0.0001415163278579712,1.87467859685421,7.419527024030685,7.681280381977558,9.586894668638706,27.083461545407772,0,0,0,[],15,7323,3333,10656
Q005,0.0,6.031244993209839e-05,1.7936589419841766,4.417971536517143,4.546965770423412,5.142052538692951,16.47285957634449,0,0,0,[],15,6533,1653,8186
Q006,0.0,4.9836933612823486e-05,1.8075293526053429,6.020011305809021,6.26467377692461,11.695787288248539,26.301488518714905,0,0,0,[],15,7006,3064,10070
Q007,0.0,4.7013163566589355e-05,2.131090894341469,7.230384588241577,5.039776057004929,5.914645664393902,20.797535315155983,0,0,0,[],15,6151,2309,8460
Q008,0.0,4.9598515033721924e-05,1.7993587478995323,9.292816027998924,9.388214245438576,14.824884586036205,35.94310110807419,0,0,0,[],15,8809,4234,13043
Q009,0.0,5.941838026046753e-05,1.5045966356992722,9.642147965729237,7.359724685549736,18.457518629729748,37.42366695404053,0,0,0,[],15,8200,5018,13218
Q010,0.0,5.020946264266968e-05,1.9557572081685066,17.533250346779823,18.22850524634123,27.200873374938965,65.56500339508057,0,0,0,[],12,10481,10191,20672
