edge_id,question_id,system,judge,rater_id,entity_valid,relation_exists,relation_type_correct,direction_correct,evidence_support,confidence,notes
Q001-E01,Q001,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,"Both abstracts (PMID 29904399, 38045146) provide direct evidence that icariin upregulates RUNX2 expression in osteoblasts via miRNA-related mechanisms (miR-153 and mmu-miR-138-5p pathways). The direction and relation type are correct and well-supported."
Q001-E05,Q001,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,"PMID 38045146 provides clear evidence that icariin upregulates JMJD3 (KDM6B) expression via a circRNA/miRNA axis in osteogenic differentiation. The relation, direction, and type are correct and directly supported."
Q004-E15,Q004,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,0,1,0,1,
Q008-E03,Q008,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,
Q008-E05,Q008,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,2,
Q011-E07,Q011,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,
Q011-E08,Q011,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,
Q018-E01,Q018,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,2,
Q018-E02,Q018,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,2,
Q023-E02,Q023,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,
Q023-E07,Q023,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,2,
Q025-E04,Q025,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,
Q025-E05,Q025,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,
Q029-E07,Q029,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,
Q029-E17,Q029,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,0,1,2,
Q037-E03,Q037,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,0,2,
Q037-E05,Q037,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,0,0,0,2,
Q048-E01,Q048,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,0,2,
Q048-E05,Q048,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,0,2,
Q015-E01,Q015,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,
Q015-E03,Q015,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,
Q016-E02,Q016,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,0,0,0,0,3,
Q016-E03,Q016,netmedex_hybrid_rag,openai_gpt41,openai:gpt-4.1,1,1,1,1,1,3,
Q001-E01,Q001,netmedex_hybrid_rag,claude_haiku,anthropic:claude-haiku-4-5-20251001,1,1,1,1,1,3,Both PMIDs confirm icariin upregulates RUNX2 expression through miRNA pathways (miR-153 and miR-138-5p). Western blot and qPCR data directly support upregulation.
