question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,2.018362283706665e-05,3.5212140530347824,0.00016946345567703247,49.872784309089184,,,53.84793899953365,65,90,2,"['29500883', '38045146']",9,4637,1146,5783
PP002,0.0,0.00011121481657028198,1.7726507186889648,5.2072107791900635e-05,22.932612001895905,,,25.172974690794945,89,126,3,"['15810876', '30623450', '32519340']",15,3673,799,4472
PP003,0.0,4.242360591888428e-05,1.7870053797960281,1.4089047908782959e-05,22.93962661921978,,,25.280388616025448,33,42,1,['33476985'],15,3373,816,4189
PP004,0.0,2.378225326538086e-05,1.8478988111019135,1.7762184143066406e-05,25.732559002935886,,,28.160988681018353,35,41,1,['27576555'],15,3184,949,4133
PP005,0.0,3.498047590255737e-05,1.9077854081988335,2.5823712348937988e-05,23.54627451300621,,,25.964400112628937,123,208,1,['26277279'],15,4002,823,4825
PP006,0.0,6.463378667831421e-05,1.5722115337848663,5.50001859664917e-05,25.10280304402113,,,27.22460025548935,65,90,2,"['29500883', '38045146']",9,4643,853,5496
PP007,0.0,3.949552774429321e-05,1.7327309399843216,4.932284355163574e-05,19.45278037339449,,,21.680645659565926,89,126,3,"['15810876', '30623450', '32519340']",15,3820,653,4473
PP008,0.0,2.326071262359619e-05,3.079891875386238,22.40308676660061,23.97806815057993,,,50.273373655974865,209,297,1,"['21320797', '38474387']",26,3524,854,4378
PP009,0.0,9.577721357345581e-05,1.6866999045014381,6.443522058427334,30.668850786983967,,,39.27910586446524,105,163,1,"['23788646', '28155088', '37546931']",15,4113,1099,5212
PP010,0.0,6.865710020065308e-05,2.021777555346489,4.365779347717762,26.519415460526943,,,33.40343551337719,105,163,2,"['37546931', '38554847']",15,4321,921,5242
PP011,0.0,2.438575029373169e-05,1.7469251826405525,6.348604939877987,30.96413180977106,,,39.70616868138313,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,3550,1136,4686
PP012,0.0,2.4177134037017822e-05,1.5453783869743347,5.38560026884079,32.55095931887627,,,40.18449955433607,59,126,1,"['29052129', '30611768', '38064540']",11,3472,1200,4672
PP013,0.0,7.635354995727539e-05,1.6017760038375854,5.534388981759548,24.709961585700512,,,32.32966101169586,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,3561,882,4443
PP014,0.0,2.3499131202697754e-05,2.829646483063698,5.311546258628368,28.368206776678562,,,36.99470705538988,166,267,1,"['29302038', '35430804']",26,3841,1017,4858
PP015,0.0,3.749877214431763e-05,3.6722160279750824,6.04621522128582,23.242573641240597,,,33.48361647129059,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,2863,848,3711
PP016,0.0,2.3730099201202393e-05,2.9205895587801933,6.537893570959568,30.94618336111307,,,41.11292899399996,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,4151,1118,5269
PP017,0.0,2.399832010269165e-05,1.8822001740336418,4.714794263243675,32.23463048785925,,,39.36881955713034,60,104,1,"['39411648', '41997336']",15,3604,1181,4785
PP018,0.0,2.446770668029785e-05,3.068216487765312,5.875786483287811,32.914134472608566,,,42.4186267927289,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3845,1200,5045
PP019,0.0,2.5346875190734863e-05,3.142413817346096,6.73021062463522,23.137389339506626,,,33.64453732967377,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3674,809,4483
PP020,0.0,3.820657730102539e-05,3.492883898317814,6.193824544548988,32.876919493079185,,,43.25470257550478,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3849,1200,5049
