question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.792609691619873e-05,3.000680834054947,0.00013536959886550903,0.0,,,3.511934444308281,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,2.30446457862854e-05,1.4236705303192139,4.610419273376465e-05,0.0,,,1.878529466688633,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,1.6398727893829346e-05,1.283539056777954,1.897662878036499e-05,0.0,,,2.015331655740738,33,42,1,['33476985'],15,,,
PP004,0.0,2.602487802505493e-05,1.4201224595308304,2.308189868927002e-05,0.0,,,1.9027203395962715,35,41,1,['27576555'],15,,,
PP005,0.0,4.293769598007202e-05,1.4704969972372055,1.2390315532684326e-05,0.0,,,1.9737679362297058,123,208,1,['26277279'],15,,,
PP006,0.0,1.802295446395874e-05,1.1131086722016335,5.538761615753174e-05,0.0,,,1.5890760347247124,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,2.6635825634002686e-05,1.6686621233820915,9.213387966156006e-05,0.0,,,2.146656982600689,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,5.679577589035034e-05,1.8772962614893913,0.0001542791724205017,0.0,,,2.3424984365701675,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,1.9297003746032715e-05,1.4440473020076752,0.00016250461339950562,0.0,,,1.9621714800596237,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,1.582503318786621e-05,1.4043819084763527,0.00015020370483398438,0.0,,,1.9432567358016968,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,5.45009970664978e-05,1.1794415414333344,0.00023644417524337769,0.0,,,1.7006600201129913,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,5.128979682922363e-05,1.38052536547184,0.00022799521684646606,0.0,,,1.8501837775111198,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,3.131479024887085e-05,1.0326374024152756,0.0002899840474128723,0.0,,,1.5290540605783463,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,4.8026442527770996e-05,2.0641501918435097,0.00020657479763031006,26.550523452460766,,,29.26995763927698,166,267,1,"['29302038', '35430804']",26,4175,911,5086
PP015,0.0,3.8295984268188477e-05,3.2546011805534363,0.00016269832849502563,0.0,,,3.801663175225258,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP016,0.0,5.7131052017211914e-05,2.375581793487072,0.00011103600263595581,0.0,,,3.0801789462566376,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP017,0.0,1.8149614334106445e-05,1.5440703853964806,0.00017326325178146362,0.0,,,2.0921279042959213,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,4.462152719497681e-05,2.7141169756650925,0.0005293712019920349,67.34797698259354,,,70.75415813922882,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,7192,2620,9812
PP019,0.0,8.460134267807007e-05,3.5381958037614822,0.00047025084495544434,31.18070213496685,,,35.289781369268894,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3433,1159,4592
PP020,0.0,8.620321750640869e-05,3.4289638102054596,0.00017899274826049805,33.169402323663235,,,37.078930020332336,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3600,1231,4831
