question_id,pmid,original_grade,final_grade,decision_basis,adjudicator,adjudicator_type,adjudication_date
Q001,29904399,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q001,24956021,2,1,AUDIT: paper has zero miRNA content (icariin/PI3K-Akt/eNOS pathway only) for a question specifically about miRNA-related mechanisms; downgraded 2->1.,codex-final-adjudication,AI,2026-07-27
Q001,34854397,1,1,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q001,35185286,1,1,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q001,33339654,1,1,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q002,23605904,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q002,33426313,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q002,28240263,2,1,"AUDIT: paper is about osteoCLAST activity/bone resorption, not osteogenesis (bone formation), which is what the question specifically asks about; downgraded 2->1.",codex-final-adjudication,AI,2026-07-27
Q002,35909545,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q002,25804101,1,1,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q002,40713676,1,2,"AUDIT: near-perfect title match (osteoporosis + miR-23a + osteoblast differentiation, 2025 paper) was undergraded; upgraded 1->2.",codex-final-adjudication,AI,2026-07-27
Q002,33953168,1,1,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q002,20980664,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q002,34854397,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q003,11238501,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q003,11287357,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q003,18489581,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q003,19794059,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q003,33998291,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q003,25341798,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q003,16823477,1,1,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q004,18755156,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q004,30623450,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q004,17916240,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q004,31223280,1,1,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q005,9848093,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q005,18218341,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q005,21547208,1,2,"AUDIT: mechanistically as specific as 18218341 (graded 2) -- Abeta inhibiting complex IV, binding cyclophilin D/PTP, raising ROS; upgraded 1->2 for consistency.",codex-final-adjudication,AI,2026-07-27
Q006,17584107,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q006,19075102,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q006,22710021,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q006,18808324,1,2,"AUDIT: review as mechanistically specific as 17584107 (graded 2) -- covers Rho/ROCK, NADPH oxidase, NO bioavailability in comparable depth; upgraded 1->2 for consistency.",codex-final-adjudication,AI,2026-07-27
Q007,30891627,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q007,22324470,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q007,30133701,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q007,29922283,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q007,22096355,1,2,AUDIT: broad IL-17/Th17 review across RA/psoriasis/MS/IBD with scope comparable to 30891627/22324470 (both graded 2); upgraded 1->2 for consistency.,codex-final-adjudication,AI,2026-07-27
Q007,28148916,1,1,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q007,33072104,1,2,"AUDIT: explicitly enumerates multiple IL-17A-producing cell types (gamma-delta17 T cells, MAIT cells, ILC3s, NKT cells) in autoimmune arthritis, directly matching the question; upgraded 1->2.",codex-final-adjudication,AI,2026-07-27
Q007,31931372,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q008,26549988,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q008,30546102,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q008,38179971,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q008,35276841,1,1,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q008,35160099,1,1,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q008,27588407,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
Q008,35449374,2,2,PubMed audit confirmed the seed grade; final grade retained.,codex-final-adjudication,AI,2026-07-27
