question_id,domain,question,question_type,expected_concepts,gold_pmids,minimum_answer_criteria,curator_notes
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,mechanism,icariin; miR-153; miR-21; Runx2; PTEN; PI3K/Akt,29904399;24956021;34854397;35185286;33339654,Distinguishes direct icariin osteogenesis evidence from indirect miRNA/PTEN/PI3K-Akt inference and labels study type.,Curated seed from PubMed search; expert should confirm whether miR-21/PTEN is indirect rather than icariin-specific in osteoblasts. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q002,osteoporosis,Which miRNAs are most frequently linked to osteoporosis-related osteogenesis in the retrieved literature?,retrieval,osteoporosis; osteogenesis; miRNA; miR-21; miR-23a; miR-153,23605904;33426313;28240263;35909545;25804101;40713676;33953168;20980664;34854397,Returns ranked miRNAs with supporting PMIDs and separates osteoblast vs osteoclast evidence.,Curated seed; frequency should be recomputed from NetMedEx retrieval rather than inferred from this list. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q003,metabolic disease,What evidence links insulin resistance to inflammatory cytokines in human studies?,direct_evidence,insulin resistance; inflammation; IL-6; TNF-alpha; CRP; adipose tissue; human,11238501;11287357;18489581;19794059;33998291;25341798;16823477,Prioritizes human observational or intervention evidence and identifies IL-6/TNF/CRP where supported.,Curated seed includes both primary human studies and a review. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,two_hop_path,curcumin; apoptosis; cancer; NF-kB; PI3K/Akt; p53; Bcl-2; caspases; TRAIL,18755156;30623450;17916240;31223280,Reports gene/pathway mediators with per-edge PMIDs and states that most evidence is cancer-cell/preclinical.,Curated seed emphasizes mechanistic reviews plus prostate cancer cell evidence. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q005,neurodegeneration,Does oxidative stress directly support a mechanistic link between amyloid beta and mitochondrial dysfunction?,mechanism,amyloid beta; oxidative stress; mitochondrial dysfunction; Alzheimer's disease; ROS,9848093;18218341;21547208,States whether oxidative stress is direct support or part of a broader mechanistic loop; distinguishes review vs experimental evidence.,Curated seed; additional primary studies can be added by AD specialist. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q006,cardiovascular,What PubMed evidence supports statin effects on endothelial dysfunction?,retrieval,statin; endothelial dysfunction; eNOS; nitric oxide; ROCK; flow-mediated dilation,17584107;19075102;22710021;18808324,Returns clinical/human evidence separately from mechanistic endothelial signaling evidence.,"Curated seed includes reviews, a human randomized study, and meta-analysis. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv."
Q007,immunology,Which immune cell types are associated with IL-17 in autoimmune disease networks?,association,IL-17; autoimmune disease; Th17; gamma-delta T cells; innate lymphoid cells; alpha-beta T cells,30891627;22324470;30133701;29922283;22096355;28148916;33072104;31931372,Lists cell types and disease contexts without implying all are dominant in every autoimmune disease.,Curated seed includes broad reviews and inflammatory arthritis/spondyloarthritis sources. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,hypothesis,CFTR; cystic fibrosis; intestinal inflammation; NF-kB; dysbiosis; IL-6; IL-8; propionate,26549988;30546102;38179971;35276841;35160099;27588407;35449374,"Generates plausible mechanisms involving epithelial inflammation, NF-kB, dysbiosis, and cytokines with evidence labels.","Curated seed includes human, cell, mouse, and review evidence. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv."
Q009,pharmacology,Which chemicals have evidence for modulating the JAK/STAT pathway in skeletal muscle contexts?,retrieval,JAK/STAT; skeletal muscle; JAK2; STAT3; AG490; C188-9; sulforaphane; inhibitors,31114509;18835816;28122601;24058805;40391687;36588738;39713478;21388555;41521250,"Ranks chemicals/interventions and indicates whether evidence concerns regeneration, differentiation, or wasting.",Curated seed includes some recent articles; rerun before final because 2025-2026 records may change. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q010,multilingual,請找出與骨質疏鬆、miRNA、天然物治療相關的可能機制。,multilingual_mechanism,osteoporosis; miRNA; natural product; icariin; osteogenesis; Runx2; PI3K/Akt,29904399;24956021;33426313;35909545;34854397;33339654;31661767;31971108,"Chinese answer should preserve biomedical terms, cite PMIDs, and separate direct evidence from hypothesis.",Curated seed designed to test CJK query translation and Chinese response quality. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
