system,arm,question_id,run_id,path_rank,path_id,path_signature,source,bridge,target,relation_1,relation_2,direction_1,direction_2,pmids,score,hop_count,path_text
netmedex_hybrid_rag,C_one_hop,Q001,formal-v1-gpt-5.6-luna-C_one_hop,1,Q001-P01,0cb47f259e214f24,icariin,,osteogenic differentiation,promotes,,forward,undirected,29904399,1.0230,1,icariin ->[promotes] osteogenic differentiation
netmedex_hybrid_rag,C_one_hop,Q002,formal-v1-gpt-5.6-luna-C_one_hop,1,Q002-P01,65e20457af215c29,osteoporosis,,bone formation,associated_with,,undirected,undirected,37215980,0.5990,1,osteoporosis --[associated_with] bone formation
netmedex_hybrid_rag,C_one_hop,Q004,formal-v1-gpt-5.6-luna-C_one_hop,1,Q004-P01,f304e9bf2cf16017,curcumin,,apoptosis,induces,,forward,undirected,32519340,1.0290,1,curcumin ->[induces] apoptosis
netmedex_hybrid_rag,C_one_hop,Q004,formal-v1-gpt-5.6-luna-C_one_hop,2,Q004-P02,e2e3629b23a98a25,curcumin,,apoptosis,induces,,forward,undirected,38269517,0.9470,1,curcumin ->[induces] apoptosis
netmedex_hybrid_rag,C_one_hop,Q005,formal-v1-gpt-5.6-luna-C_one_hop,1,Q005-P01,31f26bea18c6474b,amyloid-beta,,mitochondrial toxicity,related_to,,undirected,undirected,33476985,0.7590,1,amyloid-beta --[related_to] mitochondrial toxicity
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,1,Q006-P01,612e695a7caa47a0,endothelial dysfunction,,atherosclerosis,associated_with,,undirected,undirected,15861315,1.0480,1,endothelial dysfunction --[associated_with] atherosclerosis
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,2,Q006-P02,f9a9b231724cb10d,endothelial dysfunction,,inflammation,promotes,,forward,undirected,24928320,0.9280,1,endothelial dysfunction ->[promotes] inflammation
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,3,Q006-P03,f9a9b231724cb10d,endothelial dysfunction,,inflammation,promotes,,forward,undirected,24928320,0.9280,1,endothelial dysfunction ->[promotes] inflammation
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,4,Q006-P04,fd700b8e728550e2,endothelial dysfunction,,atherosclerosis,promotes,,forward,undirected,24928320,0.7920,1,endothelial dysfunction ->[promotes] atherosclerosis
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,5,Q006-P05,2f89cf3eba91636f,endothelial dysfunction,,coronary death,correlates_with,,undirected,undirected,15861315,0.7880,1,endothelial dysfunction --[correlates_with] coronary death
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,6,Q006-P06,00ef3a6a2dad26a3,endothelial dysfunction,,myocardial infarction,correlates_with,,undirected,undirected,15861315,0.7880,1,endothelial dysfunction --[correlates_with] myocardial infarction
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,7,Q006-P07,743b6eace77482d5,endothelial dysfunction,,essential hypertension,associated_with,,undirected,undirected,22112351,0.7510,1,endothelial dysfunction --[associated_with] essential hypertension
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,8,Q006-P08,85f15484e351350d,endothelial dysfunction,,metabolic diseases,associated_with,,undirected,undirected,39684569,0.7420,1,endothelial dysfunction --[associated_with] metabolic diseases
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,9,Q006-P09,72d3496b9a2af810,endothelial dysfunction,,hypertensive,associated_with,,undirected,undirected,22112351,0.7210,1,endothelial dysfunction --[associated_with] hypertensive
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,10,Q006-P10,393853be3df05f26,endothelial dysfunction,,acute coronary syndromes,associated_with,,undirected,undirected,17430168,0.7210,1,endothelial dysfunction --[associated_with] acute coronary syndromes
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,11,Q006-P11,dd65eb7870890506,endothelial dysfunction,,thrombosis,associated_with,,undirected,undirected,17430168,0.7160,1,endothelial dysfunction --[associated_with] thrombosis
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,12,Q006-P12,4a2a2253819b7544,endothelial dysfunction,,reactive oxygen species,associated_with,,undirected,undirected,17430168,0.6730,1,endothelial dysfunction --[associated_with] reactive oxygen species
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,13,Q006-P13,cdf171c7750c7ef4,endothelial dysfunction,,peripheral,associated_with,,undirected,undirected,22112351,0.6560,1,endothelial dysfunction --[associated_with] peripheral
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,14,Q006-P14,27e008b1582c6aeb,endothelial dysfunction,,cardiovascular death,associated_with,,undirected,undirected,17430168,0.6430,1,endothelial dysfunction --[associated_with] cardiovascular death
netmedex_hybrid_rag,C_one_hop,Q007,formal-v1-gpt-5.6-luna-C_one_hop,1,Q007-P01,decd42689d2018ff,il-17,,autoimmune disease,promotes,,forward,undirected,27576555,1.0850,1,il-17 ->[promotes] autoimmune disease
netmedex_hybrid_rag,C_one_hop,Q007,formal-v1-gpt-5.6-luna-C_one_hop,2,Q007-P02,409ce289cf35d111,il-17,,inflammation,promotes,,forward,undirected,27576555,0.8400,1,il-17 ->[promotes] inflammation
netmedex_hybrid_rag,C_one_hop,Q007,formal-v1-gpt-5.6-luna-C_one_hop,3,Q007-P03,409ce289cf35d111,il-17,,inflammation,promotes,,forward,undirected,27576555,0.8400,1,il-17 ->[promotes] inflammation
